gene	n_methods
P63172	6
P68431	6
Q13247	6
Q15393	6
P52701	6
Q09028	6
Q9NPF5	6
Q8WWM7	6
P43246	6
Q9BWF2	6
P63167	6
Q92878	6
P16989	6
Q9H0A8	6
P55854	6
O60814	6
Q8IYN2	6
Q8IZ63	6
Q01484	6
Q13243	6
Q93009	6
Q9Y2M0	6
Q93079	6
Q96GM5	6
P17844	6
Q16778	6
Q5QNW6	6
Q8N257	6
Q7L2Z9	6
Q9UKL0	6
O75533	6
P33778	6
P19525	6
P63267	6
O94776	6
P04908	6
Q96ST3	6
Q99880	6
Q9H2X6	6
P29590	6
Q08170	6
Q99879	6
Q8TEE9	6
Q969G3	6
P51668	6
Q71DI3	6
P51531	6
Q96EZ8	6
P51965	6
Q96FJ2	6
Q9UMS4	6
Q9Y5B9	6
Q16777	6
P12004	6
Q9Y265	6
Q9NZI8	6
Q08211	6
Q9H2P0	6
P84243	6
Q7L7L0	6
O75928	6
Q9UPY8	6
Q8N8U2	6
Q13426	6
Q13547	6
P19338	6
Q92922	6
P78527	6
P27694	6
Q9UER7	6
Q12873	6
Q8TAQ2	6
P13010	6
P61956	6
Q8IUQ4	6
P62807	6
Q92769	6
Q13404	6
Q04206	6
P62805	6
P51532	6
P63165	6
Q15427	6
P51610	6
P49959	6
P23497	6
P57053	6
O00327	6
O76064	6
P58876	6
O60264	6
P51808	6
P12956	6
Q86XP3	6
P20585	6
Q14191	6
O60760	6
P0C0S8	6
O14686	6
P19838	6
O95793	6
Q8WYH8	6
P28370	6
Q9UK22	6
P84103	6
Q99877	6
Q9NVP2	6
Q6P1W5	5
P05165	5
Q7L190	5
Q9Y5F6	5
Q5VSY0	5
P56524	5
Q7Z4H7	5
P12268	5
Q9HCC0	5
P04406	5
P05166	5
P07195	5
P43360	5
P0C7W6	5
Q9Y287	5
Q9NVV9	5
Q96KK5	5
P12277	5
Q7L4P6	5
P49458	5
P06899	5
P68104	5
Q96B97	5
Q9Y4E8	5
P22681	5
Q96GY0	5
Q9UKT9	5
Q99856	5
P49427	5
Q96FN5	5
O60506	5
Q9HAV7	5
Q14676	5
P02545	5
Q14683	5
Q99878	5
Q92522	5
Q9UKV0	5
Q96IJ6	5
Q6S8J3	5
P29692	5
Q92624	5
P48730	5
O95786	5
Q16695	5
P25705	5
Q99623	5
Q8ND90	5
P62826	5
Q9BQE3	5
Q12888	5
Q9HCE1	5
Q9UBU9	5
Q9Y4K3	5
Q08379	5
Q9P1Z3	5
O14734	5
O95153	5
O95273	5
Q6FI13	5
P12036	5
P60022	5
O14981	5
P18859	5
O15379	5
Q8N9W6	5
P43355	5
Q7Z7J5	5
P30281	5
Q8N5R6	5
P20671	5
P06748	5
Q96RQ3	5
Q9BYX4	5
P17028	5
O14770	5
Q8IYA8	5
Q9Y2G8	5
Q5JR59	5
A5A3E0	5
O60262	5
Q7Z434	5
Q9GZV8	5
Q14576	5
Q8NCM8	5
Q8TF71	5
P06733	5
P35659	5
Q8WUI4	5
O60519	5
P09884	5
P00338	5
Q9BTM1	5
Q93077	5
P26196	5
P07947	5
O95602	5
P23527	5
Q16633	5
Q8N6Y0	5
O60437	5
Q9NR30	5
Q07021	5
Q9UQL6	5
P06241	5
O75558	5
P67870	5
P54132	5
Q14203	5
Q16666	5
P11940	5
Q13363	5
Q96SB4	5
O96006	5
P12931	5
P55209	5
Q9Y6K9	5
P08238	5
P62937	5
P56545	5
Q9Y5A6	5
P78347	5
Q96EY1	5
Q9BQG0	5
P67809	5
Q93008	5
P10809	5
Q13137	5
P62736	5
P38398	5
P0CG48	5
P22061	5
Q71U36	5
P62136	5
P49736	5
P50402	5
P37198	5
Q8NHQ1	5
P04629	4
P30419	4
Q01844	4
P62993	4
Q96GS6	3
P05067	3
P29474	3
O75439	3
Q86T26	3
O75381	3
Q12926	3
Q9H3P2	3
Q9Y3Q4	3
P54257	3
Q5UIP0	3
Q9BQ95	3
Q16543	3
Q9UJW3	3
P01023	3
P08670	3
P14735	3
Q15717	3
O43143	3
Q9H4L7	3
P33992	3
Q10713	3
Q9Y3C6	3
P78362	3
Q15233	3
P16403	3
P52272	2
Q15459	2
Q9HAV0	2
P62879	2
Q6NXE6	2
Q9H0H5	2
P61513	2
Q92841	2
Q12851	2
Q9NZ08	2
P04899	2
Q96KN2	2
Q96QD9	2
O60551	2
Q9BPW9	2
Q969U6	2
O15488	2
Q9UHK0	2
Q9UJV9	2
Q9NQC7	2
P04637	2
Q9H0R8	2
Q9H492	2
Q8N5S1	2
Q504Q3	2
Q9GZQ8	2
Q07020	2
Q99496	2
P62906	2
Q15366	2
Q15050	2
Q03112	2
O95619	2
Q01201	2
Q12952	2
Q8IW19	2
Q8NAV1	2
Q15365	2
Q8NFQ8	2
Q9NPH0	2
O15350	2
P54198	2
Q13111	2
P46100	2
Q9H040	2
Q12824	2
Q86WJ1	2
P52757	2
Q93034	2
P15927	2
Q13617	2
P35244	2
P13612	2
Q92905	2
P27635	2
P16104	2
Q9UQ35	2
Q9BV73	2
P19320	2
Q99459	2
Q13148	2
Q14999	2
Q13616	2
Q9H0W5	2
Q86VP6	2
Q13618	2
Q00839	2
Q9UKV8	2
P09874	2
Q9BUG6	2
P63104	2
Q15022	2
Q13620	2
P15880	2
P61978	2
P40692	2
Q9Y230	2
P63279	2
Q8IYW5	2
Q8N2W9	2
P24941	2
Q12906	2
Q14103	2
Q12905	2
P38919	2
Q6IQ23	2
P62249	2
Q9NPI1	2
P60033	2
Q9UBX2	2
Q13573	2
Q9NRC8	2
Q7Z6Z7	2
O43390	2
O43290	2
O00567	2
O00571	2
O75147	2
O75530	2
P05362	2
O95166	2
P03372	2
P61326	2
P02751	2
Q86VM9	2
P11387	2
Q8IYB3	2
P05412	2
P07910	2
Q15428	2
Q15637	2
P09651	2
P51858	2
P60520	2
Q969P0	2
P11021	2
P23246	2
Q14498	2
Q6P2Q9	2
P26368	2
P16871	2
P22626	2
P11441	2
Q15843	2
P46777	2
P38646	2
P11308	2
P23396	2
P26599	2
P35637	2
Q07955	2
Q13263	2
O43255	2
O60934	2
P52790	2
O00165	2
O94768	1
Q9NRX3	1
Q9ULV3	1
Q9NWB6	1
Q93073	1
