Sample	custom_content_topology-nodes	custom_content_topology-edges	custom_content_topology-seeds	custom_content_topology-diameter	custom_content_topology-components	custom_content_topology-largest_component	custom_content_topology-max_dist_to_seed	custom_content_topology-isolated_nodes
Entry_and_Uncoating.amygdala.diamond	250	5962	50	4.0	12	239	2	11
Entry_and_Uncoating.amygdala.domino	0	0	0	0	0	0	0	0
Entry_and_Uncoating.amygdala.firstneighbor	2459	55388	50	5.0	1	2459	1	0
Entry_and_Uncoating.amygdala.no_tool	50	7	50	0	43	3	0	38
Entry_and_Uncoating.amygdala.robust	184	319	50	10.0	1	184	1	0
Entry_and_Uncoating.amygdala.robust_bias_aware	186	315	50	9.0	2	181	1	0
Entry_and_Uncoating.amygdala.rwr	138	502	50	6.0	1	138	1	0
Entry_and_Uncoating.brain.diamond	253	5998	53	5.0	10	244	2	9
Entry_and_Uncoating.brain.domino	7	6	4	5.0	1	7	1	0
Entry_and_Uncoating.brain.firstneighbor	2577	58678	53	5.0	1	2577	1	0
Entry_and_Uncoating.brain.no_tool	53	7	53	0	46	3	0	41
Entry_and_Uncoating.brain.robust	209	349	53	10.0	1	209	1	0
Entry_and_Uncoating.brain.robust_bias_aware	205	350	53	7.0	2	200	1	0
Entry_and_Uncoating.brain.rwr	143	579	53	6.0	1	143	1	0
Entry_and_Uncoating.dorsal_root_ganglia.diamond	252	1912	52	5.0	20	233	2	19
Entry_and_Uncoating.dorsal_root_ganglia.domino	22	22	7	6.0	1	22	1	0
Entry_and_Uncoating.dorsal_root_ganglia.firstneighbor	2650	61322	52	6.0	1	2650	1	0
Entry_and_Uncoating.dorsal_root_ganglia.no_tool	52	8	52	0	44	4	0	39
Entry_and_Uncoating.dorsal_root_ganglia.robust	196	341	52	9.0	1	196	1	0
Entry_and_Uncoating.dorsal_root_ganglia.robust_bias_aware	197	338	52	8.0	2	192	1	0
Entry_and_Uncoating.dorsal_root_ganglia.rwr	141	600	52	6.0	1	141	1	0
Entry_and_Uncoating.hypothalamus.diamond	251	5855	51	5.0	10	242	2	9
Entry_and_Uncoating.hypothalamus.domino	0	0	0	0	0	0	0	0
Entry_and_Uncoating.hypothalamus.firstneighbor	2511	57529	51	5.0	1	2511	1	0
Entry_and_Uncoating.hypothalamus.no_tool	51	7	51	0	44	3	0	39
Entry_and_Uncoating.hypothalamus.robust	191	324	51	10.0	1	191	1	0
Entry_and_Uncoating.hypothalamus.robust_bias_aware	195	335	51	9.0	1	195	1	0
Entry_and_Uncoating.hypothalamus.rwr	140	529	51	6.0	1	140	1	0
Entry_and_Uncoating.salivary_gland.diamond	247	2432	47	6.0	15	233	2	14
Entry_and_Uncoating.salivary_gland.domino	32	33	9	3.0	4	12	1	0
Entry_and_Uncoating.salivary_gland.firstneighbor	2539	56951	47	5.0	1	2539	1	0
Entry_and_Uncoating.salivary_gland.no_tool	47	6	47	0	41	4	0	37
Entry_and_Uncoating.salivary_gland.robust	202	352	47	9.0	1	202	1	0
Entry_and_Uncoating.salivary_gland.robust_bias_aware	201	342	47	8.0	2	197	1	0
Entry_and_Uncoating.salivary_gland.rwr	119	410	47	7.0	1	119	1	0
Entry_and_Uncoating.uniprot_ppi.diamond	260	2648	60	6.0	25	235	2	23
Entry_and_Uncoating.uniprot_ppi.domino	57	55	22	9.0	6	31	1	0
Entry_and_Uncoating.uniprot_ppi.firstneighbor	3383	82292	60	5.0	1	3383	1	0
Entry_and_Uncoating.uniprot_ppi.no_tool	60	9	60	0	51	4	0	45
Entry_and_Uncoating.uniprot_ppi.robust	222	363	60	8.0	3	216	1	1
Entry_and_Uncoating.uniprot_ppi.robust_bias_aware	227	372	60	8.0	3	221	1	1
Entry_and_Uncoating.uniprot_ppi.rwr	284	1932	60	6.0	1	284	1	0
