Module	Nodes
Uncharacterized.hypothalamus.firstneighbor	1653
Uncharacterized.amygdala.firstneighbor	1638
Uncharacterized.dorsal_root_ganglia.firstneighbor	1701
Uncharacterized.brain.firstneighbor	1662
Uncharacterized.salivary_gland.firstneighbor	1699
Uncharacterized.uniprot_ppi.firstneighbor	2144
