Seed file	Seeds	Not in network
Uncharacterized.brain	18	5
Uncharacterized.salivary_gland	19	4
Uncharacterized.dorsal_root_ganglia	18	5
Uncharacterized.uniprot_ppi	23	0
Uncharacterized.hypothalamus	18	5
Uncharacterized.amygdala	17	6
