name	rank	visiting_probability	is_seed	spd	component_id
Q9UBU9	37	0.006891103394276927	1	0.05853658536585366	0
Q13363	73	0.006193555802661708	1	0.23076923076923078	0
P78527	27	0.006223726377258532	1	0.2553191489361702	0
P55209	91	0.006062023447854322	1	0.23076923076923078	0
Q14203	47	0.006180975138866255	1	0.0815450643776824	0
Q9UQL6	16	0.006216640272359879	1	0.17252396166134185	0
Q9H2P0	84	0.00607609554904176	1	0.40816326530612246	0
Q9Y265	14	0.006196927170383417	1	0.2222222222222222	0
Q07021	28	0.006065653424152213	1	0.12916666666666668	0
P49736	58	0.006341144453641844	1	0.09028727770177838	0
P62136	81	0.006180409213199754	1	0.12941176470588237	0
Q93009	36	0.006256413019041343	1	0.14521452145214522	0
P50402	67	0.006158326813477295	1	0.24561403508771928	0
Q8IUQ4	3	0.006095219632655431	1	0.0979020979020979	0
P37198	24	0.00604552120692073	1	0.15789473684210525	0
P61956	74	0.006285927469702534	1	0.21226415094339623	0
Q8NHQ1	33	0.006060210321089874	1	0.045454545454545456	0
Q8ND90	113	0.006095870175835257	1	0.08333333333333333	0
P63165	62	0.0062485039684454634	1	0.17061611374407584	0
Q9UER7	61	0.006204340204561885	1	0.23870967741935484	0
P52701	95	0.006146285830196491	1	0.34831460674157305	0
P43246	19	0.006171483974450894	1	0.2835820895522388	0
P0CG48	123	0.006405165163548124	1	0.08196721311475409	0
Q12873	42	0.006167271921351608	1	0.24305555555555555	0
P56545	105	0.0060834255737927615	1	0.2087912087912088	0
Q13137	94	0.006089556236382989	1	0.0949367088607595	0
Q14676	121	0.006190158707554732	1	0.23756906077348067	0
Q09028	119	0.006204143898899625	1	0.25654450261780104	0
P51668	106	0.006126683376921206	1	0.10714285714285714	0
Q96EY1	9	0.006034061378496434	1	0.1827956989247312	0
Q93008	25	0.006047419082559498	1	0.1610738255033557	0
Q9UMS4	117	0.006140262685980396	1	0.21739130434782608	0
Q96B97	63	0.006067737141055967	1	0.09359605911330049	0
Q9Y4E8	89	0.006054073658487505	1	0.1393939393939394	0
P22681	133	0.006060428203212522	1	0.0782608695652174	0
Q12888	68	0.006221555445883004	1	0.3161764705882353	0
Q99856	66	0.006070678290224562	1	0.39285714285714285	0
P49427	71	0.006042910061306779	1	0.16393442622950818	0
P55854	11	0.0061203665774029435	1	0.1794871794871795	0
Q04206	103	0.006247805654093238	1	0.14511873350923482	0
Q9Y2M0	31	0.006047192962206816	1	0.13953488372093023	0
P12004	30	0.006280736258733101	1	0.18214285714285713	0
P27694	114	0.006321428857627926	1	0.14416475972540047	0
P51610	92	0.006097189170329566	1	0.26126126126126126	0
P17844	57	0.0061313083286536115	1	0.21544715447154472	0
P67870	111	0.006147448710804226	1	0.12639405204460966	0
Q92922	5	0.00615195735869227	1	0.371900826446281	0
Q96GM5	108	0.006114148534181073	1	0.28865979381443296	0
Q8TAQ2	85	0.0062215464925295845	1	0.37857142857142856	0
P63167	116	0.006133352521945942	1	0.0784313725490196	0
Q8IYN2	20	0.006016899392640398	1	1.0	0
P12268	129	0.006045317611973753	1	0.21212121212121213	0
Q92878	51	0.006129207176648095	1	0.37373737373737376	0
Q9H0A8	97	0.006031418162765276	1	0.08888888888888889	0
Q96FJ2	6	0.006035929978751481	1	0.06557377049180328	0
Q9NX70	48	0.006137102327312635	1	0.19101123595505617	0
P51965	52	0.00612102665086651	1	0.08333333333333333	0
O60506	65	0.0061022600790647434	1	0.11428571428571428	0
P02545	23	0.006245713398584731	1	0.11538461538461539	0
P56524	131	0.006253046665737733	1	0.1807909604519774	0
P84103	53	0.006062234293473016	1	0.2112676056338028	0
P12956	93	0.0062227333611899	1	0.21864951768488747	0
Q9NVP2	120	0.006064021019797834	1	0.2727272727272727	0
Q9UK22	10	0.006042769242564583	1	0.16666666666666666	0
P54132	15	0.006196953774653801	1	0.3780487804878049	0
Q16666	29	0.006222741428106489	1	0.08060453400503778	0
P13010	46	0.006261929998265316	1	0.25868725868725867	0
Q96SB4	99	0.006061845587793132	1	0.09465020576131687	0
Q15393	72	0.006082057350299175	1	0.22282608695652173	0
Q92769	132	0.0063669581899005205	1	0.2059800664451827	0
Q9Y5B9	80	0.006140564372121509	1	0.2857142857142857	0
Q86XP3	124	0.006047810382565552	1	0.45454545454545453	0
P30281	86	0.0060399056897072305	1	0.1276595744680851	0
P20585	21	0.006052785380813396	1	0.41379310344827586	0
Q13547	64	0.006458393591798747	1	0.1448692152917505	0
Q14191	17	0.006091127063076811	1	0.5531914893617021	0
Q96IJ6	78	0.0060232061943203494	1	0.38461538461538464	0
Q9ULK4	38	0.0061911010617442695	1	0.17088607594936708	0
Q96G25	118	0.006124517029606807	1	0.23636363636363636	0
Q9NVC6	76	0.006122058362445353	1	0.24242424242424243	0
Q969G3	79	0.006246290011284263	1	0.3490566037735849	0
P29590	70	0.006413974188452087	1	0.23478260869565218	0
P51531	55	0.006118316994103748	1	0.3431372549019608	0
P51532	34	0.006259698398513476	1	0.28426395939086296	0
Q14683	109	0.006145979389926223	1	0.2814814814814815	0
P48730	54	0.006033100286244031	1	0.20454545454545456	0
P24863	49	0.0061250978841075375	1	0.19444444444444445	0
Q9UKV0	22	0.006072204402416768	1	0.32727272727272727	0
Q96ST3	56	0.0062130168086507905	1	0.24120603015075376	0
P35659	32	0.006049042722607564	1	0.3333333333333333	0
Q8WUI4	125	0.006095517508771518	1	0.25882352941176473	0
P19838	122	0.006340010377864133	1	0.13850415512465375	0
Q8WYH8	100	0.00605663718430661	1	0.32558139534883723	0
P09884	4	0.006047671283661544	1	0.34782608695652173	0
P29692	83	0.006092945936528561	1	0.19298245614035087	0
Q96GY0	130	0.00605477683444352	1	0.5833333333333334	0
Q7L4P6	88	0.006096988683735538	1	0.4117647058823529	0
Q9Y5A6	1	0.006036852350029079	1	0.18181818181818182	0
Q8N5R6	87	0.006083723345170543	1	0.12658227848101267	0
P28370	7	0.006075901717774631	1	0.41025641025641024	0
Q96EZ8	90	0.006062277594424689	1	0.17721518987341772	0
P0C7W6	26	0.00603586082073598	1	0.26666666666666666	0
O75533	102	0.006100123427940457	1	0.20207253886010362	0
Q9UKL0	44	0.006145649544383458	1	0.3291139240506329	0
P06241	59	0.006091005168119816	1	0.05747126436781609	0
Q9P1Z3	2	0.006050642212346026	1	1.0	0
Q9Y2G8	110	0.006019349994872918	1	0.2	0
Q8N8U2	101	0.006020932902516863	1	1.0	0
O43513	82	0.006117731929476566	1	0.29411764705882354	0
Q9GZV8	69	0.006027917365420041	1	0.12195121951219512	0
P07947	8	0.00610177721158709	1	0.1179245283018868	0
Q13426	50	0.006058640578273873	1	0.32432432432432434	0
P17028	104	0.006143184692530216	1	0.11842105263157894	0
Q5VSY0	45	0.006024762650751944	1	0.10526315789473684	0
P23497	128	0.006203088188427219	1	0.2708333333333333	0
O15379	112	0.006217015608314615	1	0.22277227722772278	0
O00327	13	0.006048104769609162	1	0.25	0
O60264	75	0.006179819761330447	1	0.4	0
O95602	35	0.006052504110746227	1	0.16091954022988506	0
O75928	39	0.006083007780415832	1	0.3108108108108108	0
P12036	77	0.00602260169300207	1	0.16	0
P60022	127	0.006023326584544303	1	0.16666666666666666	0
O14686	126	0.006023818294101609	1	0.2702702702702703	0
P18859	107	0.006026198497201718	1	0.046511627906976744	0
O60437	60	0.006029610221441198	1	0.16666666666666666	0
O76064	43	0.006101890800887735	1	0.3620689655172414	0
O14981	18	0.006021266890173916	1	0.3142857142857143	0
O60262	12	0.0060206429960379245	1	0.08333333333333333	0
O95153	96	0.006096690124305884	1	0.17647058823529413	0
O00458	98	0.006032755359055029	1	0.5454545454545454	0
O60519	40	0.0060153262374476315	1	1.0	0
O14734	41	0.006023879169590378	1	0.7	0
O60760	115	0.0060267626857802275	1	1.0	0
Q15022	218	0.00017496571524259797	0	0.12341772151898735	0
Q504Q3	239	0.0001592454908237774	0	0.07836990595611286	0
Q9H492	209	0.00018933061642125676	0	0.08977556109725686	0
Q9HCE1	143	0.0005288904549741109	0	0.0517051705170517	0
P04637	144	0.000528561243663258	0	0.10695187165775401	0
P12830	200	0.00019867845037249896	0	0.060955518945634266	0
P63104	184	0.00022298407319983095	0	0.10486322188449848	0
P62993	142	0.0005434906903505394	0	0.06455266138165346	0
P07900	238	0.00016006433966620217	0	0.08547008547008547	0
Q01844	191	0.0002098548044973539	0	0.09642857142857143	0
Q5S007	236	0.00016048230173384482	0	0.0827250608272506	0
Q96B67	140	0.0006047856766641508	0	0.06666666666666667	0
P05161	206	0.0001925430323640311	0	0.09090909090909091	0
P09874	164	0.0002936828873560656	0	0.27091633466135456	0
P62258	230	0.00016434469149561828	0	0.1103448275862069	0
Q9UBN7	207	0.0001900145931635942	0	0.18502202643171806	0
P08670	170	0.00027495503557614724	0	0.16140350877192983	0
P63279	146	0.00047126664196279523	0	0.13333333333333333	0
P48431	173	0.00025948727333386274	0	0.10736196319018405	0
Q9Y230	234	0.00016296496986333998	0	0.22058823529411764	0
Q15554	229	0.00016531462250106581	0	0.11382113821138211	0
