P51610
Q15750
Q9NYJ8
Q9Y4K3
P51617
P49116
P0CG48
Q15843
P57105
Q15427
P17980
O95273
O14964
Q9BYM8
O43559
P08237
Q96S65
Q5VSY0
Q9BSJ6
Q8WW12
Q9HD26
Q9P1W9
Q96B97
O00308
Q96JM7
Q5VTL8
Q9NQZ6
Q15007
Q8N4H5
O43513
P24863
Q9ULK4
Q16666
O00458
P55072
Q99816
Q9NVC6
Q9NX70
Q96G25
Q9H3M7
Q9HAU4
Q14289
Q8N5U6
Q5TAQ9
Q01081
