ensembl_id,symbol,Advanced Clinical,Approved Drug,Druggable Family,High-Quality Ligand,High-Quality Pocket,Med-Quality Pocket,Phase 1 Clinical,Structure with Ligand,uniprot_id,druggability_rank
ENSG00000163156,SCNM1,False,False,False,False,False,False,False,True,Q9BWG6,5
ENSG00000108094,CUL2,False,False,False,False,False,False,False,True,Q13617,5
ENSG00000120805,ARL1,False,False,False,False,False,False,False,True,P40616,5
ENSG00000084764,MAPRE3,False,False,False,False,False,False,False,True,Q9UPY8,5
ENSG00000008256,CYTH3,False,False,False,False,False,False,False,True,O43739,5
ENSG00000143774,GUK1,False,False,False,False,False,False,False,True,Q16774,5
ENSG00000086758,HUWE1,False,False,False,False,True,False,False,True,Q7Z6Z7,5
ENSG00000123131,PRDX4,False,False,False,False,False,True,False,True,Q13162,5
ENSG00000185359,HGS,False,False,False,False,False,False,False,True,O14964,5
ENSG00000272325,NUDT3,False,False,False,False,False,False,False,True,O95989,5
ENSG00000175538,KCNE3,False,False,False,False,False,False,False,True,Q9Y6H6,5
ENSG00000159231,CBR3,False,False,False,False,False,True,False,True,O75828,5
ENSG00000154917,RAB6B,False,False,False,False,False,True,False,True,Q9NRW1,5
ENSG00000196565,HBG2,False,False,False,False,False,False,False,True,P69892,5
ENSG00000131018,SYNE1,False,False,False,False,False,False,False,True,Q8NF91,5
ENSG00000172534,HCFC1,False,False,False,False,False,False,False,True,P51610,5
ENSG00000128524,ATP6V1F,False,False,False,False,False,False,False,True,Q16864,5
ENSG00000160789,LMNA,False,False,True,False,False,False,False,True,P02545,5
ENSG00000073111,MCM2,False,False,False,False,False,False,False,True,P49736,5
ENSG00000108854,SMURF2,False,False,False,False,True,False,False,False,Q9HAU4,6
ENSG00000127191,TRAF2,False,False,False,False,True,False,False,False,Q12933,6
ENSG00000134308,YWHAQ,False,False,False,False,True,False,False,False,P27348,6
ENSG00000120798,NR2C1,False,False,True,False,False,False,False,False,P13056,8
ENSG00000012048,BRCA1,False,False,True,False,False,False,False,False,P38398,8
