Q16666
P17980
P55072
O96006
Q9GZV8
O15162
P07307
Q9BQ66
Q9NRY6
Q96JM7
O00308
O95273
Q15007
Q15427
Q8N4H5
Q8N9W6
Q8WW12
Q9BSJ6
Q9BYM8
Q9HD26
Q9NQZ6
Q9P1W9
Q9UKT9
