gene	n_methods
P16989	6
Q9HCC0	6
P07437	6
P17987	6
Q96RQ3	6
Q15056	6
Q16778	6
P22061	6
P05165	6
Q71U36	6
O95816	6
P24666	6
P49368	6
P48201	6
O95793	6
Q8N257	6
P00338	6
P07195	6
P19525	6
O14654	6
Q99877	6
Q99878	6
P12277	6
Q99879	6
O60814	6
Q93079	6
P40227	6
Q9BQG0	6
Q9BYX4	6
Q08170	6
P33778	6
P06733	6
P0C0S8	6
P57053	6
P04908	6
Q7L7L0	6
Q5QNW6	6
Q8NCM8	6
Q96F46	6
A5A3E0	6
P58876	6
Q16666	6
P05141	6
P19338	6
P78371	6
Q16777	6
Q99623	6
P62805	6
P50990	6
Q9BQE3	6
P62736	6
P25705	6
Q13243	6
P50991	6
Q08211	6
Q14240	6
P68431	6
Q9NR30	6
Q9NZI8	6
Q13247	6
P84243	6
P08238	6
P07900	6
Q6S8J3	5
Q93077	5
Q99880	5
P49458	5
O95786	5
O14782	5
Q6NSJ2	5
P20671	5
Q92522	5
P23527	5
Q9BTM1	5
P06899	5
Q9H2X6	5
P00846	5
Q96KK5	5
P33992	5
Q8N5R6	5
O14734	5
P67809	5
Q08380	5
P63267	5
Q8NF91	5
P26196	5
P05166	5
P06748	5
Q05639	5
Q13162	5
P68104	5
Q16695	5
Q8WWM7	5
Q71DI3	5
P12236	5
Q9HAV7	5
P62807	5
P55072	5
P11940	5
Q9HCE1	5
P62937	5
Q93034	5
Q9GZV8	5
Q9NQZ6	5
O95295	5
P19474	5
P04406	5
P10809	5
Q7Z434	5
Q06830	5
Q6FI13	5
Q16543	5
Q96EY1	5
Q92624	5
P63104	4
Q99496	4
Q9NQC7	4
Q504Q3	4
Q9H040	4
P62906	4
Q969P0	4
Q99459	4
P62993	4
Q15843	4
P13612	4
Q86VP6	4
O00567	4
P60033	4
P16104	4
Q13619	4
Q13616	4
P05362	4
Q92905	4
P02751	4
P49736	4
O75147	4
P24941	4
Q13620	4
Q9NPI1	3
P52732	3
Q01844	3
P48039	3
P46108	3
O00400	3
P05161	3
O75815	3
Q00597	3
Q8IUH5	3
P51608	3
Q9HC52	3
Q96L14	3
P05067	3
P42696	3
P06454	3
Q9H4B6	3
P29590	3
Q8IWL3	3
O00571	3
Q9H2H9	3
Q8IXZ2	3
Q14999	3
Q13043	3
P08559	3
Q9BUN8	3
Q05655	3
P11441	3
Q9H845	3
P25054	3
O43918	3
Q92731	3
O15355	3
P56945	3
Q92630	3
P61221	3
P07954	3
Q8IVM0	3
Q9NRI5	3
P01106	3
Q14129	3
P08047	3
Q14451	2
P54198	2
P26045	2
Q9BQD3	2
O15066	2
Q9Y496	2
Q13322	2
Q96NS5	2
P52757	2
Q9UJM3	2
P04629	2
Q00005	2
P09651	2
Q86VM9	2
Q9NRD1	2
Q6NUN9	2
O95166	2
O75530	2
P00441	2
Q8IYW5	2
P06241	2
Q9NP66	2
P03372	2
P05412	2
P09622	2
Q96RT1	2
Q8N302	2
Q9BXL5	2
Q96EK5	2
Q9Y5B9	2
Q6P1K2	2
Q93009	2
P27986	2
Q9UNL4	2
Q9ULM2	2
P50542	2
P30049	2
P51858	2
Q8NBE8	2
Q04864	2
Q7Z6Z7	2
Q13573	2
Q9NRC8	2
P60709	2
Q9UBX2	2
P61326	2
P38919	2
Q12906	2
Q9H492	2
Q9H0R8	2
Q9GZQ8	2
Q13283	2
Q00839	2
P04637	2
Q9UBS0	2
Q9UKV8	2
Q13618	2
Q13148	2
Q9UQL6	2
Q14258	2
Q9H0W5	2
P38398	2
Q13617	2
P19320	2
P40337	2
P46777	2
P35637	2
P32121	2
P13639	2
P60520	2
P26368	2
O60260	2
Q86SX3	1
Q9NVX7	1
Q32MK0	1
Q8NI29	1
P17735	1
Q86YV5	1
P80192	1
P32298	1
Q96QP1	1
Q9NY57	1
Q59H18	1
Q9P2G3	1
Q6ZN16	1
Q86YJ5	1
Q8NEE6	1
Q9UH90	1
Q9Y6S9	1
Q14296	1
Q96QS6	1
Q9UL58	1
Q16587	1
O60359	1
Q14244	1
P06746	1
Q7Z2D5	1
Q9H376	1
Q2M1V0	1
P31948	1
Q5T1V6	1
Q32Q12	1
Q562R1	1
P55344	1
Q8TAL5	1
Q5T5M9	1
Q96JE7	1
P00813	1
Q7RTX7	1
Q2VIK8	1
Q5VVJ2	1
Q9UL54	1
Q86SS6	1
P15291	1
Q9UDT6	1
P51854	1
P20231	1
P12544	1
Q9Y6M1	1
Q14444	1
Q96C10	1
P26378	1
Q9Y2W6	1
O75569	1
A0A1B0GVN0	1
P62979	1
P62269	1
Q92841	1
P51991	1
P42677	1
P47914	1
P52597	1
Q07955	1
P46087	1
P27635	1
P50914	1
P62424	1
P61353	1
P46781	1
P61247	1
P61513	1
P25398	1
P08865	1
P61978	1
P15880	1
Q86V81	1
Q9BV73	1
Q9UL18	1
Q9UQ35	1
P49207	1
P52272	1
P62851	1
P62917	1
Q99848	1
Q8TDN6	1
P83731	1
P62753	1
P36578	1
P17844	1
P62701	1
Q8NHW5	1
Q14872	1
P38159	1
Q8NC51	1
O60506	1
P14866	1
P11021	1
P22087	1
P23246	1
P32969	1
P60842	1
Q96L21	1
P18124	1
Q9NVP1	1
P35268	1
P23396	1
P26599	1
P30050	1
P22626	1
P31943	1
P60866	1
Q13151	1
P62263	1
P62829	1
P62847	1
P46776	1
P62244	1
P38646	1
P46778	1
P05387	1
P08708	1
O43143	1
O43390	1
O95433	1
O14979	1
Q15910	1
Q15366	1
P18621	1
P62857	1
P62273	1
Q5TC82	1
P46783	1
P05386	1
P18077	1
P35544	1
P63220	1
P63173	1
P62841	1
Q9BVP2	1
P55769	1
Q71UM5	1
P84098	1
P40429	1
P05388	1
P26373	1
P31942	1
P07910	1
P23258	1
P84103	1
Q9NX58	1
P61254	1
Q7KZN9	1
P27694	1
Q08945	1
P35226	1
P36957	1
Q9UER7	1
P04278	1
Q96CS3	1
Q15717	1
Q13547	1
Q9H9S0	1
Q16659	1
P62987	1
Q01860	1
Q9Y6E7	1
Q14197	1
P54274	1
P27348	1
P11142	1
P09874	1
P61981	1
P62258	1
P21796	1
Q15554	1
Q15022	1
Q9HCE7	1
Q9UBU9	1
Q15365	1
P12830	1
P78362	1
Q5S007	1
P61088	1
Q15464	1
Q09472	1
Q9Y4K3	1
Q96FW1	1
P31040	1
Q13233	1
Q92993	1
Q00987	1
Q00653	1
Q6IQ23	1
Q6P1J9	1
P62136	1
P42566	1
Q14164	1
P49407	1
P50402	1
P62910	1
P62750	1
Q07020	1
Q02878	1
P62899	1
P62854	1
P62888	1
P62913	1
Q9P287	1
P62633	1
Q99729	1
Q02543	1
Q15050	1
Q9Y3U8	1
Q13310	1
Q9UNX3	1
P34897	1
P06576	1
P19838	1
Q96A08	1
Q13439	1
P31150	1
O95503	1
Q9P218	1
O60216	1
Q13153	1
Q9UGI8	1
P02545	1
P00533	1
P17931	1
Q6ZW49	1
Q86WJ1	1
P16871	1
P60484	1
Q01831	1
Q9UK80	1
Q9H2C0	1
Q96DX5	1
P22681	1
Q01968	1
P42771	1
Q13509	1
P45973	1
Q04206	1
P42224	1
P0CG48	1
P21860	1
Q9Y5T5	1
Q9H3R0	1
Q9Y294	1
Q6ZRQ5	1
Q9NR48	1
Q9Y6J0	1
Q6ZU65	1
Q9Y2V0	1
Q9NPG3	1
Q8TEX9	1
Q96QV6	1
P16403	1
Q9NVP2	1
Q13111	1
Q13112	1
Q8IWY9	1
Q149N8	1
O00308	1
O75582	1
O95870	1
Q9NVM4	1
P49321	1
Q96T88	1
Q96HA7	1
Q53GL7	1
Q9BQB6	1
Q9P127	1
P49450	1
P09914	1
Q8N2G8	1
Q00765	1
O14980	1
O15357	1
Q9BPW8	1
Q9NWM0	1
Q8N3Y1	1
Q8TD08	1
Q9NQW1	1
Q6P3X3	1
Q6NXE6	1
Q9NW82	1
P48643	1
Q96AZ1	1
Q96JK2	1
Q96Q83	1
Q9C0K7	1
Q9H5I1	1
Q9H7D0	1
Q96M98	1
O75494	1
O15213	1
O00541	1
Q9H7S9	1
O75964	1
Q8TBK9	1
Q99832	1
Q7Z6Z6	1
O75164	1
Q9Y2Q1	1
Q5IJ48	1
O14929	1
A0PJE2	1
O75083	1
Q5T160	1
Q8NAV1	1
O95568	1
Q9NXB0	1
Q9H2J4	1
Q9Y3L5	1
Q13371	1
Q8IXQ9	1
Q9Y2I8	1
Q9H1B4	1
Q9Y2U9	1
Q9BRQ4	1
O14530	1
Q8N8W4	1
Q8NBT0	1
P57775	1
Q86TI4	1
Q8IYD2	1
Q9NPJ1	1
Q9BXA6	1
Q9BQS8	1
Q7Z624	1
Q7Z4S6	1
Q9P2G9	1
Q9BUR4	1
Q8N5D0	1
Q9HBY8	1
Q86VZ2	1
Q9P1U1	1
Q92526	1
Q9UPM9	1
Q9NRH3	1
Q8NES3	1
Q96BT7	1
A2RUQ5	1
O43930	1
O75129	1
O43827	1
Q8NCN4	1
Q9Y6F8	1
Q99733	1
Q01534	1
Q8IXV7	1
Q02318	1
Q5VW00	1
P0C5J1	1
O94953	1
O00628	1
A6NHL2	1
A6NCF5	1
Q8TAM1	1
P41208	1
Q5BKY1	1
Q3SXZ7	1
Q8N8Q3	1
P78380	1
Q8TCB7	1
Q8N9H9	1
Q5QP82	1
Q9BYB4	1
Q6ZW61	1
Q14990	1
Q5JR12	1
Q9GZS0	1
Q9BQ87	1
Q9Y4R7	1
A9UEZ6	1
Q9BVV6	1
Q9H293	1
Q5VUA4	1
Q86V87	1
Q70EL3	1
Q4KWH8	1
Q8N568	1
Q96S38	1
Q8WZ60	1
P11801	1
Q9UFH2	1
Q719I0	1
Q6FG59	1
O95199	1
O15146	1
Q9BYT3	1
Q96NJ5	1
Q9Y458	1
Q96C12	1
Q53HC5	1
Q8N4N3	1
Q9H0H3	1
Q86UV7	1
Q9UGR2	1
Q8NER5	1
Q8NG66	1
Q96NX5	1
Q13237	1
Q8WTQ7	1
P42685	1
Q9P215	1
P46782	1
P62277	1
Q99558	1
P61313	1
P42766	1
P62241	1
P43243	1
P62249	1
Q12905	1
P39023	1
P62266	1
P62081	1
