sample	nodes	edges	seeds	max_dist_to_seed	diameter	components	largest_component	isolated_nodes
Host_Membrane.dorsal_root_ganglia.firstneighbor	5996	160982	163	1	5.0	1	5996	0
Host_Membrane.dorsal_root_ganglia.domino	210	719	45	1	8.0	1	210	0
Host_Membrane.hypothalamus.no_tool	153	245	153	0	7.0	62	89	58
Host_Membrane.uniprot_ppi.robust_bias_aware	421	634	190	1	11.0	14	407	12
Host_Membrane.hypothalamus.firstneighbor	5778	151936	153	1	6.0	1	5778	0
Host_Membrane.hypothalamus.rwr	373	4378	153	1	6.0	1	373	0
Host_Membrane.amygdala.robust_bias_aware	337	528	152	1	9.0	11	326	9
Host_Membrane.amygdala.no_tool	152	243	152	0	7.0	63	88	60
Host_Membrane.uniprot_ppi.diamond	390	11001	190	2	5.0	33	358	32
Host_Membrane.uniprot_ppi.rwr	496	6729	190	1	6.0	1	496	0
Host_Membrane.amygdala.rwr	368	4436	152	1	6.0	1	368	0
Host_Membrane.hypothalamus.domino	226	923	30	1	7.0	1	226	0
Host_Membrane.salivary_gland.firstneighbor	5812	155633	154	1	6.0	1	5812	0
Host_Membrane.salivary_gland.robust_bias_aware	333	508	154	1	0	12	321	10
Host_Membrane.amygdala.domino	177	594	38	1	8.0	1	177	0
Host_Membrane.dorsal_root_ganglia.no_tool	163	256	163	0	7.0	66	96	63
Host_Membrane.dorsal_root_ganglia.rwr	387	4721	163	1	6.0	1	387	0
Host_Membrane.hypothalamus.diamond	353	9472	153	2	5.0	25	329	24
Host_Membrane.hypothalamus.robust_bias_aware	330	517	153	1	1.0	12	317	9
Host_Membrane.uniprot_ppi.no_tool	190	321	190	0	7.0	74	111	69
Host_Membrane.brain.diamond	357	9520	157	2	5.0	26	332	25
Host_Membrane.salivary_gland.rwr	368	4371	154	1	6.0	1	368	0
Host_Membrane.brain.robust_bias_aware	341	517	157	1	10.0	12	329	10
Host_Membrane.amygdala.firstneighbor	5731	150032	152	1	5.0	1	5731	0
Host_Membrane.hypothalamus.robust	338	521	153	1	8.0	10	327	7
Host_Membrane.salivary_gland.domino	214	704	36	1	7.0	2	209	0
Host_Membrane.salivary_gland.diamond	354	9387	154	2	5.0	25	330	24
Host_Membrane.amygdala.diamond	352	9454	152	2	5.0	25	328	24
Host_Membrane.dorsal_root_ganglia.robust	351	519	163	1	10.0	12	339	10
Host_Membrane.uniprot_ppi.firstneighbor	7789	215585	190	1	6.0	1	7789	0
Host_Membrane.uniprot_ppi.robust	421	634	190	1	10.0	13	406	9
Host_Membrane.dorsal_root_ganglia.robust_bias_aware	354	533	163	1	10.0	9	346	8
Host_Membrane.salivary_gland.robust	336	508	154	1	10.0	12	324	10
Host_Membrane.brain.firstneighbor	5855	153579	157	1	6.0	1	5855	0
Host_Membrane.brain.no_tool	157	249	157	0	7.0	63	92	59
Host_Membrane.brain.domino	172	593	41	1	7.0	1	172	0
Host_Membrane.salivary_gland.no_tool	154	246	154	0	7.0	64	89	61
Host_Membrane.brain.rwr	379	4546	157	1	6.0	1	379	0
Host_Membrane.uniprot_ppi.domino	240	849	49	1	7.0	1	240	0
Host_Membrane.amygdala.robust	338	518	152	1	11.0	9	330	8
Host_Membrane.dorsal_root_ganglia.diamond	363	9446	163	2	5.0	27	337	26
Host_Membrane.brain.robust	341	505	157	1	12.0	12	330	11
