Seed file	Seeds	Not in network
Host_Nucleus.dorsal_root_ganglia	199	104
Host_Nucleus.uniprot_ppi	277	26
Host_Nucleus.hypothalamus	198	105
Host_Nucleus.amygdala	198	105
Host_Nucleus.brain	206	97
Host_Nucleus.salivary_gland	214	89
