sample	nodes	edges	seeds	max_dist_to_seed	diameter	components	largest_component	isolated_nodes
Entry_and_Uncoating.amygdala.domino	0	0	0	0	0	0	0	0
Entry_and_Uncoating.hypothalamus.robust_bias_aware	195	335	51	1	9.0	1	195	0
Entry_and_Uncoating.dorsal_root_ganglia.diamond	252	1912	52	2	5.0	20	233	19
Entry_and_Uncoating.brain.no_tool	53	7	53	0	0	46	3	41
Entry_and_Uncoating.brain.rwr	143	579	53	1	6.0	1	143	0
Entry_and_Uncoating.uniprot_ppi.domino	57	55	22	1	9.0	6	31	0
Entry_and_Uncoating.hypothalamus.diamond	251	5855	51	2	5.0	10	242	9
Entry_and_Uncoating.dorsal_root_ganglia.rwr	141	600	52	1	6.0	1	141	0
Entry_and_Uncoating.brain.diamond	253	5998	53	2	5.0	10	244	9
Entry_and_Uncoating.salivary_gland.domino	32	33	9	1	3.0	4	12	0
Entry_and_Uncoating.brain.robust_bias_aware	205	350	53	1	7.0	2	200	0
Entry_and_Uncoating.hypothalamus.domino	0	0	0	0	0	0	0	0
Entry_and_Uncoating.dorsal_root_ganglia.no_tool	52	8	52	0	0	44	4	39
Entry_and_Uncoating.dorsal_root_ganglia.domino	22	22	7	1	6.0	1	22	0
Entry_and_Uncoating.brain.robust	209	349	53	1	10.0	1	209	0
Entry_and_Uncoating.amygdala.robust	184	319	50	1	10.0	1	184	0
Entry_and_Uncoating.uniprot_ppi.no_tool	60	9	60	0	0	51	4	45
Entry_and_Uncoating.uniprot_ppi.robust	222	363	60	1	8.0	3	216	1
Entry_and_Uncoating.hypothalamus.no_tool	51	7	51	0	0	44	3	39
Entry_and_Uncoating.uniprot_ppi.rwr	284	1932	60	1	6.0	1	284	0
Entry_and_Uncoating.uniprot_ppi.firstneighbor	3383	82292	60	1	5.0	1	3383	0
Entry_and_Uncoating.amygdala.no_tool	50	7	50	0	0	43	3	38
Entry_and_Uncoating.uniprot_ppi.robust_bias_aware	227	372	60	1	8.0	3	221	1
Entry_and_Uncoating.dorsal_root_ganglia.robust	196	341	52	1	9.0	1	196	0
Entry_and_Uncoating.brain.firstneighbor	2577	58678	53	1	5.0	1	2577	0
Entry_and_Uncoating.amygdala.rwr	138	502	50	1	6.0	1	138	0
Entry_and_Uncoating.brain.domino	7	6	4	1	5.0	1	7	0
Entry_and_Uncoating.dorsal_root_ganglia.robust_bias_aware	197	338	52	1	8.0	2	192	0
Entry_and_Uncoating.uniprot_ppi.diamond	260	2648	60	2	6.0	25	235	23
Entry_and_Uncoating.hypothalamus.rwr	140	529	51	1	6.0	1	140	0
Entry_and_Uncoating.amygdala.firstneighbor	2459	55388	50	1	5.0	1	2459	0
Entry_and_Uncoating.hypothalamus.robust	191	324	51	1	10.0	1	191	0
Entry_and_Uncoating.salivary_gland.firstneighbor	2539	56951	47	1	5.0	1	2539	0
Entry_and_Uncoating.salivary_gland.rwr	119	410	47	1	7.0	1	119	0
Entry_and_Uncoating.dorsal_root_ganglia.firstneighbor	2650	61322	52	1	6.0	1	2650	0
Entry_and_Uncoating.salivary_gland.robust_bias_aware	201	342	47	1	8.0	2	197	0
Entry_and_Uncoating.hypothalamus.firstneighbor	2511	57529	51	1	5.0	1	2511	0
Entry_and_Uncoating.amygdala.robust_bias_aware	186	315	50	1	9.0	2	181	0
Entry_and_Uncoating.salivary_gland.diamond	247	2432	47	2	6.0	15	233	14
Entry_and_Uncoating.amygdala.diamond	250	5962	50	2	4.0	12	239	11
Entry_and_Uncoating.salivary_gland.no_tool	47	6	47	0	0	41	4	37
Entry_and_Uncoating.salivary_gland.robust	202	352	47	1	9.0	1	202	0
