name	submodule	is_seed	spd	component_id
Q15427	1	1	0.09821428571428571	0
Q9UMS4	1	1	0.07608695652173914	0
Q6P2Q9	1	1	0.08522727272727272	0
Q15393	1	1	0.07608695652173914	0
Q86XP3	1	1	0.11363636363636363	0
O75533	1	1	0.06217616580310881	0
Q86SE5	1	1	0.10256410256410256	0
Q12926	1	1	0.07142857142857142	0
Q9P1W9	1	1	0.1	0
P09914	1	1	0.09302325581395349	0
Q13573	1	0	0.08166666666666667	0
Q92733	1	0	0.044444444444444446	0
Q8WUD4	1	0	0.18181818181818182	0
O43143	1	0	0.07389162561576355	0
O75940	1	0	0.075	0
O95926	1	0	0.11764705882352941	0
O14879	1	0	0.14754098360655737	0
P51617	2	1	0.09302325581395349	0
Q9Y6K9	2	1	0.07894736842105263	0
Q9UHD2	2	1	0.12244897959183673	0
Q9Y4K3	2	1	0.07839388145315487	0
Q5D1E8	2	1	0.17647058823529413	0
Q13546	2	1	0.1	0
Q9NYJ8	2	1	0.1792452830188679	0
Q15750	2	1	0.08270676691729323	0
Q9BYM8	2	1	0.12857142857142856	0
Q9BYX4	2	1	0.3181818181818182	0
Q7Z434	2	1	0.16346153846153846	0
P10914	2	1	0.13043478260869565	0
O95786	2	1	0.15517241379310345	0
Q8WXF8	2	1	0.1111111111111111	0
Q8N5C8	2	0	0.34615384615384615	0
Q53GL7	2	0	0.21428571428571427	0
Q14142	2	0	0.3333333333333333	0
O94826	2	0	0.1388888888888889	0
O96018	2	0	0.10256410256410256	0
P55212	2	0	0.1282051282051282	0
Q92851	2	0	0.11363636363636363	0
Q96P71	2	0	0.3333333333333333	0
Q9Y6R0	2	0	0.12903225806451613	0
Q9P202	2	0	0.2	0
Q96CG3	2	0	0.10526315789473684	0
Q9UL19	2	0	0.18181818181818182	0
Q99607	2	0	0.21428571428571427	0
Q9H6S1	2	0	0.4	0
Q96AX9	2	0	0.25	0
Q10589	2	0	0.2	0
Q86WI3	2	0	0.75	0
Q99706	2	0	0.3333333333333333	0
O15455	2	0	0.22580645161290322	0
O14920	2	0	0.08648648648648649	0
O76080	2	0	0.15	0
O14730	2	0	0.10714285714285714	0
O14836	2	0	0.06666666666666667	0
A7MCY6	2	0	0.25	0
O43657	2	0	0.2857142857142857	0
Q5VYS4	2	0	1.0	0
Q96G61	2	0	0.5	0
Q71SY5	3	1	0.20930232558139536	0
Q9NX70	3	1	0.1348314606741573	0
Q9ULK4	3	1	0.08860759493670886	0
Q96G25	3	1	0.18181818181818182	0
Q9NVC6	3	1	0.16666666666666666	0
Q00403	3	1	0.04395604395604396	0
P24863	3	1	0.1388888888888889	0
O43513	3	1	0.23529411764705882	0
O95602	3	1	0.034482758620689655	0
Q13503	3	0	0.102803738317757	0
P23193	3	0	0.038461538461538464	0
Q5T200	3	0	0.1568627450980392	0
Q15528	3	0	0.2413793103448276	0
Q8TB05	3	0	0.5	0
O14802	3	0	0.08571428571428572	0
Q9H2P0	4	1	0.1836734693877551	0
P50402	4	1	0.07602339181286549	0
Q92922	4	1	0.19008264462809918	0
