gene	n_methods
P0C7W6	6
Q5JR59	6
Q13547	6
Q9BQ66	6
O95273	6
Q01484	6
P51617	6
Q9UPY8	6
Q7Z4H7	6
P63172	6
Q8N6Y0	6
P49116	6
Q8ND90	6
Q08379	6
O94776	6
Q9Y4K3	6
Q15750	6
Q9NYJ8	6
Q9UKT9	6
Q9Y6K9	6
P51808	6
Q13137	6
Q15427	5
Q96FN5	5
Q96IJ6	5
Q9H0A8	5
Q8IZ63	5
Q8N9W6	5
O14964	5
P43355	5
O14770	5
Q9Y287	5
Q14576	5
Q9GZV8	5
Q16633	5
P62826	5
Q14203	5
Q99816	5
Q16666	5
P0CG48	5
Q15843	5
Q6P1W5	5
P46531	4
P62993	4
O95166	4
Q13618	4
P19838	4
Q16543	4
Q15796	3
P29474	3
P02545	3
Q01844	3
P05067	3
P16333	3
P01106	3
Q9BQ95	3
P78347	3
Q9H3L0	3
Q8IUQ4	3
O14530	3
O75381	3
P04629	3
P0C7X2	3
Q01850	2
P34925	2
P43405	2
Q9Y2I6	2
Q9H788	2
P62987	2
O43353	2
O14980	2
P25786	2
Q86X19	2
P05412	2
Q9UQC1	2
P14859	2
P23769	2
Q8IWL3	2
P42566	2
Q6IQ23	2
O60341	2
O95777	2
P32780	2
Q06124	2
Q15942	2
P04439	2
P78362	1
O00463	1
O95786	1
O14920	1
O00221	1
O15455	1
O00571	1
Q9NWG8	1
O43734	1
O75604	1
P01375	1
O95999	1
O43318	1
O15111	1
Q15910	1
Q9Y2H9	1
Q03154	1
Q9H0A6	1
Q9GZZ9	1
Q969G3	1
Q9Y3C6	1
O76031	1
P07196	1
Q93062	1
Q13561	1
Q14204	1
Q86TT2	1
Q9GZT8	1
Q13573	1
P05387	1
Q92734	1
Q14258	1
Q15154	1
Q14653	1
P07814	1
P17066	1
P31749	1
Q13114	1
Q96ME1	1
Q13418	1
Q13158	1
P27708	1
Q9BVA1	1
P35228	1
P07437	1
P0CG47	1
P23258	1
P17987	1
P06748	1
P03372	1
O60884	1
P41279	1
Q9H3P2	1
Q9C0B0	1
Q92985	1
Q8IUC6	1
P20333	1
Q15628	1
O95793	1
Q7Z434	1
Q9BXL7	1
P57078	1
Q14568	1
Q99836	1
Q92844	1
P46783	1
P04350	1
Q01201	1
Q96LX7	1
Q9H3Q3	1
Q96NL3	1
O95171	1
P58505	1
P57796	1
A0PJX4	1
B0FTY2	1
Q8WVV9	1
A8K8Y5	1
Q09FC8	1
Q6ZN96	1
Q12765	1
Q16854	1
P30954	1
Q8N7G1	1
Q8TE01	1
B2R4U6	1
Q8N6N6	1
Q7Z3K6	1
Q9BZT1	1
Q92823	1
P48146	1
Q66K41	1
O43251	1
A0A1B0GUU1	1
Q6P4J0	1
Q8IXS8	1
Q8IYX3	1
Q9HC39	1
P25800	1
Q8N9J2	1
Q96S90	1
Q6ZN57	1
O95990	1
A0A024R5S0	1
Q6ICB0	1
Q9UKN5	1
Q8TBJ5	1
Q8IV32	1
Q9H8N7	1
Q5THR3	1
Q14865	1
Q9NQZ3	1
Q5VYS4	1
O60573	1
P84101	1
Q86Y33	1
Q12926	1
Q15561	1
P00533	1
Q14129	1
Q9H8W4	1
P01023	1
P78556	1
Q8NFU5	1
Q99706	1
O94885	1
Q15306	1
Q8N2H9	1
O43237	1
Q9Y4X4	1
P05937	1
Q8TEU7	1
Q8IWB9	1
Q9NWB6	1
Q15723	1
O95096	1
O14753	1
O95567	1
O14519	1
O14862	1
Q9NP61	1
Q00610	1
P49736	1
Q6P1J9	1
Q99759	1
Q00653	1
P38398	1
P49841	1
Q93034	1
P04406	1
Q92905	1
Q9UHD2	1
Q9Y265	1
Q13616	1
Q9UQL6	1
Q9Y230	1
P08670	1
P05141	1
Q9UBS0	1
P46782	1
Q9BQE3	1
P68371	1
P62280	1
P50991	1
P62266	1
P39023	1
P39019	1
P60709	1
P25705	1
Q12933	1
Q96EP0	1
P55072	1
Q7Z6Z7	1
P49407	1
P63261	1
Q14164	1
Q13233	1
Q9NQC7	1
Q9H492	1
Q9H0R8	1
Q9HCE7	1
Q9GZQ8	1
P62753	1
P83731	1
P62913	1
Q9UBN7	1
Q02878	1
Q07020	1
P62906	1
Q9UNE7	1
Q8IWV7	1
Q8NE31	1
P10415	1
Q96PD2	1
Q14790	1
P62258	1
Q00839	1
P08238	1
P78527	1
P11142	1
P27348	1
P34931	1
P25942	1
P34932	1
P07900	1
P63104	1
O95831	1
Q15653	1
Q99832	1
Q13501	1
P0DMV8	1
P04637	1
Q5S007	1
P32969	1
Q9BYM8	1
Q05639	1
P21580	1
Q9UDY8	1
P31689	1
Q13489	1
P11021	1
P62277	1
Q9HC29	1
P48729	1
P60866	1
P31943	1
Q8NFZ5	1
Q3ZCQ8	1
Q13490	1
P10809	1
P10636	1
P09651	1
P05388	1
O60260	1
O95816	1
Q99615	1
P25963	1
P20749	1
Q9Y572	1
P13639	1
Q9NRD1	1
P60520	1
P62701	1
P17844	1
P29353	1
P36578	1
P18124	1
P68104	1
Q04864	1
P40227	1
Q96EY1	1
Q13509	1
P49327	1
P49368	1
P42677	1
P62269	1
P48643	1
P19438	1
P46781	1
P98170	1
P62424	1
P78371	1
P50990	1
P62249	1
P62241	1
Q99558	1
P61247	1
Q13546	1
P30050	1
P35637	1
Q8N5C8	1
P32121	1
P23396	1
P35268	1
Q9H0F6	1
P62263	1
P0DP23	1
Q71U36	1
P46778	1
P38646	1
Q04206	1
P46777	1
Q08380	1
P62244	1
P62829	1
Q13077	1
