gene	n_methods
P49763	6
P0DJI8	6
P82980	6
Q8N998	6
P55774	6
P36955	6
Q16394	6
Q7L5A8	6
Q9BQ66	6
P15328	6
Q15772	6
Q9HCD5	6
Q12926	6
P21673	6
Q99750	6
P54920	6
Q7Z4H7	6
Q9BRK4	6
Q9H159	6
Q96FQ6	6
Q8N5R6	6
Q9Y3Q8	6
O15392	5
Q969F0	5
P56181	5
Q15223	5
O76095	5
P15531	5
Q96BA8	5
O75177	5
P01024	5
Q8WVF5	5
P35914	5
P08567	5
P05408	5
Q14576	5
Q9NRS6	5
P10914	5
Q15382	5
Q53RE8	5
Q99962	5
P52789	5
Q9BXS6	5
P41240	5
Q92956	5
Q9NZL4	5
Q86SE5	5
P0CG48	5
O95639	5
Q16666	5
Q9UBQ5	5
Q8WUH6	5
Q9BUL8	5
Q9BX68	5
Q9C0F1	5
Q8TBF5	5
O14933	5
Q96IT1	5
O43865	5
Q9NRP0	5
Q5JUX0	5
Q96R06	4
P51116	4
Q96HA8	4
O60462	4
P25391	4
Q16695	4
Q04727	4
Q12933	4
Q9NRR5	4
Q8TEW0	3
P55055	3
O95789	3
Q15717	3
Q9H2H9	3
P01106	3
P40337	3
Q13617	3
O75477	3
Q969R5	3
P00488	3
P40692	3
P49721	3
O75364	3
Q9UI14	3
O95292	3
Q9UMX0	3
Q96PU5	3
Q15041	3
P16871	3
Q8IYH5	3
Q8IWL3	3
Q86VN1	3
Q8N6Y0	3
Q6IBW4	3
Q9Y5S9	3
Q9UIQ6	3
Q04724	3
Q14194	3
P11362	3
Q9UKB1	3
Q13618	3
P62987	3
O60341	3
Q96AD5	3
P07948	3
P32121	3
O00560	3
Q12931	3
Q14999	3
P34897	3
O14786	3
P31689	3
Q99873	3
P04637	3
Q8N205	3
P49902	3
Q9UKV8	3
P55085	3
Q969H0	3
O43741	3
Q13432	3
P36897	3
P04156	3
Q8IVT5	3
P27448	3
P29144	3
Q9HCE1	3
P0CG47	3
P05067	3
P62979	3
Q9UKR5	3
P26038	3
Q04206	3
P02751	3
Q9UBU9	3
Q8IWA0	3
Q9BQB6	3
P51659	3
F7VJQ1	3
Q14BN4	3
Q9NPJ6	3
Q96BY9	3
Q13620	3
Q6IQ23	3
P05161	3
Q9NQC3	3
P15692	3
P17948	3
Q13263	3
Q9NQC7	3
O43889	3
P11021	3
P12830	3
Q15714	3
Q92838	3
Q00403	3
P02545	3
Q07666	3
Q04771	3
P68400	3
O95376	3
Q9BZ71	2
P55809	2
O14964	2
P09651	2
Q9NX14	2
O60216	2
Q9P0L0	2
O00267	2
Q9BPX3	2
P12882	2
Q3MHD2	2
Q9NWS9	2
P35226	2
P17024	2
O95273	2
O15162	2
O76003	2
P49748	2
P50402	2
P27348	2
Q9Y2K6	2
P08572	2
P29590	2
Q9UMR2	2
P12236	2
Q9NPC1	2
P61956	2
Q9GZS3	2
Q12983	2
Q3SYB3	2
P46531	2
P00519	2
O75489	2
P01871	2
Q9BXR6	2
Q9NQ55	2
Q12906	2
Q9NPL8	2
Q06455	2
P17152	2
Q8NFQ8	2
P19320	2
P11388	2
Q9BQ95	2
P63000	2
P13612	2
P63027	2
P50222	2
P55072	2
O75592	2
P08185	2
Q9P0J0	2
O15354	2
Q9BV68	2
P22314	2
P37231	2
O00155	2
P01031	2
Q13185	2
Q9Y228	2
O60238	2
P60953	2
P22087	2
P28331	2
O60260	2
Q16762	1
Q96HR9	1
Q9BQE4	1
Q96NY8	1
P15151	1
Q13873	1
P16444	1
Q5JVL4	1
Q96GX5	1
P80370	1
O14980	1
P51677	1
Q9HCE5	1
Q14642	1
P01023	1
P00390	1
P20309	1
O43586	1
P51685	1
P49916	1
Q9Y2H9	1
P07996	1
Q7L775	1
Q6NUS6	1
Q9P2G9	1
Q9NQP4	1
O75530	1
Q9NY72	1
Q01955	1
P21802	1
Q9H0A6	1
P41597	1
P33240	1
Q9NSG2	1
Q2QGD7	1
Q8NEM0	1
Q9NRD1	1
P07686	1
P12004	1
P04626	1
Q8IZW8	1
Q9NVF7	1
Q15058	1
Q15466	1
P05412	1
P23142	1
Q9NYD6	1
P29474	1
Q9Y448	1
Q96IR7	1
Q8NBM4	1
Q9UHI7	1
Q08117	1
Q8TES7	1
Q9H2X0	1
Q9H788	1
Q8TBB1	1
Q2TAC2	1
Q96NC0	1
Q6NYC8	1
Q13077	1
Q13137	1
Q3KQV3	1
P25786	1
Q15040	1
Q9UKT9	1
Q8IXK0	1
Q9UJV3	1
Q53TS8	1
Q7Z417	1
Q0D2H9	1
Q9Y2D8	1
P40222	1
Q8IYX8	1
Q02930	1
O43609	1
Q9BYV2	1
Q8NHQ1	1
Q8ND90	1
Q08379	1
Q9P2K3	1
Q9BVG8	1
Q3B820	1
Q86YD7	1
Q13895	1
Q96BZ8	1
Q6NT76	1
Q96IX9	1
Q9BT49	1
Q14129	1
Q96BR9	1
P25791	1
Q9NWQ4	1
Q9HBZ2	1
Q13875	1
Q5W5X9	1
Q9P0T4	1
Q9H0I2	1
P60409	1
Q9Y2J4	1
Q68D86	1
P13646	1
Q9BYQ2	1
Q9BYR7	1
Q92608	1
Q9BYQ4	1
Q6NUQ1	1
P19012	1
Q8WWY3	1
Q9H9D4	1
Q96GN5	1
Q969G3	1
P19544	1
Q9BQ24	1
Q01850	1
Q8TBZ8	1
Q9BWG6	1
Q9Y252	1
Q8TD31	1
Q9NVL8	1
Q9UKJ5	1
Q9BXY8	1
Q5HYJ3	1
Q8TBE0	1
O75558	1
Q96CS2	1
Q5JR59	1
Q9BYR5	1
Q8TD10	1
Q8NA61	1
Q9NX04	1
Q5VU43	1
Q8IWZ5	1
Q9H257	1
O76015	1
Q7Z3B3	1
P49639	1
Q9H2G9	1
Q7Z6G3	1
P55081	1
Q9Y223	1
Q9UBB9	1
Q96JN2	1
Q6A162	1
P60410	1
P60369	1
Q15323	1
Q15834	1
P15622	1
Q8N715	1
Q9H5Z6	1
Q5TZK3	1
Q9BVV2	1
P55040	1
Q8NEC5	1
O75525	1
Q8WTP8	1
Q7Z3S9	1
P29972	1
Q8N5A5	1
Q6UY14	1
Q6RVD6	1
P27658	1
