Seed file	Seeds	Not in network
Immune_Evasion.brain	93	67
Immune_Evasion.salivary_gland	105	55
Immune_Evasion.hypothalamus	88	72
Immune_Evasion.amygdala	89	71
Immune_Evasion.dorsal_root_ganglia	91	69
Immune_Evasion.uniprot_ppi	144	16
