sample	nodes	edges	seeds	max_dist_to_seed	diameter	components	largest_component	isolated_nodes
Immune_Evasion.dorsal_root_ganglia.domino	150	661	45	1	7.0	1	150	0
Immune_Evasion.dorsal_root_ganglia.robust_bias_aware	133	169	85	1	16.0	6	127	4
Immune_Evasion.amygdala.no_tool	83	251	83	0	6.0	16	67	14
Immune_Evasion.brain.firstneighbor	4179	120036	83	1	4.0	1	4179	0
Immune_Evasion.salivary_gland.firstneighbor	4635	132469	86	1	4.0	1	4635	0
Immune_Evasion.hypothalamus.rwr	230	4304	82	1	5.0	1	230	0
Immune_Evasion.uniprot_ppi.no_tool	112	325	112	0	6.0	23	89	21
Immune_Evasion.brain.no_tool	83	235	83	0	6.0	18	64	15
Immune_Evasion.hypothalamus.diamond	282	10305	82	2	4.0	5	278	4
Immune_Evasion.amygdala.robust	130	166	83	1	11.0	7	123	5
Immune_Evasion.hypothalamus.firstneighbor	4129	118685	82	1	5.0	1	4129	0
Immune_Evasion.uniprot_ppi.rwr	320	7270	112	1	5.0	1	320	0
Immune_Evasion.dorsal_root_ganglia.no_tool	85	252	85	0	6.0	17	68	15
Immune_Evasion.amygdala.robust_bias_aware	131	168	83	1	12.0	4	128	3
Immune_Evasion.salivary_gland.no_tool	86	253	86	0	6.0	16	70	14
Immune_Evasion.amygdala.firstneighbor	4473	125061	83	1	5.0	1	4473	0
Immune_Evasion.brain.robust_bias_aware	134	176	83	1	12.0	8	125	5
Immune_Evasion.amygdala.rwr	243	4651	83	1	4.0	1	243	0
Immune_Evasion.dorsal_root_ganglia.robust	134	169	85	1	12.0	8	126	6
Immune_Evasion.dorsal_root_ganglia.firstneighbor	4603	132256	85	1	5.0	1	4603	0
Immune_Evasion.salivary_gland.rwr	243	4899	86	1	4.0	1	243	0
Immune_Evasion.brain.domino	204	761	47	1	9.0	1	204	0
Immune_Evasion.hypothalamus.domino	193	709	41	1	7.0	1	193	0
Immune_Evasion.uniprot_ppi.robust	201	288	112	1	12.0	5	196	3
Immune_Evasion.amygdala.domino	199	709	44	1	7.0	1	199	0
Immune_Evasion.hypothalamus.robust	135	173	82	1	13.0	8	127	6
Immune_Evasion.amygdala.diamond	283	10383	83	1	4.0	4	280	3
Immune_Evasion.uniprot_ppi.firstneighbor	5837	175605	112	1	5.0	1	5837	0
Immune_Evasion.uniprot_ppi.domino	289	1198	63	1	7.0	1	289	0
Immune_Evasion.salivary_gland.robust	135	174	86	1	11.0	7	128	5
Immune_Evasion.uniprot_ppi.diamond	312	12258	112	1	5.0	3	310	2
Immune_Evasion.salivary_gland.diamond	286	10377	86	1	5.0	4	283	3
Immune_Evasion.brain.robust	133	173	83	1	10.0	7	126	5
Immune_Evasion.hypothalamus.robust_bias_aware	135	182	82	1	11.0	5	130	3
Immune_Evasion.brain.diamond	283	10349	83	2	4.0	5	279	4
Immune_Evasion.salivary_gland.domino	136	556	40	1	9.0	1	136	0
Immune_Evasion.hypothalamus.no_tool	82	234	82	0	6.0	18	64	16
Immune_Evasion.dorsal_root_ganglia.diamond	285	10441	85	1	5.0	4	282	3
Immune_Evasion.brain.rwr	245	4809	83	1	5.0	1	245	0
Immune_Evasion.dorsal_root_ganglia.rwr	226	4439	85	1	4.0	1	226	0
Immune_Evasion.salivary_gland.robust_bias_aware	134	171	86	1	12.0	5	129	3
Immune_Evasion.uniprot_ppi.robust_bias_aware	203	291	112	1	12.0	5	198	3
