name	is_seed	spd	component_id
Q14240	1	1.0	0
P02511	1	1.0	0
Q16666	1	1.0	0
P62736	1	1.0	0
Q9Y4K3	1	1.0	0
Q08380	1	1.0	0
Q8NEY4	1	1.0	0
P19474	1	1.0	0
Q15056	1	1.0	0
Q9NRA8	1	1.0	0
O95816	1	1.0	0
P07437	1	1.0	0
Q8NFH5	1	1.0	0
O60341	1	1.0	0
Q01850	1	1.0	0
P13056	1	1.0	0
P19419	1	1.0	0
Q92478	1	1.0	0
P07339	1	1.0	0
P48454	1	1.0	0
Q01081	1	1.0	0
Q14576	1	1.0	0
Q9HD23	1	1.0	0
P04259	1	1.0	0
Q12926	1	1.0	0
P10398	1	1.0	0
P09914	1	1.0	0
O14770	1	1.0	0
P25101	1	1.0	0
Q9Y6H6	1	1.0	0
P29992	1	1.0	0
P34903	1	1.0	0
Q8WXF8	1	1.0	0
Q9NWS9	1	1.0	0
O14964	1	1.0	0
Q86VW0	1	1.0	0
Q5T7M9	1	1.0	0
Q9NS71	1	1.0	0
Q68DY1	1	1.0	0
O14782	1	1.0	0
O00459	1	1.0	0
Q9Y2W1	0	0.7132867132867133	0
Q9Y266	0	0.45977011494252873	0
Q9UMR2	0	0.3448275862068966	0
Q9Y3X0	0	0.5416666666666666	0
Q9UNE7	0	0.5969230769230769	0
Q99729	0	0.7333333333333333	0
P62906	0	0.6403940886699507	0
Q9UHA3	0	0.6296296296296297	0
Q8IY81	0	0.6956521739130435	0
Q7L2E3	0	0.6581196581196581	0
Q96ME7	0	0.5975609756097561	0
Q15910	0	0.5632183908045977	0
Q08211	0	0.6666666666666666	0
Q9NZI8	0	0.7109375	0
Q02543	0	0.6772908366533864	0
Q99873	0	0.5714285714285714	0
Q15050	0	0.6395348837209303	0
Q9Y3U8	0	0.6060606060606061	0
Q9NWT1	0	0.6470588235294118	0
Q9NR30	0	0.7182320441988951	0
P68431	0	0.45951859956236324	0
Q99575	0	0.5955056179775281	0
Q13310	0	0.7212121212121212	0
Q15397	0	0.71875	0
P62750	0	0.6428571428571429	0
Q07020	0	0.6844106463878327	0
Q96AC1	0	0.609375	0
Q9H7E9	0	0.47692307692307695	0
Q96GQ7	0	0.7764705882352941	0
Q49A26	0	0.581081081081081	0
Q9NQ55	0	0.664	0
Q6PK04	0	0.5925925925925926	0
Q99496	0	0.5747282608695652	0
Q9BWE0	0	0.46875	0
Q16539	0	0.4306049822064057	0
Q09161	0	0.5657894736842105	0
Q9BRZ2	0	0.6923076923076923	0
Q9H7B2	0	0.7375	0
P62854	0	0.5833333333333334	0
Q15022	0	0.6324324324324324	0
Q9BZE4	0	0.6875	0
Q14790	0	0.5463414634146342	0
Q9BRT6	0	0.7142857142857143	0
Q504Q3	0	0.5831062670299727	0
Q9Y6M1	0	0.7547169811320755	0
Q9Y324	0	0.296875	0
Q9H9Y2	0	0.48717948717948717	0
Q9NVX2	0	0.6216216216216216	0
Q7Z2W4	0	0.6733333333333333	0
Q8NDF8	0	0.4444444444444444	0
