O60260,P78352
O60260,P07197
O60260,Q9BT88
O60260,Q05639
O60260,Q16720
O60260,Q07687
O60260,Q4VCS5
O60260,Q9UQM7
O60260,P07196
O60260,P78396
O60260,Q86YM7
O60260,O95718
O60260,P54829
O60260,Q96M98
O60260,Q13224
O60260,P17600
O60260,P62508
O60260,Q99719
O60260,Q13002
O60260,Q16352
O60260,P05060
O60260,P09936
P55316,Q9NSC2
P55316,Q9UPW6
Q15049,Q9Y4J8
Q9H2J7,Q9ULR3
Q02156,Q99259
Q02156,Q05586
Q02156,Q05329
P29323,Q13224
P29323,Q05586
P29323,Q9UM73
P28335,P78352
P28335,Q8TBE7
P28335,Q16720
P28335,Q8TD22
P28335,Q96D05
P28335,Q9NZH0
P28335,Q01814
P28335,Q5T1Q4
O60939,Q9UQ16
O60939,Q05193
O60939,O75155
O60939,Q13509
O60939,P23468
P04201,Q8TD22
P04201,Q96D05
P04201,Q8TBE7
P04201,P20337
Q05639,Q86YT5
Q05639,Q86YM7
Q05639,Q86YD3
Q05639,Q92784
Q12926,Q86SE5
Q12926,Q6ZN17
Q12926,Q14576
Q12926,Q6VAB6
Q12926,Q8N6W0
Q5VSG8,Q9Y278
Q5VSG8,Q96FT7
Q5VSG8,Q8IVM8
Q16288,Q9ULP9
Q16288,Q9P104
Q1L5Z9,Q9BPU6
Q14500,Q15700
Q14500,Q9Y4J8
Q15818,Q8N2G4
Q15818,Q24JP5
O75325,Q9H819
O75325,P13637
O75325,Q9HD90
Q02962,Q9UQF2
Q02962,Q9HBH7
Q02962,Q96S79
O75155,Q6ZRI8
O75155,Q16849
O75155,Q6UXF1
O75155,P20309
O75155,P08173
O75155,P50406
O75155,P28335
P60880,Q16623
P60880,Q86UR5
P60880,Q05193
P60880,P61764
P60880,Q86SS6
P60880,Q14721
P60880,Q9BQG1
P60880,Q7Z6L0
P60880,Q9C026
Q07001,Q9H819
Q07001,Q9NRU3
Q07001,Q9NZH0
Q07001,Q99758
Q07001,Q6T4P5
Q13224,Q8TCU5
Q13224,Q7Z7J9
Q13224,Q15700
Q13224,Q9UQM7
Q13224,Q13554
P57721,Q8IYK4
O75069,Q8IYR0
O75069,Q86YD7
O75069,Q05513
P09104,Q9UI15
P09104,Q5JVS0
Q9ULP9,Q9Y345
P05129,Q9NPB6
P05129,Q13224
P05129,P14867
P05129,P48169
P05129,Q92686
P05129,P48058
P05129,Q5JVS0
P05129,Q96DZ5
P05129,P61764
P05129,Q9NY46
P05129,P14136
P05129,Q05586
O60282,Q86YM7
O60282,Q12840
Q86YM7,Q92736
Q86YM7,Q9Y566
Q86YM7,Q9UL62
Q86YM7,Q99490
Q86YM7,Q8TDR4
Q86YM7,Q9H254
Q86YM7,Q8N4N8
Q86YM7,Q9UQ16
P55075,Q2Q1W2
O76081,Q2WGJ6
O76081,Q9Y2G0
O76081,Q86TV6
O76081,P19086
O76081,Q93045
O76081,Q12756
O76081,P09471
Q9HBZ2,Q9Y2D8
A8MT70,Q9UQ16
A8MT70,Q05193
A8MT70,Q8TDW7
Q00005,Q9Y4B5
Q00005,Q9Y2T4
Q00005,Q05639
O15540,Q9UI15
O43559,Q16620
O43559,Q8HWS3
O43559,Q92730
O43559,P42679
P20648,Q9UP52
P32239,Q9P121
P03952,Q04756
P17600,P49418
P17600,Q92777
Q9UBE8,Q9UPX8
Q969F0,Q9ULS6
Q969F0,Q9NS64
Q969F0,Q9H7V2
Q969F0,Q96NL1
Q9HC56,Q9Y5G3
P23942,Q14028
P35609,Q9Y2D8
P35609,Q13224
P35609,Q9H2S1
P35609,Q01668
P35609,P54296
P35609,P78352
P35609,Q14D33
P35609,Q05586
Q8NFN8,Q9HDC5
O14514,Q92561
O14514,Q86UL8
O14514,O94812
O14514,P78352
Q9NPB6,Q9NQ66
P07949,Q92529
P07949,Q6PKX4
P07949,Q9BV47
P07949,Q9P104
P07949,Q15256
P07949,P24588
P07949,Q96EQ0
Q6VAB6,Q96N16
O15240,O60260
Q8TAB3,Q9Y5G3
Q9Y2T4,Q9Y4B5
P61266,P61764
P25054,Q8N1I0
P25054,Q9NPB6
P25054,Q8IYR6
P25054,Q96JN2
P25054,Q8N7J2
P25054,P46821
P25054,Q8N944
P25054,Q16478
P25054,Q8IVL0
Q8IYK4,Q9Y6Z7
P54829,P78352
P62166,Q9NZV8
P62166,Q9BTV5
P62166,Q8N5S1
O14782,P25054
Q12950,Q9NU39
P20265,P35716
O15075,Q9UPQ3
O15075,Q8WXF0
O15075,Q9ULR3
O15075,O43602
O15075,Q69YU3
Q00872,Q4VCS5
Q6ZRI8,Q96JG8
P58400,Q7L8C5
P58400,Q9Y6X6
P58400,Q8N2Q7
P58400,Q9NZ94
O14764,Q9H819
Q8N6N7,Q9ULP9
Q8N6N7,Q9ULD0
P04350,Q9Y574
P04350,Q01101
P04350,Q8N831
P27169,Q8TD22
Q6ZU52,Q9BUH8
P21246,Q9UM73
P21246,Q99689
P21246,Q9Y6N8
P21246,Q96D09
P21246,Q9UHF0
P21246,Q96NT1
O00213,O76050
O00213,P51693
O00213,P08247
Q2Q1W2,Q6ZN17
P10589,P55316
P10589,Q15777
P10589,Q96JE9
P23416,Q9NRU3
A5D8V7,Q7Z6G3
Q16799,Q8WY07
Q8IVM8,Q9NXB9
Q8IVM8,Q96MV1
P14136,Q16352
P14136,Q9UIF3
P14136,Q9H2X3
P14136,Q6ZU52
P14136,Q8IYR0
P26367,P41225
P26367,P50458
P26367,P58304
P20309,P49798
P20309,Q9UH03
P20309,Q13509
P20309,Q8IZF0
P20309,Q96N16
P20309,Q96D05
P20309,Q3ZCM7
P20309,Q9HDC5
P20309,Q5JY77
P20309,Q52MB2
Q9C026,Q9Y2D8
Q504Y0,Q5VSG8
Q504Y0,Q9H0Q3
Q12860,Q92752
Q12860,Q9UHC6
Q12860,Q9Y5G3
P19022,Q16827
P19022,Q13002
P19022,Q15256
P19022,Q9UQB3
P19022,Q9BV47
P19022,Q05586
Q86YD3,Q9NY47
Q8WXF0,Q9ULR3
Q8WXF0,Q9UPQ3
P78352,Q09470
P78352,Q9UPX8
P78352,P78508
P78352,Q9Y698
P78352,Q14500
P78352,Q02779
P78352,Q9P0K1
P78352,Q9NZ94
P78352,Q9UI32
P78352,Q16620
P78352,Q9UHC3
P78352,Q8N2Q7
P78352,Q8TCU5
P78352,Q12879
P78352,Q05586
P78352,Q8N0W4
P78352,Q16478
P78352,Q13002
P78352,Q01814
P78352,Q8WXI2
P78352,Q9Y566
P78352,P78559
P78352,Q7LC44
P78352,Q9P2E7
P78352,Q15700
P78352,Q13224
P78352,Q9Y2T3
P78352,Q9P2W3
P78352,Q15303
P78352,Q14957
P78352,Q9NZV8
P78352,Q9BUH8
P42262,P42263
P42262,P78352
P42262,Q13002
P42262,Q99490
P42262,Q9Y698
P42262,Q13303
P47902,Q2Q1W2
P47902,Q9NY65
P47902,Q12926
Q05586,Q13224
Q05586,Q16352
Q05586,Q15303
Q05586,Q12879
Q05586,Q9Y698
Q05586,Q15700
Q05586,Q8TCU5
Q5JR59,Q8TAB5
Q5JR59,Q86YD7
Q5JR59,Q5T7P8
Q5JR59,Q9HBZ2
Q5JR59,Q8NFP7
P05771,P22460
P05771,P18507
P05771,Q13224
P05771,Q05586
P05771,P13591
P05771,P47870
P05771,P17677
P05771,Q5JVS0
P05771,P61764
P05771,Q5T7P8
P05771,Q92686
Q7Z6J6,Q9Y5I4
Q7Z6J6,Q92823
P21817,Q86YM7
P21817,Q92736
P21817,P54296
P21817,Q13698
Q9NZV8,Q9P0X4
Q9NZV8,Q9Y2W7
Q9HCH3,Q9UPW6
P09471,P49802
P09471,P35372
P09471,Q9NPG2
P09471,Q9UQM7
P09471,P63215
P09471,P41143
P09471,P30542
P09471,Q00975
P09471,P49798
P09471,Q9UQD0
P09471,Q13956
Q9NRW1,Q9Y5I4
Q13509,Q86YD3
Q13509,Q9Y278
Q13509,Q8N831
Q13509,Q6ZVZ8
Q13509,Q9UQF2
Q13509,Q99742
Q13509,Q15768
Q13509,Q9Y5Q6
Q13509,Q9Y467
Q13509,Q8N6M8
Q13509,Q6ZSG2
Q13509,Q6ZMW3
Q13509,Q9Y574
Q13509,Q9Y4B5
Q13509,Q6UXF1
Q13509,Q9BVA1
P11277,Q08495
P11277,P16157
P11277,P13591
Q8NCB2,Q9HDC5
P10632,Q9Y2H9
P32745,P61278
Q8WWF5,Q9Y4D2
Q8WWF5,Q99758
Q8WWF5,Q9H819
Q8WWF5,Q9UIX4
P53779,Q99956
P53779,Q01538
P53779,Q93045
P53779,Q13387
Q9BYV2,Q9Y2D8
Q9BYV2,Q9NVE4
Q00975,Q86UR5
Q86UR5,Q9UPA5
Q86UR5,Q9ULW5
Q86UR5,Q9UQM7
Q96ID5,Q9Y5I0
Q6PIL6,Q9NZI2
Q6PIL6,Q9NZV8
Q6PIL6,Q9NS61
Q96LR4,Q9NT99
P04004,P05771
P04004,Q7Z2K8
P04004,P05129
P04004,P49418
P04004,Q8NHV9
P51843,P62508
P07196,P14136
P07196,Q5JR59
P07196,P07197
P07196,Q12988
P07196,P12036
P07196,Q05586
P07196,P11137
P07196,Q96T49
P07196,Q02779
O14522,Q15303
O14522,Q16849
Q01484,Q9NZN3
Q01484,Q92823
Q01484,Q9UQF2
Q01484,Q14654
Q01484,Q09428
P35228,Q96A44
Q3ZCM7,Q8N831
Q3ZCM7,Q86UE6
Q3ZCM7,Q8N2G4
Q3ZCM7,Q86YD3
Q3ZCM7,Q9Y574
Q3ZCM7,Q8N6M8
Q3ZCM7,Q9BVA1
Q6PIU2,Q96EQ0
Q6PIU2,Q86WK6
Q6PIU2,Q9H6F2
Q13002,Q16099
Q13002,Q16478
P42263,P78352
P42263,P48167
P42263,P48058
O15083,Q9UPA5
O15083,Q9Y6V0
O15083,Q86UR5
O15083,O75335
O15083,Q9C0E4
O15083,Q9UPW8
O15083,O75334
Q8IYR0,Q96D09
P32004,Q12860
P32004,Q02246
P32004,Q01484
O60229,P05771
O60229,P25054
O60229,P54257
O60229,P29323
Q8NB12,Q9H0I3
Q8NB12,Q9ULD0
P09936,Q9BYV2
P09936,P13591
Q8N2G4,Q9NRW1
P20337,Q9Y2J0
P20337,P35414
P20337,Q96KN2
P20337,Q9UQ26
Q06413,Q9H1R3
Q06413,Q2M1K9
O14775,P49758
O14775,O60262
O14775,Q9P2W3
O14775,Q6MZT1
O14775,P49802
O14775,P50150
O14775,O94810
O14775,P63215
Q05513,Q96MN9
Q05513,Q8TCC7
Q05513,Q99689
Q05513,Q5JVS0
Q05513,Q9NPB6
Q05513,Q9GZU2
Q05513,Q99435
Q99962,Q9UQ16
Q99962,Q9P2U7
Q99962,Q9Y5N1
Q99962,Q9HBZ2
Q9BY11,Q9NZU7
Q9BY11,Q9H169
P35612,Q9Y2J0
Q99689,Q9UHF0
Q15078,Q9UQM7
Q15078,Q5TCY1
Q15078,Q5JR59
Q8WZA2,Q9Y694
Q8WZA2,Q9UQ26
Q99719,Q9UH03
O15399,Q05193
O15399,P78352
O15399,P19022
O15399,P05771
O15399,Q02156
O15399,Q05586
O15399,Q15700
O15399,P05129
O15399,Q16352
O43173,Q86WK6
O43173,P13591
P00734,P03951
P00734,P01042
P00734,Q04756
P78396,Q8NEP7
O43529,Q96FT7
O43529,Q9Y5Q6
O43529,Q86YD3
O43529,Q15818
Q9HCJ2,Q9NT99
Q9HCJ2,Q9Y2I2
P49758,Q93045
P31371,Q9NP95
Q96FT7,Q99758
Q96FT7,Q9UK22
Q96FT7,Q9NRU3
Q6UXF1,Q99962
Q6UXF1,Q8TD22
O15442,P10589
O15442,Q15777
Q8NBB4,Q9NR22
Q8NBB4,Q96T92
Q15759,Q99956
P01019,P01042
P01019,P04201
P01042,P03951
P01042,P04004
P01042,Q14520
P01042,Q8N9F7
P01042,Q9Y2T4
P01042,P03952
P01042,Q3ZCM7
P22694,P61925
P22694,P31321
P22694,Q92736
P22694,Q99742
P22694,Q86UN6
P22694,P24588
P10828,Q9UQ16
P10828,Q13554
P08173,Q8N468
P08173,Q05639
P08173,Q13509
P08173,Q5JY77
P08173,P20336
P08173,P41732
P08173,Q92777
P08173,Q99962
P08173,P20337
P48167,Q96FT7
O95156,Q9HC56
O95156,Q8WXG9
O95156,Q05639
O75525,Q5VWX1
O14756,P12036
O14756,Q16720
O14756,Q9NRG1
O14756,Q01814
A8MVW0,P19086
A8MVW0,Q96JJ6
A8MVW0,Q13554
A8MVW0,Q16288
A8MVW0,Q6P995
A8MVW0,Q68D85
A8MVW0,Q9Y5G3
Q7Z6G3,Q86TH1
Q7Z6G3,Q8N987
Q7Z6G3,Q96NG3
Q7Z6G3,Q9BXY8
P78508,Q15049
P02458,P20849
P02458,P21941
P02458,Q8IYK4
P02458,Q13087
Q9P121,Q9UK22
Q9HAR2,Q9NZU1
O00305,Q12816
O00305,P21579
O00305,P21246
O00305,Q8IYK4
O00305,O00555
O00305,P78559
Q02779,Q05513
Q02779,Q13387
Q02779,Q13562
Q02779,Q9P2E2
Q02779,Q05193
Q02779,Q9UQF2
P35414,Q9ULP0
P35414,Q8TD22
P35414,Q13509
P35414,Q9ULZ1
P46821,P78559
P46821,Q00975
Q2WGJ6,Q9BYV2
Q2WGJ6,Q3V5L5
P15172,Q06413
P15172,P23759
Q8NFH8,Q99962
Q14721,Q8N608
Q14721,Q16623
Q14721,Q6PIU1
Q14721,Q9UIX4
Q14721,Q92953
Q4VCS5,Q9Y4B5
Q4VCS5,Q8TAB5
O75052,Q16849
O75052,P17600
O75052,Q8N9E0
O75052,Q92777
O75052,Q8NCB2
O75052,Q8NFN8
Q9ULR3,Q9UPQ3
Q9GZQ4,Q9H819
P24387,P55089
O95718,Q05639
O95718,Q9H254
O95718,P16520
O95718,P14136
Q13387,Q9UQF2
Q13387,Q14194
Q13387,Q92913
Q13387,Q96JG8
Q13387,Q7L266
Q16620,Q92529
Q16620,Q9P104
Q8IUZ0,Q9Y2D8
Q14576,Q9Y2H9
Q92561,Q9NS85
Q92561,Q96JG8
Q01814,Q15700
Q01814,Q16720
Q01814,Q9NP78
Q01814,Q9Y2K3
Q01814,Q9Y5G3
Q14982,Q7Z2D5
Q14982,Q9P121
Q14982,Q9UQ03
Q14982,Q9UK22
P21579,Q7L1I2
P21579,Q8N9I0
P21579,Q16623
P21579,Q496J9
P21579,P60880
P21579,Q9H2B2
P21579,Q86UR5
P51513,Q9UNW9
O75298,P04004
O75298,Q16799
O75298,Q9HDC5
Q99742,Q9HBZ2
P31321,Q9BT88
P27544,Q13639
Q13639,Q9UIK5
Q13255,Q86YM7
O00755,Q3ZCM7
O00755,Q9Y5W5
O00755,Q15818
O00755,Q13509
Q14654,Q9Y5I4
Q9UPA5,Q9UPW8
Q8N5S1,Q9NZR1
Q59EK9,Q96NL0
Q59EK9,Q9BSW7
O43602,Q92784
Q8N9F0,Q8TDW7
Q8N6M8,Q9NRG1
Q8N608,Q9NZV8
Q8N608,Q9UK17
Q08830,Q9BPU6
Q08830,Q13522
Q24JP5,Q86YD3
Q24JP5,Q9UBM8
Q24JP5,Q9UMF0
Q24JP5,Q9Y278
Q24JP5,Q96KG7
Q86Y78,Q9UQ16
Q16623,Q9H115
Q16623,Q99719
Q16623,Q9H2B2
Q16623,Q9Y345
Q16623,Q86UR5
Q16623,Q6PUV4
Q16623,Q8NFX7
Q7Z5A8,Q9BPU6
Q7Z5A8,Q9HDC5
Q7Z5A8,Q9NZR2
Q13507,Q9NQ66
Q13507,Q9UL62
Q13507,Q9HCX4
Q96LJ8,Q9UPW8
P07197,Q6VAB6
P07197,P61764
P07197,Q16352
P07197,P12036
P07197,Q9NR22
P07197,P14136
P19086,Q8N6N7
P19086,P49802
P19086,Q3ZCM7
P19086,P41143
P19086,P30542
P19086,P47736
P19086,Q99502
P19086,P21918
P19086,P63215
P19086,Q8N5S1
P49798,Q9NQ66
P35372,Q5JY77
P35372,Q13255
P35372,Q9P104
P35372,P41143
P35372,Q9H3M0
O75334,P23468
P48751,Q02156
P30542,Q13255
Q6ZMW3,Q9BVA1
Q05193,Q9BY11
Q05193,Q05586
Q05193,Q99962
Q05193,Q9UQ16
Q05193,Q86Y78
P59190,Q9Y2J0
Q15413,Q92736
Q07699,Q12860
P43681,Q86Y78
P43681,P62760
O75781,Q8N5S1
P18507,Q9H819
P18507,P21918
P18507,Q8N1C3
Q4U2R8,Q8TD22
O43295,Q99962
O43295,Q92558
Q15303,Q15700
Q15303,Q7Z6G8
Q15303,Q16827
Q15303,Q16849
O14810,P60880
O14810,Q16623
O14810,Q6PUV4
O14810,P35372
P24588,P28472
P24588,Q9HBX9
P24588,P78352
O14829,P04350
O14829,Q9BVA1
O00555,Q9HCP6
O00555,P41732
O00555,Q9BVA1
O00555,P21579
O00555,O75525
O00555,Q9NZU7
O00555,Q8TAK6
O00555,Q9NR64
O00555,Q99435
O00555,O60229
O00555,Q02641
O00555,P46821
O00555,Q92832
O00555,O15034
O00555,Q14194
O00555,P42679
O00555,Q76N89
O00555,O94910
O00555,O95153
Q16352,Q9NR22
Q96EQ0,Q9Y4G6
Q8N6K0,Q9H2J7
Q8TD22,Q9H2J7
P01185,Q07687
P01185,P47901
Q8N0S2,Q9HBZ2
P04216,P50406
O43300,P23468
P23468,Q9H169
P23468,Q8NA69
P23468,Q8IYJ0
P23468,Q7L985
P23468,Q6ZRI8
P23468,Q4KMG9
P23468,Q9H221
P23468,Q9NZ94
P48051,Q92806
P48051,P48549
P16389,Q9UHC6
P16389,Q09470
P16389,Q14722
P16389,P22460
P16389,Q13303
P16389,P78357
P16389,P78352
P16389,P22459
Q16720,Q6PIV2
P20336,Q9Y2J0
P20336,Q9UPA5
P20336,P20337
P20336,Q9Y2H9
P20336,Q9UQ26
P20336,Q8N398
P20336,Q86UR5
Q8TBG9,Q969F0
Q8TAB5,Q96JN2
Q8TAB5,Q9BYV2
Q92558,Q9P242
Q92558,Q9P2E7
Q92558,Q9NZN9
P23945,Q96D05
P23945,Q9H819
P29376,Q13202
P29376,Q9UM73
Q16849,Q9H254
Q16849,Q9UBB6
