gene	n_methods
O95273	6
Q9BYM8	6
Q9UKT9	6
Q15007	6
P17980	6
Q9NRY6	6
O00308	6
O15162	6
Q9NQZ6	6
Q9BQ66	6
Q9GZV8	5
P55072	5
Q96JM7	5
Q9P1W9	5
Q16666	5
Q9HD26	5
P07307	5
O96006	5
Q9BSJ6	5
Q14129	5
Q8N4H5	5
Q8WW12	5
Q8N9W6	5
Q15427	5
P0C7X2	4
Q9ULM2	4
P15622	4
Q15006	3
P18031	3
Q9Y5L4	3
Q9UBU9	3
Q96PU4	3
P54253	3
P27986	3
Q9Y6K9	3
Q5VTB9	3
P07900	3
P02545	3
Q00987	3
Q9HCE1	3
Q9BQD3	3
Q15717	3
Q96RT1	3
O60504	3
Q15637	3
O43251	3
Q92734	3
P05067	3
Q9GZZ9	3
Q7Z6Z7	3
Q86VP6	3
Q8NEC5	2
Q8IWZ5	2
O75716	2
P52948	2
Q13438	2
O76003	2
Q93062	2
P81408	2
P31942	2
Q86TM6	2
P48146	2
Q92934	2
P11021	2
P62829	2
P08238	2
Q9NRD1	2
Q9BUN8	2
O95990	1
Q8NA54	1
Q9NP66	1
P60411	1
O60573	1
Q8N143	1
Q8TC90	1
Q9BYR0	1
Q9BYQ6	1
Q8TAB7	1
Q8NDP4	1
Q9NP91	1
Q9H2F3	1
P49901	1
P55040	1
Q3V5L5	1
Q6L8G9	1
P26371	1
O60336	1
O75791	1
O43597	1
O75069	1
Q6PEX3	1
Q06250	1
Q5T7P3	1
Q5TA78	1
O95751	1
Q53FD0	1
Q2WGJ6	1
Q68DK2	1
Q8TAU3	1
Q96SQ5	1
Q9NQL9	1
Q8TAB5	1
Q96IZ5	1
Q8WTP8	1
Q9UGC6	1
Q9NQX5	1
Q8N6Y0	1
Q7Z3S9	1
P07510	1
P29972	1
Q6NUJ2	1
Q8IYA8	1
Q8N5A5	1
Q6UY14	1
Q6RVD6	1
O43741	1
P27658	1
Q15834	1
Q9H5Z6	1
Q5TZK3	1
Q9BVV2	1
Q9UGL9	1
Q92824	1
P43115	1
A0A1B0GUU1	1
A0A024R5S0	1
P51795	1
Q15012	1
P28566	1
Q8NE28	1
Q8N6N6	1
P57796	1
B0FTY2	1
B2R4U6	1
Q09FC8	1
Q8N9V2	1
P68431	1
Q9NWL9	1
Q8N4V1	1
O95336	1
Q8N7E2	1
O43167	1
O95363	1
P35900	1
Q5T681	1
O94776	1
P17024	1
A1L4K1	1
Q8NHX4	1
Q5BKY6	1
P59990	1
P59991	1
Q9NYB0	1
P60412	1
P32242	1
P60370	1
Q5T5B0	1
Q5T5A8	1
P60331	1
Q5TA82	1
O76081	1
Q5TA79	1
P00540	1
Q03154	1
Q8WVV9	1
Q8N1B4	1
O00159	1
Q9UK11	1
Q86TW2	1
Q6P1K2	1
P12830	1
Q9BQ65	1
Q8N302	1
Q86Y33	1
P0C7P0	1
P84101	1
O75340	1
O43542	1
Q96C55	1
Q9NQZ3	1
Q66K41	1
Q86VS8	1
Q08379	1
Q9P2K3	1
Q9BVG8	1
Q3B820	1
Q9UJV3	1
Q53TS8	1
Q7Z417	1
Q9Y2D8	1
P40222	1
Q8IYX8	1
Q63HR2	1
Q02930	1
Q6NYC8	1
Q17RB8	1
Q13077	1
Q8N0S2	1
P25786	1
Q15040	1
Q9UHI7	1
Q08117	1
Q8TES7	1
Q9H2X0	1
Q9H788	1
Q96R06	1
Q96HA8	1
P50222	1
Q13064	1
P19012	1
Q8WWY3	1
Q969G3	1
Q9BQ24	1
Q13137	1
Q9UHL9	1
Q9NX40	1
P51784	1
Q6P1W5	1
Q15645	1
Q5KU26	1
P05412	1
Q13131	1
Q92754	1
Q9H553	1
P35226	1
Q05655	1
Q14258	1
P63279	1
Q9HCN4	1
Q8ND90	1
Q8NHQ1	1
Q9BYV2	1
O43609	1
P36406	1
Q12933	1
O95967	1
P14373	1
Q5T7W7	1
Q9BZW7	1
Q9BUZ4	1
Q15560	1
P15884	1
Q9NX63	1
Q9UQ90	1
Q14764	1
O60341	1
Q9BRK4	1
Q9H257	1
O76015	1
Q7Z3B3	1
P49639	1
Q9H2G9	1
Q7Z6G3	1
Q8TBE0	1
O75558	1
Q96CS2	1
Q5JR59	1
Q9BYR5	1
Q8TD10	1
Q99750	1
Q8NA61	1
Q8NE01	1
Q01850	1
Q14D33	1
Q8IYI8	1
Q8IYE0	1
Q7Z3I7	1
Q9NUL5	1
Q15973	1
Q8TBP0	1
Q9NX04	1
Q5HYJ3	1
Q9BXY8	1
Q9UKJ5	1
Q9NVL8	1
Q8TD31	1
Q9Y252	1
Q9BWG6	1
Q8TBZ8	1
Q5TEC3	1
Q9Y2J4	1
Q68D86	1
Q96ME1	1
Q12756	1
P13646	1
Q9BYQ2	1
Q9BYR7	1
Q92608	1
Q9BYQ4	1
Q6NUQ1	1
Q9HBZ2	1
Q13875	1
Q5W5X9	1
Q9P0T4	1
Q9H2A7	1
Q5VU43	1
Q15323	1
Q7L273	1
P60369	1
P60410	1
Q6A162	1
Q96JN2	1
Q9UBB9	1
Q9H0I2	1
Q9BT49	1
Q96IX9	1
Q96BZ8	1
Q7Z4I7	1
Q8N5R6	1
Q13895	1
Q86YD7	1
P60409	1
Q9Y223	1
