name	rank	p_hyper	is_seed	spd	component_id
Q9BRK4	0	0.0	1	0.03553299492385787	0
P54920	0	0.0	1	0.05555555555555555	0
P0CG48	0	0.0	1	0.1281767955801105	0
Q96FQ6	0	0.0	1	0.058823529411764705	0
P41240	0	0.0	1	0.012987012987012988	0
Q92956	0	0.0	1	0.06756756756756757	0
P52789	0	0.0	1	0.06976744186046512	0
Q16666	0	0.0	1	0.015151515151515152	0
Q9BXS6	0	0.0	1	0.07407407407407407	0
Q9HCD5	0	0.0	1	0.02702702702702703	0
Q9BUL8	0	0.0	1	0.01694915254237288	0
Q9NZL4	0	0.0	1	0.07407407407407407	0
Q8N5R6	0	0.0	1	0.12162162162162163	0
Q9UBQ5	0	0.0	1	0.05263157894736842	0
Q99750	0	0.0	1	0.03614457831325301	0
Q9Y3Q8	0	0.0	1	0.056338028169014086	0
P10914	0	0.0	1	0.2127659574468085	0
Q15382	0	0.0	1	0.06521739130434782	0
P15531	0	0.0	1	0.06451612903225806	0
P21673	0	0.0	1	0.045454545454545456	0
Q9H159	0	0.0	1	0.047619047619047616	0
P56181	0	0.0	1	0.05405405405405406	0
O95639	0	0.0	1	0.10714285714285714	0
O43865	0	0.0	1	0.3076923076923077	0
O14933	0	0.0	1	0.4666666666666667	0
Q96IT1	0	0.0	1	0.05	0
Q969F0	0	0.0	1	0.04878048780487805	0
P35914	0	0.0	1	0.14285714285714285	0
O75177	0	0.0	1	0.13513513513513514	0
Q16394	0	0.0	1	0.05263157894736842	0
Q7L5A8	0	0.0	1	0.2	0
P01024	0	0.0	1	0.02631578947368421	0
O76095	0	0.0	1	0.25	0
Q9UNE7	68	7.922971492381454e-10	0	0.14444444444444443	0
Q14790	174	1.3683320349573082e-10	0	0.18333333333333332	0
Q9HCE7	146	8.20015704023509e-10	0	0.09166666666666666	0
Q9C0B0	50	9.049556597058717e-12	0	0.10676156583629894	0
Q9UMX0	23	1.9659024235107813e-05	0	0.20603015075376885	0
P61086	88	8.162256368295491e-10	0	0.5131578947368421	0
Q9Y5Y2	70	9.444589832818346e-11	0	0.2037037037037037	0
Q9UBT2	55	3.986706269095262e-12	0	0.2926829268292683	0
Q99614	56	6.0420686156609616e-12	0	0.17857142857142858	0
P25942	196	2.562920215519178e-11	0	0.25	0
P61088	81	3.2491488660008584e-10	0	0.3026315789473684	0
P54252	142	4.788375749020412e-10	0	0.2682926829268293	0
P68036	52	3.4993302310721082e-12	0	0.3333333333333333	0
P60604	165	1.0919528520494801e-10	0	0.2830188679245283	0
Q9Y6K9	178	5.161466448027235e-10	0	0.12533333333333332	0
P63279	148	1.138888978163508e-09	0	0.10238095238095238	0
Q6ZVM7	147	7.376719609455387e-10	0	0.3333333333333333	0
P15374	45	4.0590355810093096e-14	0	0.3902439024390244	0
P22314	67	1.1127423871601308e-10	0	0.23671497584541062	0
P62987	51	1.894551115818941e-12	0	0.20673076923076922	0
Q9UHD2	184	5.5656073366472336e-12	0	0.2	0
Q9UKV5	172	1.3841816101395654e-10	0	0.1559633027522936	0
Q93009	200	1.472928003078879e-11	0	0.09556313993174062	0
Q14164	179	1.4210894906886738e-10	0	0.1048158640226629	0
P54725	143	1.5919658241318425e-10	0	0.14383561643835616	0
Q8IUQ4	145	1.5078384485164385e-10	0	0.125	0
Q9UHD9	54	5.166766519190547e-11	0	0.2911392405063291	0
P14373	128	8.850494168501379e-12	0	0.137546468401487	0
P36406	127	3.490613247852188e-12	0	0.23809523809523808	0
P63165	151	2.7819721450733033e-10	0	0.13875598086124402	0
Q9Y4K3	137	4.2143654642292913e-10	0	0.13218390804597702	0
Q96FW1	162	8.129358890468573e-10	0	0.1005586592178771	0
Q9BV68	167	5.94452429112762e-11	0	0.2	0
Q9H3S7	19	0.00018596143530804084	0	0.17307692307692307	0
P21281	35	1.2456915719256922e-09	0	0.1717171717171717	0
P50225	31	1.4792027932434297e-07	0	0.5789473684210527	0
Q15819	40	5.518357983443549e-12	0	0.6545454545454545	0
Q96K21	29	3.595187831663164e-07	0	0.6444444444444445	0
Q9BYN0	38	1.205237567388507e-10	0	0.5555555555555556	0
Q9Y3C8	36	5.542027726335081e-10	0	0.4090909090909091	0
Q16864	43	1.3959343148530214e-13	0	0.33962264150943394	0
Q15942	60	1.6869623448387996e-11	0	0.15315315315315314	0
Q70CQ2	26	2.013895384979918e-05	0	0.5272727272727272	0
Q96EQ8	82	9.756988035882495e-11	0	0.6666666666666666	0
Q8NG27	168	9.149246543202152e-12	0	0.2777777777777778	0
Q13077	191	2.824667031988148e-12	0	0.15121951219512195	0
Q96GF1	99	1.164549443500139e-11	0	0.30158730158730157	0
Q9H0F6	187	1.4750983764631804e-12	0	0.45714285714285713	0
Q8N5C8	185	1.0475405632872177e-11	0	0.5	0
Q96FA3	152	4.599908461948942e-10	0	0.4642857142857143	0
Q9UNA4	138	1.1474193807516823e-10	0	0.4444444444444444	0
Q9H0F5	121	8.031590139331854e-12	0	0.6	0
P63146	41	3.439531787325608e-13	0	0.4358974358974359	0
Q92783	13	1.366425657538951e-05	0	0.45161290322580644	0
P19474	131	2.4720697544743866e-12	0	0.21839080459770116	0
Q13546	153	1.2426395124152232e-10	0	0.38613861386138615	0
P19438	193	8.895034228624315e-13	0	0.13270142180094788	0
Q86XS8	139	5.353000085588328e-10	0	0.38095238095238093	0
Q04323	28	2.9296512641466793e-06	0	0.23076923076923078	0
Q96S82	46	4.8286099622563237e-14	0	0.3617021276595745	0
Q9NP55	24	2.327047761063475e-05	0	0.3	0
