Seed file	Seeds	Not in network
Replication_and_Transcription.brain	134	27
Replication_and_Transcription.hypothalamus	131	30
Replication_and_Transcription.uniprot_ppi	152	9
Replication_and_Transcription.dorsal_root_ganglia	133	28
Replication_and_Transcription.salivary_gland	134	27
Replication_and_Transcription.amygdala	132	29
