query,ensembl_gene_id
Q86UT6,ENSG00000160703
P51164,ENSG00000186009
Q9BZR9,ENSG00000171206
O60711,ENSG00000110031
P49585,ENSG00000161217
P02008,ENSG00000130656
Q93074,ENSG00000184634
P10412,ENSG00000168298
O15528,ENSG00000111012
Q9P2D7,ENSG00000114841
Q86TJ5,ENSG00000172006
Q6ZMZ0,ENSG00000116514
P40145,ENSG00000155897
Q9P016,ENSG00000151500
Q5JTY5,ENSG00000196873
Q9GZY8,ENSG00000168958
A2RUH7,ENSG00000221986
Q6ZXV5,ENSG00000139324
O14576,ENSG00000158560
Q96JY0,ENSG00000143194
Q6AI39,ENSG00000112624
Q96JP0,ENSG00000145780
P20393,ENSG00000126368
Q96LW7,ENSG00000165233
Q8NDH6,ENSG00000163596
Q16658,ENSG00000075618
O43711,ENSG00000164438
Q6ZMJ2,ENSG00000168079
P30968,ENSG00000109163
Q9UJX6,ENSG00000176248
Q8IXL6,ENSG00000281429
Q9HA92,ENSG00000136444
Q8NE65,ENSG00000172687
Q13247,ENSG00000124193
Q7Z3D4,ENSG00000176018
Q9NVU0,ENSG00000058600
P46777,ENSG00000122406
Q9H0L4,ENSG00000177613
P08621,ENSG00000104852
Q6UXS9,ENSG00000204403
O15355,ENSG00000115241
Q7Z5U6,ENSG00000185798
Q9UGN4,ENSG00000167851
O60256,ENSG00000141127
P63104,ENSG00000164924
P49703,ENSG00000175906
Q96MH7,ENSG00000172244
Q06033,ENSG00000162267
Q587I9,ENSG00000173349
Q9UI43,ENSG00000122687
Q8IUS5,ENSG00000172031
Q96N19,ENSG00000173264
P05186,ENSG00000162551
P07099,ENSG00000143819
Q6P2I7,ENSG00000255423
P51878,ENSG00000137757
O15350,ENSG00000078900
O95837,ENSG00000156049
O60241,ENSG00000121753
Q16589,ENSG00000138764
P78385,ENSG00000170523
P18627,ENSG00000089692
O14842,ENSG00000126266
Q08043,ENSG00000248746
P18615,ENSG00000206357
Q96NZ8,ENSG00000127578
Q07343,ENSG00000184588
P35716,ENSG00000176887
Q69YN4,ENSG00000164944
Q96RQ3,ENSG00000078070
P55884,ENSG00000106263
Q8WXQ8,ENSG00000158525
Q8IZJ1,ENSG00000107731
P43487,ENSG00000099901
P11836,ENSG00000156738
Q9Y228,ENSG00000009790
P16452,ENSG00000166947
Q9P1Y6,ENSG00000274780
Q96KR1,ENSG00000056097
Q9NWZ5,ENSG00000198276
P01589,ENSG00000134460
Q8WVT3,ENSG00000274891
O00292,ENSG00000143768
O60656,ENSG00000241119
O60810,ENSG00000243073
Q6SJ93,ENSG00000189057
Q9H116,ENSG00000125812
Q96RK0,ENSG00000079432
Q2I0M5,ENSG00000101282
Q6QAJ8,ENSG00000187824
Q13219,ENSG00000182752
Q9NS18,ENSG00000023572
Q96F15,ENSG00000196329
Q9H9E1,ENSG00000164331
Q06732,ENSG00000196693
Q9UGU0,ENSG00000276461
Q8NAX2,ENSG00000175707
Q8WWZ1,ENSG00000136697
Q8TAU3,ENSG00000173480
Q6ICH7,ENSG00000128203
P28331,ENSG00000023228
Q70JA7,ENSG00000198108
Q15814,ENSG00000124659
P82987,ENSG00000291606
Q8WTP9,ENSG00000171402
Q9Y605,ENSG00000179010
Q96PK6,ENSG00000239306
Q96PK6,ENSG00000248643
Q99661,ENSG00000142945
Q4G0A6,ENSG00000106125
Q96BR5,ENSG00000162377
O15121,ENSG00000143753
Q9BXP5,ENSG00000087087
Q96P56,ENSG00000166762
Q8N5I9,ENSG00000151131
O75691,ENSG00000120800
Q9BPZ3,ENSG00000120727
P24386,ENSG00000188419
Q9NW15,ENSG00000160746
Q8N4M1,ENSG00000143036
P34896,ENSG00000176974
