query,ensembl_gene_id
P0C0S8,ENSG00000196787
P0C0S8,ENSG00000275221
P0C0S8,ENSG00000276903
P0C0S8,ENSG00000278677
P0C0S8,ENSG00000196747
O95394,ENSG00000013375
Q9NYI0,ENSG00000156011
Q8NG11,ENSG00000108219
Q9Y227,ENSG00000197217
P63302,ENSG00000178980
Q96JB6,ENSG00000138131
Q8IYN2,ENSG00000180964
Q9BT78,ENSG00000138663
Q8WXD0,ENSG00000133105
Q8TCD5,ENSG00000125458
Q6P1Q9,ENSG00000165055
Q9NWW7,ENSG00000115998
O00341,ENSG00000162383
Q6P4F7,ENSG00000198826
Q9H063,ENSG00000179632
Q5EG05,ENSG00000204397
Q8N531,ENSG00000182325
Q14D04,ENSG00000197415
Q6YN16,ENSG00000119471
Q8TAP9,ENSG00000168303
Q6ZQX7,ENSG00000283985
O60341,ENSG00000004487
Q9P0P0,ENSG00000168894
P0DN37,ENSG00000236334
P33778,ENSG00000276410
P0C7H8,ENSG00000262862
P0C7H8,ENSG00000292035
Q9NPP4,ENSG00000091106
Q14004,ENSG00000065883
Q6PEV8,ENSG00000123575
P22794,ENSG00000126860
Q969G6,ENSG00000135002
O94905,ENSG00000147475
A6NNT2,ENSG00000205832
Q9P2C4,ENSG00000146433
Q8IYB1,ENSG00000180611
O43167,ENSG00000112365
Q9BSE2,ENSG00000163472
Q5T5B0,ENSG00000185966
P01225,ENSG00000131808
P21730,ENSG00000197405
Q8N128,ENSG00000151327
Q6SJ96,ENSG00000182521
Q6ZUM4,ENSG00000276907
Q9UQ80,ENSG00000170515
Q9BYP7,ENSG00000196632
Q14C86,ENSG00000165219
Q9H9F9,ENSG00000101442
Q96LA5,ENSG00000132704
Q8N5Z0,ENSG00000109576
Q9H9Y2,ENSG00000117133
Q9NZU7,ENSG00000157782
Q9BRP4,ENSG00000175575
Q6ZNG1,ENSG00000189190
Q13151,ENSG00000177733
Q15750,ENSG00000100324
O00244,ENSG00000177556
Q969N4,ENSG00000146385
Q9H2U2,ENSG00000138777
O15033,ENSG00000119682
Q9H4A9,ENSG00000167261
P41247,ENSG00000006757
P29274,ENSG00000128271
P07900,ENSG00000080824
Q9H2W6,ENSG00000259494
Q5T089,ENSG00000116151
O94927,ENSG00000249115
O75487,ENSG00000076716
Q92841,ENSG00000100201
O43451,ENSG00000282607
Q96EQ0,ENSG00000197860
Q14244,ENSG00000135525
Q9P000,ENSG00000110442
Q14264,ENSG00000213462
Q6IEE8,ENSG00000205045
Q9UF33,ENSG00000080224
Q7Z6J0,ENSG00000154447
P04908,ENSG00000278463
P04908,ENSG00000277075
Q8IXQ5,ENSG00000122550
Q9C0D3,ENSG00000162378
O15504,ENSG00000136243
O95810,ENSG00000168497
Q9NPC6,ENSG00000172399
Q9UNW9,ENSG00000104967
Q9P2G1,ENSG00000001629
Q96NT5,ENSG00000076351
Q92570,ENSG00000119508
Q53HC5,ENSG00000167487
Q13332,ENSG00000105426
P01160,ENSG00000175206
P55318,ENSG00000170608
Q6UW10,ENSG00000196260
A5PLL7,ENSG00000240849
P20340,ENSG00000175582
P08240,ENSG00000182934
Q9NRC6,ENSG00000137877
Q6ZV89,ENSG00000189410
Q92520,ENSG00000196937
Q96SQ5,ENSG00000198466
Q96T91,ENSG00000149735
Q9Y3I1,ENSG00000100225
Q9Y3R0,ENSG00000155974
O60381,ENSG00000105856
Q96BY7,ENSG00000066739
Q9UL42,ENSG00000240694
Q14739,ENSG00000143815
Q8WUU5,ENSG00000157259
Q5TYW2,ENSG00000260691
Q86UP8,ENSG00000196275
P51843,ENSG00000169297
A1L429,ENSG00000237671
A1L429,ENSG00000275113
A1L429,ENSG00000227488
A1L429,ENSG00000216649
Q5VWM4,ENSG00000182330
Q03188,ENSG00000145241
P20916,ENSG00000105695
P25311,ENSG00000160862
P15621,ENSG00000197857
Q8N8R5,ENSG00000178074
P29375,ENSG00000073614
Q9UGI6,ENSG00000143603
P10586,ENSG00000142949
Q9H0W8,ENSG00000105771
O95050,ENSG00000241644
Q15050,ENSG00000179041
Q9Y6H1,ENSG00000106153
Q5VZB9,ENSG00000176399
Q9H1J1,ENSG00000169062
Q3SY17,ENSG00000141437
Q495Y8,ENSG00000205238
Q8IYT2,ENSG00000180917
Q99707,ENSG00000116984
Q96FL8,ENSG00000142494
Q6PCB8,ENSG00000170571
P11413,ENSG00000160211
Q8N4C8,ENSG00000141503
O60313,ENSG00000198836
P09471,ENSG00000087258
P33151,ENSG00000179776
Q05209,ENSG00000127947
Q9H1D0,ENSG00000276971
Q9NVN8,ENSG00000130119
P54253,ENSG00000124788
O76041,ENSG00000078114
Q8IY57,ENSG00000015153
Q9BSD7,ENSG00000135778
Q96N67,ENSG00000116641
Q9UBX3,ENSG00000183048
Q9H5Z6,ENSG00000124019
Q15139,ENSG00000184304
Q8IWL3,ENSG00000100209
Q9UIJ7,ENSG00000147853
Q969Q0,ENSG00000165502
O75694,ENSG00000113569
P32245,ENSG00000166603
P0C7U0,ENSG00000225968
Q9NP56,ENSG00000171408
Q8WVF1,ENSG00000116885
Q8TC20,ENSG00000164304
O60296,ENSG00000115993
C9JR72,ENSG00000234438
Q8WU39,ENSG00000170476
Q6VN20,ENSG00000141084
Q15654,ENSG00000087077
Q9BVP2,ENSG00000163938
Q6ZN11,ENSG00000188227
Q08493,ENSG00000105650
Q9UHC7,ENSG00000133606
Q92769,ENSG00000196591
Q9UQF2,ENSG00000121653
Q969J3,ENSG00000280689
P19429,ENSG00000129991
O95071,ENSG00000104517
Q9H015,ENSG00000197208
Q9P1Z2,ENSG00000012822
O75444,ENSG00000178573
P36954,ENSG00000105258
O76095,ENSG00000143543
Q9H4F8,ENSG00000198732
P22695,ENSG00000140740
Q9UHV9,ENSG00000143256
O95671,ENSG00000169093
Q86WA8,ENSG00000102910
Q15375,ENSG00000135333
Q92833,ENSG00000008083
Q8IY63,ENSG00000166025
Q9BT22,ENSG00000033011
P14778,ENSG00000115594
Q9NRD8,ENSG00000140279
P62826,ENSG00000132341
Q13588,ENSG00000154016
Q96BW9,ENSG00000144559
Q9NZG7,ENSG00000171840
Q9BWV7,ENSG00000120440
Q9H7N4,ENSG00000126461
Q13033,ENSG00000196792
Q96A61,ENSG00000183718
P22352,ENSG00000211445
Q2KHM9,ENSG00000198920
Q8TF01,ENSG00000132424
Q9H2K8,ENSG00000135090
Q9NQ87,ENSG00000163909
Q96GS4,ENSG00000196544
Q8WUG5,ENSG00000092096
Q8IYV9,ENSG00000182264
Q9Y2Y8,ENSG00000156575
P11169,ENSG00000059804
Q13043,ENSG00000101109
Q86W54,ENSG00000170469
Q93086,ENSG00000083454
Q9Y6D6,ENSG00000066777
P04234,ENSG00000167286
Q96L91,ENSG00000183495
Q9P2S5,ENSG00000116213
O60462,ENSG00000118257
Q8IZM9,ENSG00000139974
Q969S3,ENSG00000173545
Q01804,ENSG00000164164
P13945,ENSG00000188778
P52735,ENSG00000160293
Q8IVF4,ENSG00000281935
Q9H098,ENSG00000065809
Q52LR7,ENSG00000135999
Q9UDY2,ENSG00000119139
P35321,ENSG00000169474
Q13470,ENSG00000174292
Q8NEE6,ENSG00000161040
P23588,ENSG00000063046
Q9UK23,ENSG00000103174
P19793,ENSG00000186350
O14490,ENSG00000170579
Q92544,ENSG00000101337
Q8NDI1,ENSG00000115504
Q9BXX3,ENSG00000148513
Q9C0B7,ENSG00000103047
Q86UV5,ENSG00000090686
Q9Y2Y6,ENSG00000006042
Q9UQR1,ENSG00000163848
Q96G23,ENSG00000143418
O15243,ENSG00000213625
Q9P2E2,ENSG00000117245
Q8WV15,ENSG00000282107
P36537,ENSG00000275190
P26371,ENSG00000254997
Q6ZP80,ENSG00000170417
Q16584,ENSG00000173327
Q8N3C0,ENSG00000112249
Q9H1M0,ENSG00000198088
Q96J86,ENSG00000166265
P56704,ENSG00000154342
Q9UIQ6,ENSG00000113441
Q15363,ENSG00000086598
Q8WY36,ENSG00000114439
A8MZ97,ENSG00000237651
Q15418,ENSG00000281877
O14975,ENSG00000140284
P53355,ENSG00000196730
Q8WUY9,ENSG00000035499
Q9BW04,ENSG00000182795
Q8WZ42,ENSG00000155657
Q7L8A9,ENSG00000071246
Q96QA6,ENSG00000175155
Q9UMX1,ENSG00000107882
Q96IR2,ENSG00000213799
Q4G0X9,ENSG00000141519
Q9NPI5,ENSG00000077009
Q99750,ENSG00000112559
O75192,ENSG00000166821
Q13064,ENSG00000179455
Q6ZS81,ENSG00000128815
Q9H9L3,ENSG00000143319
O15213,ENSG00000227057
Q96P20,ENSG00000162711
Q6ZMT1,ENSG00000141750
Q9Y5Z0,ENSG00000182240
Q8TB40,ENSG00000100439
P13686,ENSG00000102575
E9PJI5,ENSG00000214940
E9PJI5,ENSG00000277983
Q96KN4,ENSG00000162981
Q9NUB4,ENSG00000258713
Q16526,ENSG00000008405
Q8IYR0,ENSG00000272514
Q8TDD1,ENSG00000123064
O95389,ENSG00000112761
Q8TF71,ENSG00000112394
O14657,ENSG00000136816
P49685,ENSG00000154165
Q9Y651,ENSG00000125285
P55087,ENSG00000171885
Q9Y4R8,ENSG00000100726
P08754,ENSG00000065135
Q9NRR3,ENSG00000158985
Q9Y5P3,ENSG00000131831
Q8N6Y1,ENSG00000197991
Q9ULF5,ENSG00000196950
Q9BR84,ENSG00000188321
P05997,ENSG00000204262
P09467,ENSG00000165140
Q9BQD7,ENSG00000103254
Q9UFB7,ENSG00000114853
P17483,ENSG00000182742
Q7Z699,ENSG00000166068
P51398,ENSG00000132676
P17010,ENSG00000005889
Q9HCT0,ENSG00000070388
P39877,ENSG00000127472
Q86Y01,ENSG00000135144
Q14209,ENSG00000282899
Q9ULZ3,ENSG00000103490
Q86YM7,ENSG00000152413
Q86WU2,ENSG00000166816
P58012,ENSG00000183770
O00264,ENSG00000101856
Q9ULJ3,ENSG00000173276
Q6P2E9,ENSG00000038358
Q9BZJ8,ENSG00000156097
Q03519,ENSG00000223481
Q6UB99,ENSG00000167522
P01374,ENSG00000230279
Q9Y286,ENSG00000168995
Q9Y450,ENSG00000112339
Q86VM9,ENSG00000158545
Q8NFP7,ENSG00000122824
Q5UE93,ENSG00000276231
P24347,ENSG00000099953
P48380,ENSG00000080298
Q96DX5,ENSG00000102048
Q16829,ENSG00000164086
Q16342,ENSG00000071994
Q6ZU52,ENSG00000189367
Q76I76,ENSG00000141298
Q07020,ENSG00000063177
Q9Y5M8,ENSG00000144867
Q96RS6,ENSG00000120526
Q9UKF7,ENSG00000154217
Q13118,ENSG00000155090
P35575,ENSG00000131482
O00299,ENSG00000226417
Q86V88,ENSG00000213920
Q8N4L4,ENSG00000284598
Q14164,ENSG00000263528
P09493,ENSG00000140416
Q3L8U1,ENSG00000177200
P60321,ENSG00000188425
Q13889,ENSG00000111358
Q6UWJ1,ENSG00000150403
Q9P2W1,ENSG00000131470
P49754,ENSG00000006715
Q8NEZ4,ENSG00000055609
Q13395,ENSG00000059588
Q86VD7,ENSG00000181035
Q9NV29,ENSG00000166292
P29275,ENSG00000170425
Q8NFZ4,ENSG00000169992
Q9BRU9,ENSG00000147679
Q9NXJ5,ENSG00000130517
Q9H492,ENSG00000101460
Q8IVD9,ENSG00000015676
Q9C0D2,ENSG00000166004
P25100,ENSG00000171873
Q9H6E5,ENSG00000149016
Q9HDC9,ENSG00000101474
P49327,ENSG00000169710
Q8IZ21,ENSG00000204138
O95340,ENSG00000198682
P27348,ENSG00000134308
P20851,ENSG00000123843
O14775,ENSG00000069966
Q8NFT2,ENSG00000157214
Q8TDV5,ENSG00000147262
Q96A05,ENSG00000250565
Q9UBS0,ENSG00000175634
Q9BW62,ENSG00000102781
P28340,ENSG00000062822
P51513,ENSG00000139910
Q8IWA6,ENSG00000183273
Q9Y2L6,ENSG00000114541
Q15048,ENSG00000160959
Q9UBH6,ENSG00000143324
Q5S007,ENSG00000188906
Q9NRH1,ENSG00000241127
Q96NM4,ENSG00000124191
Q12815,ENSG00000135451
Q15631,ENSG00000211460
P84550,ENSG00000188779
Q9UBE0,ENSG00000142230
Q7LGA3,ENSG00000153936
Q8N5T2,ENSG00000109680
P00492,ENSG00000165704
Q7Z5D8,ENSG00000205857
Q8TC59,ENSG00000197181
P06731,ENSG00000105388
Q8NEW0,ENSG00000162695
P57739,ENSG00000165376
Q8TE96,ENSG00000144045
P61421,ENSG00000159720
P30872,ENSG00000139874
Q96HP8,ENSG00000002933
O94855,ENSG00000150961
O95989,ENSG00000272325
P61011,ENSG00000100883
P03915,ENSG00000198786
Q9C0A0,ENSG00000152910
Q9NX05,ENSG00000184083
P35247,ENSG00000133661
Q9P2N5,ENSG00000091009
Q00653,ENSG00000077150
Q8IZU8,ENSG00000171451
Q969E8,ENSG00000158526
P24588,ENSG00000179841
Q6ISS4,ENSG00000167618
Q9BYN7,ENSG00000131061
P05814,ENSG00000135222
Q86V86,ENSG00000198355
P39060,ENSG00000292234
Q9UKJ1,ENSG00000085514
P20823,ENSG00000135100
Q93033,ENSG00000134256
Q96PN8,ENSG00000162526
P50213,ENSG00000166411
P04049,ENSG00000132155
Q8IUE1,ENSG00000153779
P43351,ENSG00000002016
Q96KC2,ENSG00000165997
P20963,ENSG00000198821
P47775,ENSG00000132975
Q9Y2T2,ENSG00000185009
Q9P2E8,ENSG00000144583
Q15833,ENSG00000076944
Q96F45,ENSG00000165655
Q9UPR5,ENSG00000118160
Q68DV7,ENSG00000108375
Q16558,ENSG00000145936
Q86UX7,ENSG00000149781
O95870,ENSG00000230475
Q9UHP3,ENSG00000155313
P08519,ENSG00000198670
Q7Z3U7,ENSG00000061987
P0C0L4,ENSG00000244731
P0C0L4,ENSG00000228267
P43220,ENSG00000112164
Q8TBR7,ENSG00000167695
Q3KP31,ENSG00000173875
P20062,ENSG00000185339
O60725,ENSG00000116237
Q8WTR4,ENSG00000158555
Q9Y2I8,ENSG00000047056
O14867,ENSG00000156273
Q07817,ENSG00000171552
O95274,ENSG00000124466
Q8IZP1,ENSG00000274611
Q8IZP1,ENSG00000278299
Q9HCU4,ENSG00000143126
P25025,ENSG00000180871
P49418,ENSG00000078053
Q6QNY0,ENSG00000189114
Q13618,ENSG00000036257
Q86XA0,ENSG00000181038
Q9H816,ENSG00000118655
Q99726,ENSG00000115194
Q96CM4,ENSG00000171773
Q16352,ENSG00000148798
Q8NI29,ENSG00000161243
Q86UX2,ENSG00000123243
Q9BU40,ENSG00000101938
Q9Y5S8,ENSG00000007952
Q9NS56,ENSG00000197579
P49771,ENSG00000090554
Q96TA1,ENSG00000136830
Q4ZIN3,ENSG00000182087
Q9BZS1,ENSG00000049768
Q96RD0,ENSG00000284680
O43567,ENSG00000082996
Q8N137,ENSG00000170037
O75955,ENSG00000232280
O75449,ENSG00000186625
Q7Z7A1,ENSG00000119397
Q9NVJ2,ENSG00000134108
P10747,ENSG00000178562
Q9NZH7,ENSG00000136696
Q96CS7,ENSG00000115762
B4DNW0,ENSG00000114786
Q08999,ENSG00000103479
Q99583,ENSG00000070444
Q8WY22,ENSG00000184992
Q4KMQ1,ENSG00000176058
P47890,ENSG00000183024
Q9UEW3,ENSG00000019169
Q9NP79,ENSG00000009844
Q15915,ENSG00000152977
Q9BVS5,ENSG00000171103
Q9UPU5,ENSG00000162402
Q99935,ENSG00000171199
Q13263,ENSG00000130726
P04553,ENSG00000175646
O43824,ENSG00000292358
P36894,ENSG00000107779
Q9H741,ENSG00000111412
Q6DCA0,ENSG00000144233
Q8IV45,ENSG00000124602
Q07812,ENSG00000087088
Q5J5C9,ENSG00000204548
Q8N3Z3,ENSG00000163607
Q9UBT6,ENSG00000122008
Q9UIB8,ENSG00000066294
P30279,ENSG00000118971
Q9Y5Y7,ENSG00000133800
Q9Y305,ENSG00000123130
Q9BPX7,ENSG00000136197
Q9NQR1,ENSG00000183955
Q96JA1,ENSG00000144749
Q02156,ENSG00000171132
Q9BT23,ENSG00000136490
Q7Z6M3,ENSG00000271605
Q6RW13,ENSG00000177674
Q9H6K1,ENSG00000196821
Q7KYR7,ENSG00000292170
Q9HB15,ENSG00000184261
O95298,ENSG00000151366
P48201,ENSG00000154518
O00308,ENSG00000198373
Q96K21,ENSG00000166140
O15399,ENSG00000105464
Q6UXF1,ENSG00000144868
P11308,ENSG00000157554
Q6ZUS6,ENSG00000181982
Q9NVX7,ENSG00000123444
P27986,ENSG00000145675
Q9H8H2,ENSG00000125485
Q06730,ENSG00000189180
Q9P283,ENSG00000082684
Q86UF4,ENSG00000185860
Q8N228,ENSG00000146285
P22749,ENSG00000115523
P38606,ENSG00000114573
P09622,ENSG00000091140
O43164,ENSG00000198961
Q9HAC8,ENSG00000165886
Q9P0W8,ENSG00000042317
Q9BXS1,ENSG00000148377
Q96BA8,ENSG00000157613
Q9BVI4,ENSG00000288146
Q9BUB4,ENSG00000065457
Q96GT9,ENSG00000155622
Q6PII3,ENSG00000154781
Q9NX58,ENSG00000145220
Q6PCB7,ENSG00000130304
Q92764,ENSG00000197079
Q9UKQ2,ENSG00000042980
O95201,ENSG00000122386
P05771,ENSG00000166501
Q16378,ENSG00000111215
O15117,ENSG00000082074
Q13751,ENSG00000196878
Q9H6D8,ENSG00000115226
P83111,ENSG00000103642
Q9H611,ENSG00000140451
O60662,ENSG00000239474
Q92636,ENSG00000035681
O43612,ENSG00000161610
Q96KD3,ENSG00000135248
P04350,ENSG00000104833
P31645,ENSG00000108576
Q8TCP9,ENSG00000221909
Q8NBI5,ENSG00000134802
Q8N6H7,ENSG00000149182
Q2M1Z3,ENSG00000031081
Q9H0W9,ENSG00000182919
P49407,ENSG00000137486
P34932,ENSG00000170606
Q9NXZ2,ENSG00000080007
Q8N8R7,ENSG00000152219
Q9BX70,ENSG00000133243
Q8N371,ENSG00000155666
Q9BY50,ENSG00000166562
Q8IYL3,ENSG00000198912
Q8N159,ENSG00000161653
P0C0E4,ENSG00000102128
Q9NYZ4,ENSG00000105366
Q8NCQ7,ENSG00000167525
Q8NDP4,ENSG00000171291
Q8N8S7,ENSG00000154380
P09914,ENSG00000185745
Q9BQS8,ENSG00000163820
Q08AN1,ENSG00000204611
Q00587,ENSG00000128283
O14815,ENSG00000135773
Q9BW11,ENSG00000213347
P48454,ENSG00000120910
P10809,ENSG00000144381
Q8WU90,ENSG00000065548
P31025,ENSG00000160349
O43688,ENSG00000141934
Q08380,ENSG00000108679
P16442,ENSG00000281879
Q9Y4P1,ENSG00000168397
Q9BZB8,ENSG00000214575
Q6NUT3,ENSG00000161091
Q9Y314,ENSG00000142546
Q96PE7,ENSG00000124370
Q9BXQ6,ENSG00000183307
O75342,ENSG00000179477
Q5T5U3,ENSG00000107863
Q9C0E2,ENSG00000132953
Q8N9W8,ENSG00000172717
Q92876,ENSG00000167755
O00408,ENSG00000186642
P19652,ENSG00000228278
A6NGE4,ENSG00000226372
Q96I13,ENSG00000127220
Q8N126,ENSG00000162706
Q09MP3,ENSG00000214842
Q9Y6I7,ENSG00000109046
P50914,ENSG00000188846
Q8WU79,ENSG00000084070
Q7L5A3,ENSG00000005238
P25929,ENSG00000164128
Q96HU1,ENSG00000100359
Q8N661,ENSG00000180089
Q14847,ENSG00000002834
Q9Y4Z0,ENSG00000130520
Q9BY31,ENSG00000227124
Q8WTT0,ENSG00000198178
Q9P2K3,ENSG00000117625
Q3LI76,ENSG00000186970
Q9H3U7,ENSG00000112562
O95751,ENSG00000182195
Q8NEG7,ENSG00000205593
P52333,ENSG00000105639
Q12959,ENSG00000075711
Q9UGJ0,ENSG00000106617
P19388,ENSG00000099817
Q92748,ENSG00000151365
P78368,ENSG00000133275
P30040,ENSG00000089248
Q6IV72,ENSG00000204947
O43291,ENSG00000167642
Q9UMX6,ENSG00000112599
P13984,ENSG00000188342
P54652,ENSG00000126803
Q9Y3C1,ENSG00000048162
Q96S79,ENSG00000270885
P02100,ENSG00000213931
Q8N184,ENSG00000189042
Q92535,ENSG00000135845
Q5HYC2,ENSG00000183354
Q9H4L7,ENSG00000163104
Q96NL0,ENSG00000105784
Q8TBG4,ENSG00000164089
Q9HCS4,ENSG00000152284
Q96BN8,ENSG00000154124
Q99250,ENSG00000136531
Q9H7F0,ENSG00000133657
Q17RG1,ENSG00000168676
Q9H081,ENSG00000167842
Q8NAP8,ENSG00000273274
Q7Z3J3,ENSG00000196862
P36542,ENSG00000165629
Q9Y577,ENSG00000162931
Q9NVE5,ENSG00000085982
Q6ZWH5,ENSG00000163491
Q13639,ENSG00000164270
Q5TFE4,ENSG00000178425
Q9UIV1,ENSG00000198791
Q9P2X3,ENSG00000154059
C9JRZ8,ENSG00000227471
Q8TA86,ENSG00000164610
O43676,ENSG00000119013
Q9Y2M2,ENSG00000125046
Q9UK13,ENSG00000159905
Q9NQL9,ENSG00000064218
O95622,ENSG00000173175
P05408,ENSG00000166922
Q99933,ENSG00000107262
Q92624,ENSG00000062725
Q15629,ENSG00000067167
P37108,ENSG00000140319
P23677,ENSG00000137825
Q8TB37,ENSG00000151413
P05187,ENSG00000163283
Q96SL4,ENSG00000116157
Q9NXP7,ENSG00000145723
P46089,ENSG00000181773
Q86WK7,ENSG00000176020
Q86V21,ENSG00000081760
Q5QJ38,ENSG00000182898
Q9H825,ENSG00000123600
Q15166,ENSG00000105852
P37198,ENSG00000213024
Q96H96,ENSG00000173085
P12956,ENSG00000196419
P78325,ENSG00000151651
Q96QK8,ENSG00000163683
Q9Y5U2,ENSG00000184281
Q9NY97,ENSG00000170340
Q6P1L8,ENSG00000180992
Q53HC9,ENSG00000032389
O43819,ENSG00000284194
Q8IY37,ENSG00000150990
Q3ZAQ7,ENSG00000160131
O75038,ENSG00000149527
Q9NQ31,ENSG00000166452
Q92482,ENSG00000165272
Q6X4U4,ENSG00000171243
Q9H8E8,ENSG00000149474
Q9UGI8,ENSG00000135269
Q9BV44,ENSG00000134077
Q5T481,ENSG00000203867
O00329,ENSG00000171608
Q96KX2,ENSG00000177938
P21246,ENSG00000105894
Q6PF06,ENSG00000165275
Q8TBF2,ENSG00000275125
P01112,ENSG00000276536
Q7L190,ENSG00000121570
Q96RI1,ENSG00000012504
P82921,ENSG00000266472
Q9HBI0,ENSG00000138964
Q8WTQ1,ENSG00000176782
Q8WTQ1,ENSG00000277006
O43345,ENSG00000160321
Q9UGC6,ENSG00000091844
Q9H4M3,ENSG00000132879
Q9H4W6,ENSG00000108001
P26368,ENSG00000063244
O15198,ENSG00000120693
Q13243,ENSG00000100650
Q96GR2,ENSG00000103740
P28827,ENSG00000173482
Q9Y600,ENSG00000139631
Q53F19,ENSG00000074356
Q8TC71,ENSG00000163071
P19544,ENSG00000184937
Q7Z5A9,ENSG00000183662
Q9GZQ3,ENSG00000170619
P02743,ENSG00000132703
O00626,ENSG00000102962
O14524,ENSG00000166881
Q92782,ENSG00000011332
Q8NCF0,ENSG00000157335
Q9UK22,ENSG00000116661
O95453,ENSG00000274829
Q6PI48,ENSG00000117593
Q9UKN7,ENSG00000091536
Q8NG08,ENSG00000127311
Q9BV10,ENSG00000182858
Q8N0Z6,ENSG00000136319
Q8NGJ1,ENSG00000166884
O15405,ENSG00000103460
Q96AY2,ENSG00000154920
P13866,ENSG00000100170
Q8N448,ENSG00000139517
O95825,ENSG00000205758
Q86UL8,ENSG00000187391
P43119,ENSG00000160013
Q6NT16,ENSG00000146409
Q03431,ENSG00000160801
Q9NV35,ENSG00000136159
Q38SD2,ENSG00000154237
P18433,ENSG00000132670
Q9UBZ4,ENSG00000169188
Q92997,ENSG00000161202
Q8TAP4,ENSG00000048540
Q14435,ENSG00000115339
Q9UKX7,ENSG00000093000
Q99619,ENSG00000111671
Q5M8T2,ENSG00000182747
O75821,ENSG00000130811
Q9NZF1,ENSG00000145287
Q8IZV5,ENSG00000121039
Q495M9,ENSG00000182040
Q8IY22,ENSG00000153815
Q96PP4,ENSG00000213265
P61236,ENSG00000090238
P55196,ENSG00000130396
O43610,ENSG00000168939
Q1RMZ1,ENSG00000164603
Q9NRY5,ENSG00000055147
P12429,ENSG00000138772
Q08722,ENSG00000196776
Q96LT4,ENSG00000156671
Q0VDF9,ENSG00000187522
Q96RP3,ENSG00000145040
