P51610
Q15843
P0CG48
P27348
P31946
P62258
P61981
Q04917
Q9BRK4
P41240
O43865
Q8N5R6
P21673
O00459
O14964
O60341
P02511
O14770
P30536
P15328
Q96BA8
Q96IT1
Q96EY1
Q9NQZ6
Q86SE5
O95990
O75909
O75828
O43739
O15503
O14807
Q9Y6H6
Q9Y4K3
Q9NRA8
Q9HD23
Q92478
Q8WXF8
Q86VW0
Q68DY1
Q5T7M9
Q01850
Q01081
P62736
P48454
P13164
P05114
Q01844
P40616
P49458
P56378
P61769
P63241
P16152
P35372
Q16774
Q02750
Q12893
Q13432
Q16864
Q15661
Q8NHQ1
Q8ND90
Q15654
Q14576
Q8NFH5
Q96F46
P01100
P55198
Q8N682
Q92882
Q8WVX3
Q8TC12
Q12926
Q9NWS9
Q9Y4P9
Q9NXF8
Q9NRW1
Q9H813
Q9C005
Q99731
P13056
Q53RE8
Q7L8A9
Q6UWN8
Q5SW96
Q4J6C6
P29992
P25101
P19419
P10398
P09914
P07339
Q6NXP0
Q5VTL8
Q15427
Q5VSY0
Q9BYM8
Q96S65
O43559
P08237
Q9BUZ4
Q9H000
Q9Y2W2
Q9NX57
P57105
Q9Y6K9
O95251
P04637
Q9H0U9
Q49A26
Q96B97
Q9H9H4
Q8IUH3
Q5JR59
Q15233
Q99541
P98066
O43805
O95273
Q7L4P6
Q13137
Q08379
O15162
P07437
P07900
O14734
O14654
P05141
P08238
P12236
P40227
Q08380
P49368
P50990
P50991
P68104
Q9ULK4
O43513
P24863
Q8NF91
P78371
Q05639
Q13162
Q16543
Q06830
P24666
Q6NSJ2
Q16666
O00458
P63172
Q9UPY8
P02545
P50402
Q99816
Q9NX70
Q96G25
Q9NVC6
P00846
O95295
P48201
P55072
Q14289
Q9H3M7
Q9HAU4
Q8N5U6
Q5TAQ9
