P04259
Q9GZV8
Q99750
O43557
O00585
Q9NS71
Q8NEY4
P14770
P14210
P14555
P06028
P69892
P19652
P26641
P31260
P31151
P36382
Q06609
Q96MD7
Q9BWG6
Q9BWG6
Q6ZP80
Q8TBQ9
Q8TBM7
P34903
Q6NXP0
Q9UKT9
Q5D1E8
Q16621
Q12933
Q9BQ66
Q14525
Q68G74
P17987
P0DPB5
Q7RTU7
