O14782
O95816
Q08380
Q15056
P07437
P19474
O00459
O14770
P29992
P10398
O14964
O60341
P02511
P07339
P09914
Q01850
Q5T7M9
Q68DY1
Q86VW0
Q8WXF8
Q9Y4K3
Q9HD23
P19419
P25101
P48454
P62736
Q01081
Q14576
Q12926
Q9Y6H6
P13056
Q9NRA8
Q8NFH5
Q9NWS9
Q16666
