sample	nodes	edges	seeds	max_dist_to_seed	diameter	components	largest_component	isolated_nodes
Egress_and_Envelopment.uniprot_ppi.domino	259	957	57	1	8.0	1	259	0
Egress_and_Envelopment.uniprot_ppi.firstneighbor	8253	227705	200	1	5.0	1	8253	0
Egress_and_Envelopment.uniprot_ppi.rwr	616	11335	200	1	6.0	1	616	0
Egress_and_Envelopment.uniprot_ppi.robust	386	563	200	1	13.0	8	378	6
Egress_and_Envelopment.uniprot_ppi.robust_bias_aware	382	569	200	1	11.0	10	372	8
Egress_and_Envelopment.uniprot_ppi.diamond	400	11079	200	2	6.0	33	368	32
Egress_and_Envelopment.uniprot_ppi.no_tool	200	491	200	0	7.0	59	136	54
