gene	n_methods
P10398	6
Q14576	6
Q9HD23	6
P09914	6
P19419	6
P25101	6
Q5T7M9	6
P34903	6
O95816	5
O14964	5
O14782	5
Q68DY1	5
Q9NS71	5
Q86VW0	5
Q9NWS9	5
Q8WXF8	5
Q08380	5
P29992	5
O14770	5
Q12926	5
P07437	5
Q01850	5
P48454	5
P19474	5
Q15056	5
Q9NRA8	5
O60341	5
P13056	5
P04259	5
Q92478	5
Q01081	5
O00459	5
Q9Y6H6	5
Q14240	5
P02511	5
Q16666	5
Q8NFH5	5
P07339	5
Q9Y4K3	5
Q8NEY4	5
P62736	5
P14373	4
Q14129	4
Q08379	4
Q9BRK4	4
Q99459	3
Q6A162	3
Q9BQ95	3
P68104	3
P49796	3
P05067	3
O43251	3
P10321	3
Q8TCT7	3
P27986	3
Q9Y5X4	3
Q14258	3
Q96EK5	3
Q9H3H3	3
Q8IXZ2	3
Q9UER7	3
Q14790	3
Q9NRI5	3
Q96SW2	3
Q9UMX0	3
Q02535	3
O43187	3
P38606	3
Q9NS23	3
P35080	3
P05412	3
Q00534	3
P04406	3
Q7Z4N8	3
P25054	3
Q92187	3
Q9H4B6	3
Q99729	3
Q14192	3
O95071	3
P15313	3
P47897	3
P00533	3
O43292	2
Q16543	2
Q9HBZ2	2
P15336	2
Q9NYL9	2
P43356	2
Q9BVG8	2
Q96GN5	2
Q9Y6A1	2
P08727	2
Q5SY16	2
Q13501	2
P36543	2
P08047	2
P35609	2
P28335	2
P60709	2
Q9Y6E0	2
Q13526	2
Q92793	1
P12931	1
Q13283	1
P63279	1
P46108	1
P08238	1
P16949	1
Q01844	1
P78362	1
P62993	1
P11940	1
Q9NQC7	1
Q9HCE1	1
Q15717	1
O14777	1
P07900	1
P32121	1
P67809	1
Q02952	1
P55072	1
P02751	1
P49407	1
P49736	1
P38398	1
Q9H0R8	1
P19320	1
P51532	1
Q92905	1
Q13618	1
Q86VP6	1
Q9Y5K5	1
Q13616	1
Q14999	1
Q13547	1
Q93034	1
Q5TA78	1
Q5T7P3	1
Q06250	1
Q6PEX3	1
O75069	1
O43597	1
P0C7X2	1
P26371	1
Q13263	1
O75716	1
Q6L8G9	1
P49901	1
P25800	1
O95751	1
Q8NDP4	1
Q9BYQ6	1
Q9BYR0	1
O94972	1
O00560	1
O76003	1
O15162	1
O43167	1
P35900	1
P17024	1
A1L4K1	1
O95990	1
O95363	1
P00540	1
P07510	1
Q5TA79	1
Q5TA82	1
P60331	1
Q5T5A8	1
Q5T5B0	1
P60370	1
P32242	1
P60412	1
O60336	1
O75604	1
Q9Y2H9	1
P48167	1
Q92545	1
Q92845	1
O75147	1
Q9HAU0	1
Q9UEU0	1
Q8WWI5	1
Q8N143	1
Q8IZ21	1
Q02750	1
P31644	1
O43505	1
P53794	1
Q401N2	1
Q92633	1
Q6P5S2	1
Q5T764	1
Q13454	1
Q5T9L3	1
O14879	1
Q16385	1
Q96BR6	1
Q8WXF1	1
P30260	1
Q9Y5Q9	1
P06730	1
Q9BY50	1
P06396	1
Q9HAV0	1
P29474	1
Q92851	1
Q12840	1
Q9H0A6	1
Q92630	1
Q14181	1
P03372	1
Q5T3J3	1
P01106	1
P01876	1
P56524	1
P09651	1
O60506	1
P04629	1
Q9Y496	1
O75618	1
Q13227	1
P10275	1
Q9NRD1	1
P60520	1
P23246	1
Q9NUI1	1
P22681	1
Q676U5	1
P37840	1
Q9HAF1	1
O14645	1
P01833	1
O15519	1
P01036	1
O15066	1
Q9Y6A9	1
O75381	1
P01037	1
Q9H6U8	1
Q9UK28	1
Q969Q4	1
P01023	1
Q9H190	1
Q6UWQ5	1
Q96AE7	1
Q96FL8	1
Q86WK6	1
Q8TAX7	1
P04745	1
Q8WWY3	1
P48668	1
P19012	1
Q96NC0	1
P07196	1
