Sample	drugstone_link	link_raw
background_control.amygdala.domino	<a href=https://drugst.one/?id=09c7ea2515454b8f9b70152945f0fb58>background_control.amygdala.domino</a>	https://drugst.one/?id=09c7ea2515454b8f9b70152945f0fb58
background_control.amygdala.no_tool	<a href=https://drugst.one/?id=07c7f10a65954f15af9234ca7396a261>background_control.amygdala.no_tool</a>	https://drugst.one/?id=07c7f10a65954f15af9234ca7396a261
background_control.brain.domino	<a href=https://drugst.one/?id=a5259027dd29498cb1ba2c156b1e646b>background_control.brain.domino</a>	https://drugst.one/?id=a5259027dd29498cb1ba2c156b1e646b
background_control.brain.no_tool	<a href=https://drugst.one/?id=91aed65f00094696a412ce12bbeef299>background_control.brain.no_tool</a>	https://drugst.one/?id=91aed65f00094696a412ce12bbeef299
background_control.dorsal_root_ganglia.domino	<a href=https://drugst.one/?id=11fa0249c947471883b4be22789d32df>background_control.dorsal_root_ganglia.domino</a>	https://drugst.one/?id=11fa0249c947471883b4be22789d32df
background_control.dorsal_root_ganglia.no_tool	<a href=https://drugst.one/?id=4e4449dbeb644f28925a9744a50d0e1f>background_control.dorsal_root_ganglia.no_tool</a>	https://drugst.one/?id=4e4449dbeb644f28925a9744a50d0e1f
background_control.hypothalamus.domino	<a href=https://drugst.one/?id=882734b37c6345d79238cbdec50e14d4>background_control.hypothalamus.domino</a>	https://drugst.one/?id=882734b37c6345d79238cbdec50e14d4
background_control.hypothalamus.no_tool	<a href=https://drugst.one/?id=158d335976894c3da517477ad6a07830>background_control.hypothalamus.no_tool</a>	https://drugst.one/?id=158d335976894c3da517477ad6a07830
background_control.salivary_gland.domino	<a href=https://drugst.one/?id=9ca1dd8983234403826fc0e5cacd61a7>background_control.salivary_gland.domino</a>	https://drugst.one/?id=9ca1dd8983234403826fc0e5cacd61a7
background_control.salivary_gland.no_tool	<a href=https://drugst.one/?id=7c3eb375cd1a407780b4b1e1b09187ae>background_control.salivary_gland.no_tool</a>	https://drugst.one/?id=7c3eb375cd1a407780b4b1e1b09187ae
