Q16666
O00459
O14770
O14964
O60341
P02511
P04259
P07339
P09914
P10398
P19419
P25101
P29992
P34903
P48454
P62736
Q01081
Q01850
Q5T7M9
Q68DY1
Q86VW0
Q8NEY4
Q8WXF8
Q92478
Q9HD23
Q9NRA8
Q9NS71
Q9Y4K3
Q9Y6H6
P13056
Q12926
Q14576
Q8NFH5
Q9NWS9
O14782
O95816
P07437
P19474
Q08380
Q14240
Q15056
