Q86SE5
P0DJI8
O15392
P05408
P55774
P82980
Q6PDB4
Q8N998
Q8WVF5
Q96BM0
Q9NV23
P69892
P14770
P36382
P31260
P31151
P26641
P19652
P14210
P06028
O43557
Q99962
Q8TBQ9
Q8TBM7
Q9BWG6
Q9BWG6
Q96MD7
Q16621
Q5JR59
Q12933
Q9UKT9
Q12926
Q14576
Q7Z4H7
Q06609
Q9BQ66
Q68G74
Q14525
Q9NRY6
P07307
P17987
Q9UPY8
P0DPB5
