name	submodule	is_seed	spd	component_id
P63172	3	1	0.04854368932038835	0
Q14203	3	1	0.017699115044247787	0
P51808	3	1	0.1111111111111111	0
P63167	3	0	0.014423076923076924	0
Q9Y4X4	3	0	0.2	0
Q9BYV8	3	0	0.2	0
O43237	3	0	0.10714285714285714	0
Q01484	4	1	0.058823529411764705	0
Q9UPY8	4	1	0.06666666666666667	0
Q92823	4	0	0.1111111111111111	0
O00165	4	0	0.014598540145985401	0
P51617	1	1	0.05555555555555555	1
Q9Y6K9	1	1	0.04456824512534819	1
Q9Y4K3	1	1	0.027613412228796843	1
Q9NYJ8	1	1	0.0891089108910891	1
Q15750	1	1	0.06923076923076923	1
P49116	1	1	0.061224489795918366	1
Q8N5C8	1	0	0.23809523809523808	1
Q86V59	1	0	0.2857142857142857	1
Q9NSK7	1	0	0.5	1
P56211	1	0	0.125	1
Q5T686	1	0	0.3333333333333333	1
Q02045	1	0	0.5	1
Q9BR61	1	0	0.3333333333333333	1
Q96CG3	1	0	0.11764705882352941	1
P01375	1	0	0.026785714285714284	1
Q10589	1	0	0.2	1
Q12765	1	0	0.2	1
O94885	1	0	0.047619047619047616	1
Q8NFM7	1	0	0.14285714285714285	1
Q99706	1	0	0.16666666666666666	1
O76080	1	0	0.1	1
O14836	1	0	0.06896551724137931	1
Q5VYS4	1	0	1.0	1
Q7Z6K4	1	0	0.5	1
Q8ND90	2	1	0.07339449541284404	1
Q08379	2	1	0.05501618122977346	1
Q13137	2	1	0.06535947712418301	1
Q5JR59	2	1	0.09615384615384616	1
O95273	2	1	0.09210526315789473	1
P17036	2	0	0.1111111111111111	1
Q5H9K5	2	0	0.16666666666666666	1
Q9H2A7	2	0	0.125	1
Q86VK4	2	0	0.25	1
Q7Z4I7	2	0	0.3	1
Q8IXS8	2	0	0.25	1
Q9P2Z0	2	0	0.16666666666666666	1
Q96ME1	2	0	0.13333333333333333	1
Q15973	2	0	0.25	1
Q3B820	2	0	0.07692307692307693	1
Q8IYE0	2	0	0.13793103448275862	1
Q68DK2	2	0	0.16666666666666666	1
Q96SK3	2	0	0.5	1
Q9Y3M9	2	0	0.2857142857142857	1
P17482	2	0	0.07692307692307693	1
P56279	2	0	0.08695652173913043	1
Q8N143	2	0	0.16666666666666666	1
Q9UBR2	2	0	0.16666666666666666	1
Q8N988	2	0	0.1111111111111111	1
Q9BYI3	2	0	0.1111111111111111	1
Q96S90	2	0	0.5	1
Q8NEP9	2	0	0.2	1
P52737	2	0	0.3333333333333333	1
Q96LX7	2	0	0.6666666666666666	1
O95872	2	0	0.13333333333333333	1
Q09FC8	2	0	1.0	1
Q99816	5	1	0.024096385542168676	1
O14964	5	1	0.033816425120772944	1
Q9UKU7	5	0	0.10526315789473684	1
Q86XT2	5	0	0.3333333333333333	1
A5D8V6	5	0	0.1	1
Q8IZ63	6	1	0.5	2
Q9Y3C6	6	0	0.038461538461538464	2
