name	rank	p_hyper	is_seed	spd	component_id
P63172	0	0.0	1	0.029411764705882353	0
Q15427	0	0.0	1	0.09821428571428571	0
P51617	0	0.0	1	0.31007751937984496	0
Q9Y6K9	0	0.0	1	0.24210526315789474	0
Q14203	0	0.0	1	0.06866952789699571	0
Q8ND90	0	0.0	1	0.046296296296296294	0
Q08379	0	0.0	1	0.04560260586319218	0
Q99816	0	0.0	1	0.08284023668639054	0
Q9Y4K3	0	0.0	1	0.16443594646271512	0
P0CG48	0	0.0	1	0.11256830601092896	0
Q13137	0	0.0	1	0.11392405063291139	0
Q15843	0	0.0	1	0.23843416370106763	0
Q9NYJ8	0	0.0	1	0.44339622641509435	0
Q15750	0	0.0	1	0.2781954887218045	0
Q01484	0	0.0	1	0.1388888888888889	0
Q9H0A8	0	0.0	1	0.044444444444444446	0
Q16666	0	0.0	1	0.012594458438287154	0
Q13547	0	0.0	1	0.052313883299798795	0
Q96IJ6	0	0.0	1	0.23076923076923078	0
P49116	0	0.0	1	0.23076923076923078	0
P62826	0	0.0	1	0.1165644171779141	0
Q14576	0	0.0	1	0.1111111111111111	0
Q5JR59	0	0.0	1	0.02564102564102564	0
Q9UPY8	0	0.0	1	0.09090909090909091	0
O14770	0	0.0	1	0.11538461538461539	0
O14964	0	0.0	1	0.08056872037914692	0
P51808	0	0.0	1	0.16666666666666666	0
O95273	0	0.0	1	0.07792207792207792	0
Q9UNE7	70	3.1139130920679215e-16	0	0.17037037037037037	0
P62906	148	2.493222095110842e-31	0	0.5030674846625767	0
Q9Y3U8	177	6.498413245065015e-58	0	0.5073529411764706	0
P62910	196	2.6418581868226746e-55	0	0.49504950495049505	0
P62750	160	1.3774188648602227e-42	0	0.480225988700565	0
Q07020	167	4.601735719827077e-49	0	0.38392857142857145	0
Q02878	178	7.30926815277e-59	0	0.3453815261044177	0
P62899	166	4.9755409167719754e-48	0	0.5347222222222222	0
Q504Q3	159	2.2931886620915215e-41	0	0.25391849529780564	0
P62888	174	2.6260740044742505e-55	0	0.39267015706806285	0
P62913	147	3.130313881036026e-31	0	0.48044692737430167	0
P62917	164	4.0405811888362846e-46	0	0.4388888888888889	0
P83731	154	7.611836195060551e-38	0	0.5466666666666666	0
P62753	153	1.1447315042061589e-36	0	0.44	0
Q9GZQ8	131	9.979768079402914e-25	0	0.1608187134502924	0
Q9HCE7	81	1.4884734192815395e-15	0	0.18005540166204986	0
Q9H492	130	2.3168465912371532e-24	0	0.16209476309226933	0
Q9NQC7	48	3.4844470876385273e-16	0	0.23705179282868527	0
P34932	59	2.1573917522365861e-16	0	0.21262458471760798	0
P04637	83	1.7047459134269738e-15	0	0.11978609625668449	0
Q13501	53	1.8105441133120817e-16	0	0.15901060070671377	0
Q99832	125	1.2665102016922379e-24	0	0.19383259911894274	0
Q15653	57	2.862436229421642e-16	0	0.3670886075949367	0
P25398	168	1.1636978971226892e-50	0	0.6213592233009708	0
P63104	109	8.676811094288335e-20	0	0.11854103343465046	0
P62993	136	3.068295021417765e-25	0	0.09966024915062288	0
P07900	45	3.341124492679454e-15	0	0.15954415954415954	0
Q5S007	99	2.819625537925925e-17	0	0.1654501216545012	0
P25942	34	2.3741386673261435e-15	0	0.3018867924528302	0
P61088	89	4.690254806054151e-16	0	0.11790393013100436	0
P54252	85	7.311658398157605e-16	0	0.225	0
P08238	56	3.335078895243242e-15	0	0.16026711185308848	0
Q00839	132	1.4185562230511765e-24	0	0.20445344129554655	0
Q9UBN7	74	2.834245972077798e-16	0	0.18061674008810572	0
P05141	98	4.3067712187766304e-17	0	0.3684210526315789	0
P15880	172	5.097389606748618e-54	0	0.3534136546184739	0
Q9Y230	112	4.086043988137632e-21	0	0.17647058823529413	0
P19338	188	2.6074290569770432e-58	0	0.22816901408450704	0
Q9UQL6	119	5.76874771464063e-23	0	0.16613418530351437	0
P62987	3	4.095491035485147e-10	0	0.22705314009661837	0
Q13616	108	1.094879623547303e-19	0	0.1781512605042017	0
Q9Y265	135	4.360786641637781e-25	0	0.16049382716049382	0
Q9UHD2	28	1.722468852920204e-16	0	0.43537414965986393	0
Q86VP6	200	1.2228306259562628e-54	0	0.14776632302405499	0
Q13618	134	3.481045189965709e-24	0	0.10973282442748092	0
Q92905	137	1.254029660775098e-25	0	0.1467236467236467	0
Q9UBS0	105	8.941939115423995e-20	0	0.32	0
Q00653	37	3.688330978018229e-15	0	0.44155844155844154	0
Q99759	51	1.990098016014137e-16	0	0.3172043010752688	0
P49736	121	2.1846799116301078e-24	0	0.1436388508891929	0
Q00610	65	1.4709075745828003e-17	0	0.18095238095238095	0
P60709	118	1.7384416858897116e-23	0	0.18765432098765433	0
Q14164	39	2.9200115191571094e-16	0	0.18258426966292135	0
