gene	n_methods
P51532	6
Q92922	6
P78527	6
Q13363	6
P51668	6
Q9UKV0	6
Q96ST3	6
Q09028	6
P19838	6
Q14191	6
Q8N8U2	6
O75928	6
Q13426	6
O76064	6
Q9NX70	6
P20585	6
Q86XP3	6
Q8TEE9	6
P24863	6
P12956	6
P29590	6
Q969G3	6
Q9Y5A6	6
Q9ULK4	6
Q9NVC6	6
Q9Y2M0	6
Q9UK22	6
Q96GM5	6
Q99856	6
P55854	6
P56545	6
P51531	6
Q9Y5B9	6
Q9UMS4	6
Q8TAQ2	6
Q12873	6
Q04206	6
Q9H0A8	6
Q96G25	6
P17028	6
P23497	6
P28370	6
O14686	6
O43513	6
O00327	6
O60264	6
O60760	6
O75533	6
Q9UKL0	6
Q92878	6
P43246	6
P12004	6
P51610	6
P51965	6
Q14676	6
Q96EZ8	6
Q8IUQ4	6
P27694	6
P63165	6
Q9UQL6	6
Q13547	6
Q92769	6
P13010	6
P61956	6
Q15393	6
Q9NPF5	6
Q12888	6
Q9UER7	6
Q9BWF2	6
Q13404	6
Q9H2P0	6
Q9Y265	6
P52701	6
Q96IJ6	5
P09884	5
Q8WYH8	5
P35659	5
Q96GY0	5
P78347	5
Q9Y2G8	5
P48730	5
P54132	5
Q14203	5
P55209	5
Q9UBU9	5
Q14683	5
P12268	5
Q7L190	5
O14981	5
Q5VSY0	5
Q9P1Z3	5
Q9GZV8	5
Q9Y5F6	5
O60262	5
Q8TF71	5
Q8N5R6	5
Q7L2Z9	5
P43360	5
P0C7W6	5
P07947	5
Q8N6Y0	5
Q16633	5
Q7L4P6	5
Q9NVV9	5
O15379	5
Q96FJ2	5
Q7Z7J5	5
O75558	5
P06241	5
O60437	5
O60506	5
P02545	5
O95602	5
P56524	5
O60519	5
P18859	5
O95153	5
O00458	5
O14734	5
Q8IYA8	5
P29692	5
P30281	5
P84103	5
Q8WUI4	5
Q9NVP2	5
Q96SB4	5
P67870	5
P50402	5
P12036	5
P60022	5
Q8NHQ1	5
Q8ND90	5
P38398	5
P49736	5
P62136	5
Q93009	5
Q07021	5
P37198	5
Q16666	5
P49427	5
Q13137	5
P17844	5
P63167	5
Q8IYN2	5
P12931	5
P22681	5
Q96B97	5
Q9Y4E8	5
P0CG48	5
Q96EY1	5
P49959	5
Q93008	5
Q96GS6	3
P05067	3
Q86T26	3
Q15717	3
Q71U36	3
Q9UJW3	3
Q9Y3Q4	3
P54257	3
Q13509	3
P08670	3
Q6NUS6	3
Q5UIP0	3
Q96QD9	3
Q03112	3
Q9H4L7	3
P63279	3
O60934	3
Q9UHK0	2
Q9H0H5	2
P62873	2
P30419	2
O75439	2
Q9NZ08	2
P08754	2
P14735	2
O60551	2
P10321	2
Q6NXE6	2
Q8NFQ8	2
Q12851	2
Q8N5S1	2
Q9NPH0	2
Q16827	2
P62879	2
O14775	2
P68431	2
Q96GX1	2
Q9BUG6	2
Q12952	2
P61077	2
O95619	2
P06733	2
Q8N2W9	2
O75530	2
Q12824	2
O60341	2
P10276	2
P08047	2
P03372	2
O75376	2
P51172	2
P52790	2
A0JLT2	2
O43143	2
O95166	2
O75147	2
P10275	2
Q99496	2
Q15022	2
Q9H0R8	2
O43290	2
Q9NQC7	2
P04637	2
P63104	2
Q01844	2
P09874	2
Q13368	2
Q9Y230	2
Q9H492	2
Q92793	2
P60520	2
O96017	2
Q15233	2
P04629	2
Q8IYB3	2
P09651	2
P06748	2
P01106	2
Q15428	2
P05412	2
P19320	2
Q9H0W5	2
Q14999	2
Q13616	2
P19338	2
Q86VP6	2
Q13618	2
Q02880	2
P35222	2
Q99459	2
P02751	2
P25490	2
P16104	2
P68400	2
P15927	2
Q13617	2
P35244	2
Q9NRC8	2
Q13573	2
Q7Z6Z7	2
Q07666	2
Q16665	2
Q13263	2
Q96EB6	2
P11308	2
P46531	2
Q14839	2
P35251	2
P68104	2
P26368	2
Q13469	2
Q00987	2
Q09472	2
P24941	2
P62805	2
Q13315	2
Q92905	2
Q9NR83	1
Q8NFZ5	1
Q99576	1
Q9BYH8	1
Q8NC74	1
Q8NI38	1
P41219	1
Q7Z4G1	1
Q5VYP0	1
B7ZAP0	1
Q8NCD3	1
O96019	1
Q8N5I9	1
Q53TQ3	1
Q9WJR5	1
Q8NAP1	1
Q8IV45	1
O75177	1
Q5K651	1
O94805	1
O75531	1
O43295	1
O14497	1
A4PIV7	1
A4PIV9	1
Q92782	1
Q8IX07	1
Q9P1Z0	1
O75446	1
O75956	1
Q9H0E4	1
O43623	1
O14519	1
Q8TAT5	1
P78367	1
Q6P5X7	1
O14753	1
O95096	1
Q6STE5	1
Q9UIG0	1
Q9NPI1	1
Q86X55	1
Q92925	1
Q8NEM0	1
Q13351	1
Q68CP9	1
Q9NZM4	1
Q15532	1
Q8NF64	1
Q92785	1
Q9BZ95	1
Q8NFD5	1
Q9BWT1	1
Q86U86	1
Q8WUZ0	1
Q4VC05	1
Q8WUB8	1
Q6N021	1
P60709	1
Q13243	1
Q93034	1
P13612	1
Q9UQ35	1
Q9UHX1	1
P11388	1
Q13148	1
P22626	1
P31943	1
Q13151	1
P62263	1
P62847	1
Q9GZQ8	1
P38919	1
P61326	1
P22087	1
P23246	1
Q14498	1
Q6P2Q9	1
Q12874	1
P23396	1
P26599	1
P35637	1
P62081	1
P32969	1
P18124	1
P36578	1
P62701	1
Q15843	1
P14866	1
P11021	1
P15880	1
Q13620	1
Q9UKM9	1
Q86V81	1
P49792	1
Q00839	1
Q13435	1
P33992	1
Q13242	1
P27695	1
Q14872	1
Q7L2J0	1
P38159	1
Q8WXA9	1
Q15637	1
P61978	1
P31942	1
P07910	1
O75643	1
Q16629	1
Q01130	1
P05388	1
O94906	1
P26373	1
Q9UQE7	1
P46777	1
P62314	1
P11387	1
P62316	1
Q86VM9	1
Q15287	1
Q9NZC7	1
P09661	1
P08621	1
P84098	1
O95793	1
P35226	1
P55317	1
Q6IQ23	1
P55072	1
O43175	1
O43390	1
O14979	1
P12270	1
P09012	1
Q01081	1
P14678	1
O75400	1
P62753	1
O14776	1
O00571	1
Q504Q3	1
Q9HCE1	1
P04792	1
P12830	1
P62993	1
Q9UJV9	1
Q15365	1
Q15427	1
P11940	1
Q02878	1
P62899	1
P62913	1
P62917	1
P61981	1
P62258	1
P42858	1
Q9NRD1	1
Q04864	1
Q8IWL3	1
Q15154	1
Q5SW79	1
Q99728	1
Q14258	1
Q9H9S0	1
P07900	1
Q5S007	1
Q96B67	1
P05161	1
Q9Y6K9	1
P15884	1
Q969H0	1
P84243	1
Q9UBN7	1
P48431	1
Q13283	1
Q15554	1
P84022	1
Q12933	1
Q16695	1
Q92831	1
Q16659	1
P62987	1
Q01860	1
Q92731	1
P40337	1
Q9BQE3	1
Q06413	1
O95644	1
P04150	1
Q01201	1
P01100	1
Q8N5A5	1
Q01167	1
P42771	1
Q9Y4K3	1
Q9NPJ6	1
P38936	1
Q15796	1
P52292	1
Q92993	1
P40692	1
P43405	1
P61244	1
Q8N6T7	1
P62837	1
P61964	1
Q16576	1
Q13503	1
P51116	1
O60216	1
Q9H204	1
Q96PU4	1
P45973	1
P49336	1
P24928	1
P25054	1
Q99814	1
Q13310	1
Q9BUJ2	1
P62750	1
Q07020	1
Q9Y2W1	1
Q99729	1
P62906	1
Q15910	1
Q14847	1
P07196	1
P00533	1
Q14134	1
Q6ZW49	1
Q08211	1
Q9NZI8	1
Q9NR30	1
Q9BWU1	1
P16333	1
P06400	1
Q9P2P5	1
P34897	1
P31749	1
Q9H788	1
Q9C0F1	1
P15172	1
P25791	1
Q8NCE2	1
P08559	1
Q6A162	1
P41182	1
Q13111	1
Q96GN5	1
O43741	1
Q9BQA5	1
O14980	1
O14641	1
O95785	1
P0C7X2	1
O14744	1
O75791	1
Q9UBT6	1
Q13156	1
O14964	1
O75182	1
O75604	1
O00716	1
O15294	1
O43463	1
O76040	1
Q7L4I2	1
O60741	1
P08582	1
Q9UGP5	1
P18858	1
P13051	1
P46100	1
Q15366	1
Q9BSM1	1
Q9H790	1
Q86UA6	1
P43351	1
P08218	1
O43488	1
O60870	1
O75448	1
Q8TB05	1
O95988	1
O14645	1
Q8N6D2	1
Q9C029	1
Q5RIA9	1
Q9P0N8	1
Q9P2E8	1
O94941	1
O15344	1
P00748	1
O14681	1
O75940	1
Q9H3D4	1
Q9P0U3	1
O75925	1
Q9GZU2	1
Q7Z333	1
Q15486	1
Q01543	1
Q9UHP3	1
P15104	1
Q9Y4E5	1
Q9H422	1
Q9Y6X2	1
Q9UJ78	1
Q6VMQ6	1
P20591	1
Q9UIS9	1
Q13569	1
Q8TAD8	1
O15350	1
Q9UKL3	1
Q9H2X6	1
Q9UM63	1
P41212	1
P10242	1
Q9H2Y7	1
Q9UJU2	1
Q96B23	1
Q96HI0	1
Q86Y37	1
P12757	1
Q9UBW7	1
Q6PEW1	1
Q5W0Q7	1
Q5VV41	1
Q8N3Z6	1
Q12772	1
Q9P212	1
P86478	1
Q86Z02	1
Q9UI21	1
Q9Y3V2	1
Q8WWZ3	1
Q59GP6	1
Q9HCK0	1
O75030	1
Q8NDC0	1
O95551	1
P35712	1
Q6DJT9	1
Q15916	1
G2XKQ0	1
O43255	1
Q8NDT9	1
Q9H8M9	1
Q9BZY1	1
Q9UE85	1
Q71RA7	1
Q59H09	1
Q05835	1
Q59GQ8	1
P41145	1
Q9NYA3	1
Q5JVG8	1
Q8NEV1	1
O00222	1
O00180	1
Q53H47	1
P52757	1
Q96BW5	1
P09629	1
Q8IW19	1
Q9BUH6	1
Q53H76	1
P50549	1
Q9H9Q4	1
P52945	1
P07288	1
P20848	1
Q6IAD4	1
O15393	1
Q96T23	1
Q9NRF9	1
O00358	1
Q9BXF3	1
Q96C55	1
P19622	1
Q8IZD2	1
Q13127	1
Q96N64	1
Q9Y232	1
Q8N108	1
Q8IWS0	1
Q14865	1
Q99583	1
Q02447	1
Q9UHJ3	1
Q9BSJ6	1
Q5FWF5	1
Q92766	1
Q9Y466	1
O95243	1
Q9P2R6	1
Q5THR3	1
Q9H8N7	1
P31270	1
Q8IV32	1
Q3SY56	1
Q14703	1
Q8TBJ5	1
Q8N328	1
Q9UKN5	1
Q6ICB0	1
Q7Z3K6	1
O95365	1
A0A0B4J269	1
A6NFT4	1
Q9H6U6	1
Q99708	1
Q9Y4F3	1
Q99592	1
Q8N895	1
Q9P2D1	1
Q92618	1
Q9H171	1
P57682	1
Q96MY1	1
O95600	1
Q5JU69	1
Q32MQ0	1
O94818	1
B2RXF5	1
A6NKF2	1
P30260	1
Q9UHF7	1
Q5T5X7	1
Q6UXN9	1
Q9NWW0	1
Q8WTV1	1
O95567	1
P17040	1
Q9Y4C2	1
Q96RD0	1
Q86UA1	1
Q14012	1
Q9NP62	1
A9YTQ3	1
P55795	1
P62277	1
P61313	1
Q12906	1
Q14103	1
Q15029	1
Q12905	1
P39023	1
P52272	1
P62424	1
Q15459	1
P46781	1
P62318	1
Q92499	1
P62995	1
Q96PK6	1
Q92841	1
P51991	1
P52597	1
Q07955	1
P67809	1
Q9BQG0	1
P62241	1
P43243	1
Q6AI39	1
Q9BQE9	1
Q9H8M2	1
Q92784	1
Q99626	1
Q9Y5P3	1
Q92900	1
Q92945	1
