Module	Nodes
Host_Cytoplasm.amygdala.firstneighbor	2311
Host_Cytoplasm.salivary_gland.firstneighbor	2272
Host_Cytoplasm.uniprot_ppi.firstneighbor	2974
Host_Cytoplasm.brain.firstneighbor	2346
Host_Cytoplasm.hypothalamus.firstneighbor	2319
Host_Cytoplasm.dorsal_root_ganglia.firstneighbor	2367
