Seed file	Seeds	Not in network
Host_Cytoplasm.amygdala	35	6
Host_Cytoplasm.salivary_gland	34	7
Host_Cytoplasm.uniprot_ppi	41	0
Host_Cytoplasm.hypothalamus	36	5
Host_Cytoplasm.dorsal_root_ganglia	36	5
Host_Cytoplasm.brain	36	5
