Q9NZI8
Q99878
Q99880
Q99879
Q93079
Q96KK5
Q99877
P68431
P68431
P68431
P68431
P68431
P68431
P68431
P68431
P68431
P68431
Q8N257
Q71DI3
Q71DI3
Q71DI3
Q6S8J3
Q6FI13
Q6FI13
Q5QNW6
Q16777
Q16695
P62805
P62805
P62805
P62805
P62805
P62805
P62805
P62805
P62805
P62805
P23527
A5A3E0
P17987
P06899
P0C0S8
P0C0S8
P0C0S8
P0C0S8
P0C0S8
P20671
P33778
P57053
P58876
P04908
P04908
P69892
Q8TBQ9
Q8TBM7
Q6ZP80
Q969F0
Q16633
Q7Z4H7
Q8N9W6
Q6P1W5
Q68G74
Q9NWS9
Q9NV23
Q9BWG6
Q9BWG6
Q7L190
Q13404
Q9Y5F6
Q9BQ66
Q9NS71
O94776
Q96MD7
Q9UKT9
Q12933
Q9NVV9
Q7Z7J5
Q9BWF2
P43360
O43557
Q8IZ63
O95989
P26641
P19652
P14770
Q6NXP0
Q8TF71
P07307
Q8IYA8
Q16621
Q7L2Z9
O75558
P36382
P31151
P34903
Q8NEY4
Q9NRY6
P0DJI8
P82980
P55774
Q8N6Y0
Q14525
P43355
O15392
Q8N998
Q6PDB4
Q96BM0
B2R4S9
B2R4S9
B2R4S9
B2R4S9
B2R4S9
B2R4P9
B2R4P9
B2R4R0
B2R4R0
A4FTV9
A4FTV9
A4FTV9
A4FTV9
A4FTV9
A3KPC7
D2JYH4
K9JA46
A8K6K3
Q9Y572
P49959
P38398
Q9NPF5
Q96FN5
H0YL14
A6NMQ1
Q5JPT6
Q14240
P12931
P0DPB5
H3BLV9
P11142
Q99613
Q5SRQ6
P78347
A0A087WYF9
A0A2R8YG02
Q8TEE9
E9PRY8
B7ZLQ5
A7E2E1
Q7RTU7
