P17980
O15162
Q9GZV8
O96006
Q96JM7
O00308
O95273
Q15007
Q8WW12
Q8N4H5
Q15427
Q9P1W9
Q9HD26
Q9NQZ6
Q9BYM8
Q9BSJ6
Q16666
P55072
