O00555,Q9NZU7
O00555,Q8TAK6
O00555,Q9NR64
O00555,Q99435
O00555,Q7Z5H3
O00555,O15034
O00555,P42679
Q16352,Q502W6
Q8N0S2,Q9HBZ2
Q15375,Q96JM4
Q15375,Q15818
Q15375,Q9BV47
Q15375,Q9H4F8
O43300,P23468
P23468,Q9H169
P23468,Q8NA69
P23468,Q8IYJ0
P23468,Q6ZRI8
P23468,Q4KMG9
P23468,Q9NZ94
P48051,Q92806
P48051,P48549
P20336,Q9UPA5
P20336,Q9Y2H9
P20336,Q8TDW5
P20336,Q9UQ26
P20336,Q8N398
P20336,Q86UR5
Q92558,Q9P2E7
Q92558,Q9NZN9
Q16849,Q9H254
P51164,Q16623
Q93045,Q9UH03
Q6P1W5,Q6PKX4
Q6P1W5,Q9NWB1
Q6P1W5,Q8IYR0
Q6P1W5,Q96NJ5
P02766,Q99689
P02766,P98164
P02766,P02787
P02766,Q7Z6G3
P02766,P25713
P02766,Q9UQB3
O43236,Q16143
O43236,Q8IYM1
O43236,Q9UH03
Q13064,Q9BXY8
Q9UBM8,Q9UHG2
Q9NSN8,Q9Y4J8
P61328,Q13387
P01213,P31025
Q92913,Q9UQD0
P48050,Q15700
P48050,P78352
Q13562,Q92784
O95990,Q9BUH8
O95990,Q96JN2
Q86SE5,Q8TAP4
O95502,Q15818
O95502,P11686
O14531,Q99962
O14531,Q9BPU6
Q8N2Q7,Q9NZ94
P01303,Q16819
P01303,P49146
P01303,Q16568
P32243,P48742
P08247,Q16623
P08833,Q9H4F8
Q3SYB3,Q9NZR2
Q8N6W0,Q9ULR5
Q400G9,Q92558
Q9BZM6,Q9P2E8
Q99999,Q9H2A9
O60894,P30988
A0MZ66,Q96KG7
A0MZ66,P06276
A0MZ66,P05413
P78348,Q16515
P18505,Q9HD90
O00445,P21579
O00445,Q9BQG1
P42261,P42262
P42261,Q13002
P42261,P48058
O14594,Q02246
O14594,Q92752
O14594,P13591
Q02246,Q92823
Q02246,Q9UHC6
Q02246,Q12860
P22459,P22460
P22459,Q9NSN8
P22459,Q15700
P22459,P78352
P22459,P35609
P22459,Q09470
P78559,Q8WZA2
P78559,Q15700
Q13554,Q96S95
Q13554,Q9UQM7
Q14D33,Q9UL42
O14490,Q14957
O14490,O95886
O14490,P22459
O14490,Q12879
O14490,Q9Y566
O14490,Q15700
O14490,P78352
Q8TAK6,Q9P104
O75973,Q9UBL9
O75973,P60827
P21918,P62166
Q9UI47,Q9Y6N8
Q12879,Q13554
Q12879,Q15700
P13637,Q8IYR6
P13637,Q86UN6
Q96AQ9,Q9UM19
P51693,P54257
Q08462,Q08828
P26232,P55286
P22460,P78352
P22460,P35609
P22460,Q04759
P22460,Q14722
P54257,Q13562
P54257,Q96NT1
P54257,Q99689
Q8IYM1,Q9UH03
Q6NT52,Q92558
O75899,P08908
P08908,Q8NDV2
Q12756,Q13064
P28472,P47870
P28472,Q96FT7
P30301,P43320
P13591,Q92186
P13591,P23560
P13591,Q14982
P13591,Q9H902
B3KU38,P11137
B3KU38,O15394
B3KU38,P13521
B3KU38,P32418
B3KU38,P07196
Q9NS61,Q9NZV8
Q9NS61,Q9NZI2
P48549,Q92806
P04278,Q6UXB4
P04278,P98164
P04278,Q8NCR6
Q8TAP4,Q96AQ9
P57073,Q13516
Q96HZ4,Q9Y4Z2
P17677,Q8N5S1
O95741,Q9Y6K8
O95741,P02766
O95741,Q96A23
Q92752,Q96GW7
O76038,Q14183
Q86SK9,Q96KN2
Q76B58,Q9C0B6
O43854,P02787
Q5T7P8,Q9BQG1
Q15700,Q8WXI2
Q15700,Q8N2Q7
Q15700,Q9NZ94
Q15700,Q9ULK0
O43921,Q15375
O43921,P54756
P20916,P60201
O14576,P22460
O14576,Q96NL0
O14576,Q13509
P56597,Q96IM9
P43365,P60321
Q96E17,Q9UQ26
Q8N461,Q9UM19
P56975,Q15303
Q8N987,Q96PC2
Q6P656,Q9BPU6
O43525,O43526
O15394,P09417
P30874,Q9Y566
P30874,P61278
P60201,Q16849
Q5SZQ8,Q9NWB1
Q5SZQ8,Q8N6W0
Q5T4B2,Q9Y5Q6
Q6UXD5,Q96LR4
O00230,P30874
Q92563,Q9BQ16
P01282,Q16819
P01282,P98164
Q14168,Q6VAB6
P23471,Q12860
P23471,P35612
P23471,Q92752
O43424,Q16478
O43424,Q13002
O43424,Q15700
O43424,P42262
O43424,P42261
P34903,Q9UK28
P34903,P48167
P30990,Q16819
Q9NZI2,Q9NZV8
Q6T4P5,Q8TBJ4
Q8IXF0,Q9HBZ2
O95886,P78352
P15882,P52757
P15882,Q13319
P15882,Q13387
P06307,Q16819
P39086,Q9NS75
P39086,P78352
P35498,P61328
O94805,Q92784
Q8TDN1,Q9UJ90
Q8TDN1,Q9H3M0
P20264,P35716
P20264,P57073
P45381,Q96HD9
A7XYQ1,Q5SZQ8
Q01101,Q13509
P12036,Q16352
P48742,Q9UBR4
Q99624,Q9NY72
Q76KP1,Q9Y5Q6
P48058,Q9UQM7
Q8TAM6,Q9BR01
P20849,P20916
O95970,Q9P0K1
O95970,P78352
P02654,Q9Y328
P01286,Q02643
Q8N398,Q99962
P32418,Q01484
P32418,Q13507
P35218,Q13509
P30531,Q16623
P17787,P43681
Q13449,Q9P121
O60241,Q9Y566
Q9BRK0,Q9NS61
Q9BRK0,Q9H902
Q6XR72,Q99726
P58401,Q8N2Q7
P42658,Q9NZV8
P42658,Q8N608
O95665,P30990
Q8IWU9,Q9UKB3
P61278,Q13087
P23677,Q13554
Q8N4V2,Q9NS75
Q05329,Q99259
Q05329,Q96DZ9
P07492,Q16819
O95096,Q13516
Q14CZ8,Q8N0U7
Q6P387,Q8TDW7
P31644,P34903
O15079,Q16623
