P30411,Q14CN2
P62807,P78545
P62807,Q14134
P62807,Q14781
P01241,P62807
P01241,P15924
P01241,Q01469
O00515,P31947
O00515,Q6IQ23
P31947,P35749
P31947,Q9Y446
P31947,Q70EL4
P31947,Q14451
P31947,Q13064
P43364,Q8N715
P43364,Q9H788
O00358,P15924
P78337,Q99750
P55317,Q9C0K3
P55317,P68431
P55317,Q9BRA2
P68431,Q14781
P06731,P40199
P06731,P13688
Q13835,Q6ZQN5
Q96FQ6,Q9HCY8
P18827,P29317
P32320,Q92817
Q99750,Q9BUY5
P29317,Q96SQ9
P29317,Q7Z3Z2
Q6IQ23,Q96EN8
Q6IQ23,Q9H6S3
Q6IQ23,Q9H201
Q6IQ23,Q8NFJ5
Q6IQ23,Q9Y6Q5
P51170,Q9Y6Q5
Q14651,Q6IQ23
P78545,Q9NZC4
O00212,Q14623
P15924,Q6IQ23
P15924,Q92817
P15924,P68431
P15924,Q13835
P15924,P17661
P15924,Q9Y446
P15924,Q02487
Q13585,Q8WVE6
P13647,Q13835
P13647,P19012
P13647,P18054
P13647,Q92817
P13647,P15924
Q8IXK2,Q9Y2A9
P02671,P05783
P02671,Q92876
P02671,P02679
P02671,P02675
P05783,P19012
P05783,P13647
P05783,P68431
P05783,Q9Y446
P05783,P15924
P05783,Q13835
Q96EN8,Q9UBX7
P35326,Q92817
P04083,Q9HAW8
P48594,Q9HAW8
P01040,P07476
P01040,Q92817
P01040,P19957
P01040,P22735
P01040,P15924
P37088,Q9Y6Q5
P37088,P51168
P37088,P51170
Q53FA7,Q6P9B6
P22310,Q9HAW7
P22310,Q9HAW8
P22310,Q9HAW9
Q9HAW7,Q9HAW8
Q9HAW7,Q9HAW9
P07476,Q92817
P07476,P15924
P07476,Q9HAW8
P07476,Q9UBC9
P02675,P02679
P02675,Q92876
P02675,Q14451
P58062,P80294
P30740,Q6IQ23
P08727,P19012
A6NK89,P31151
A6NK89,P29508
A6NK89,P01040
A6NK89,P04083
A6NK89,Q9HCY8
A6NK89,P22531
P13646,P55317
P13646,P19013
P13646,P48668
P19012,P19013
P19012,Q8N715
P19012,Q13835
P19012,P48668
Q8TD07,Q9BZM5
Q8TD07,Q9BZM4
Q9NQ38,Q9UKR3
O00322,Q8NCS7
O00322,O00526
P0CAP1,Q8NEV4
O94993,P55259
Q86T26,Q8IXK2
Q92817,Q9UBC9
Q92817,Q9HAW8
P36952,Q14651
P36952,P80294
P36952,Q9HAW8
O76015,P13647
O76015,P19013
O76015,P02538
O76015,P04259
O76015,P48668
O76015,P49639
Q14781,Q99750
P25815,P29034
P31151,Q01469
O60437,Q6IQ23
O60437,Q9HAW8
O60437,Q92817
O60437,P30411
P04259,P19012
P04259,P13646
P04259,P08727
P29508,P48594
P32926,Q9Y446
P08779,P13647
P08779,P15924
P54840,Q9UQK1
P22735,Q86UG4
P49639,Q99750
Q02487,Q9Y446
P05109,P06702
O43240,Q9HAW8
Q9HAW8,Q9HAW9
O00167,P23582
O00167,Q5T481
P13688,Q14002
P13688,P40199
P51168,Q9Y6Q5
P51168,P51170
P15514,P29034
P15941,Q8IXK2
C9JRZ8,O60218
P02741,P02743
O75901,P29508
O75901,P48594
O75901,P22531
O75901,P01040
O75901,P31151
A8K2U0,Q9HAW8
A8K2U0,O75901
O76013,P78545
P09093,Q92824
P27352,Q7Z7M9
P02538,P15924
P02538,P19012
P02538,P13646
P09430,Q9H190
O95049,Q6IQ23
P01308,Q9BRA2
P80188,Q9HAW8
O95452,P29033
Q9BSE2,Q9NRS4
P29373,Q9HAW8
P04118,P07098
P04118,P16233
P12035,P13647
P04080,P68431
Q8WWZ3,Q9UNE0
P19957,Q92817
P20815,P48594
Q86SG5,Q9HAW8
P05451,Q06141
P05451,P48304
O60656,P22310
O60656,Q9HAW7
O60656,P19224
O60656,Q9HAW9
O60656,P22309
O60656,Q9HAW8
Q9H5V8,Q9Y5Y6
P07478,Q8N6L7
P22309,P22310
P22309,Q9HAW9
P22309,Q9HAW7
P22309,Q9HAW8
O00194,Q8TDW5
O00585,O43927
P28325,Q3KR16
O43927,Q99731
Q14574,Q9Y446
P11712,P33260
P11712,P33261
P48645,Q6UXL0
P30838,Q8WWY8
O95171,P31947
Q06141,Q99750
P51911,Q96EZ4
Q8N715,Q99750
P40199,Q14002
P19224,Q9HAW8
P19224,P22310
P19224,Q9HAW7
P19224,Q9HAW9
P19224,P22309
O14493,Q96J92
O14493,P09758
O14493,P29317
P42772,P43364
A8K7I4,Q16558
Q7RTU3,Q99750
Q8TE85,Q9NZI5
