Q02297,Q8N3Y3
P18054,P78386
Q9NS68,Q9NZT1
Q8NI17,Q9Y446
Q8NI17,Q8TF66
Q8NI17,Q9Y3R4
P35908,Q92817
P35908,Q7Z794
P35908,Q6A162
O15353,P31276
P07476,Q92817
P07476,P15924
P07476,P23490
Q86Z23,Q8IVF2
Q14134,Q8NI17
O95274,Q9GZR5
P15313,Q8NEY4
P60409,Q5T7P3
P60409,Q9UGL9
P60409,Q5TA78
P60409,Q5TA79
P60409,Q5T5B0
Q9H2C0,Q9NSB4
Q9H2C0,Q9NR99
Q9H2C0,Q9NSB2
P43115,P60409
P43115,Q6A162
P43115,P60369
P04264,P35908
P04264,P35527
P04264,P23490
P04264,Q7Z794
P04264,P13645
P04264,P19012
P04264,P07550
P04264,Q92817
P04264,Q9H2C0
P04264,P07476
P04264,P15924
P04264,P13647
P04264,P31947
A6NK89,P31151
A6NK89,P22531
P26045,P31947
P26045,Q8NEV8
Q8WUF5,Q9H3D4
P19012,Q6P597
P19012,Q5XKE5
P19012,P35908
P19012,Q86Y46
P19012,Q6KB66
P19012,Q3SY84
P19012,Q7Z794
P19012,Q13835
P31944,Q9NQ38
Q9NQ38,Q9Y337
Q9NQ38,Q9P0G3
O00322,P35247
O00322,P48067
O00322,Q8TF71
O00322,Q96FL8
P78329,Q9HCS2
Q14512,Q9HCT0
O43593,P11473
P49862,Q86YW0
P49862,Q9NQ38
Q96T91,Q9BZ76
P36952,Q8NI17
O76015,P13647
O76015,P35908
O76015,P43115
O76015,Q3SY84
O76015,P04259
O76015,Q5XKE5
Q13882,Q5JST6
Q13882,Q14956
Q5JST6,Q9H6Z9
P30291,P31947
Q96DC9,Q9BYV6
P04259,P19012
P04259,Q9H2C0
O00254,P25116
P20800,P23946
P08779,Q9NSB4
P08779,P13647
P08779,P13645
P08779,P15924
Q3SY77,Q8WXA8
Q9BWX5,Q9UBC3
P25800,P26045
P25800,Q8IYX7
P25800,Q6A162
P20930,Q9NS68
P20930,Q9Y337
P20930,P31944
Q04695,Q14CN4
O14627,P25800
O14627,P20719
O96014,P60409
O96014,Q9UBV4
P17509,P19012
P17509,Q9H161
O75342,Q9BYJ1
O75342,P13647
Q5T0J7,Q86SG7
Q5T0J7,Q8TF66
Q15672,Q9UBC3
Q15672,Q8WVJ9
Q6NXG1,Q99666
Q3SY00,Q6A162
P20719,Q15672
P13928,Q96NR8
P02533,P13647
P02533,Q92817
P02533,Q13835
P31274,P31276
O60259,P60369
O60259,Q8TF71
Q12774,Q5JST6
Q02388,Q13753
Q8N6P7,Q9NYY1
Q8N6P7,Q969J5
P46059,P54707
Q15828,Q86YW0
O00204,P49888
P06870,P29622
Q08554,Q9Y446
Q08554,Q13835
P52797,P60369
P56704,Q6P988
P19429,Q969Q1
P19429,Q9BYV6
Q2MKA7,Q68DV7
Q14956,Q8NI17
Q14CN4,Q6A162
P49901,Q5TA78
P49901,P60369
P49901,P60409
P20815,P24462
P12643,Q6X4U4
P23490,Q92817
Q96IF1,Q9H6Z9
Q86SG7,Q8NI17
O60269,P60369
O60269,P31947
P57739,P60369
O60543,Q5T749
O60543,Q13835
O60543,Q8IW75
O60543,Q9Y446
Q96NZ1,Q9H6Z9
P01215,P0DN86
Q14574,Q9Y446
O95389,Q9H0S4
P48645,Q6UXL0
Q86YW0,Q8IW75
O95171,P31947
Q3SY84,Q6A162
D3W0D1,Q6UVW9
Q8NFR3,Q9NUV7
Q99666,Q9UJT2
Q5T5B0,Q6A162
O95969,P51449
O95969,Q13296
