P30411,P30556
P30411,Q27J81
P30411,Q6ZMQ8
Q9H9S0,Q9Y281
P42684,Q03135
P03372,Q96RI1
P03372,Q8WXU2
P03372,Q14192
P03372,Q03135
P03372,Q96DU9
P03372,Q05516
P03372,Q9H293
P03372,P05090
P03372,P10275
P03372,Q5T2N8
P03372,P10826
P03372,P10589
P03372,P53675
P03372,Q8N895
P03372,Q12948
P03372,P28356
P03372,P35869
P03372,P11086
P03372,P06401
P03372,Q12778
P03372,P61218
P03372,Q4ZG55
P03372,P29474
P04629,Q96PY5
P04629,P32004
P04629,Q96AC1
P04629,Q9NZW5
P04629,P07942
P04629,Q96AY4
P04629,Q6ZU35
P04629,Q9P2N7
P04629,Q92626
P04629,Q03135
P04629,Q13480
P04629,Q13191
P04629,Q9Y3Z3
P04629,P23378
P04629,P48681
P04629,Q9P2K5
P04629,P08138
P04629,P35520
P04629,Q9UMS6
P04629,Q96G01
P04629,P08183
P04629,P13591
P04629,P09619
P04629,P17252
P04629,Q05682
P04629,Q6EEV6
P04629,P23467
P04629,P23470
P04629,Q16832
P04629,Q9P2L0
P04629,Q8IW35
P04629,Q8IUZ0
P04629,Q13332
P04629,Q86YR5
P04629,P10643
P04629,Q8TER5
P04629,Q9P2H0
P04629,P09172
P04629,Q8IVF7
P04629,P42684
P04629,Q9BX66
P04629,Q86UU1
P04629,Q63ZY3
P04629,P20783
P04629,Q16288
P10275,Q13950
P10275,P11308
P10275,Q12778
P10275,Q5VZ18
P10275,Q03135
P10275,Q6S5L8
P10275,P42684
P10275,Q16082
P10275,Q9HBL0
P10275,Q05516
P10275,Q9NRM7
P10275,Q14192
P10275,Q86YW9
P10275,Q5THR3
P10275,P35869
P10275,Q13976
Q13950,Q14192
Q96AC1,Q96DZ9
O14654,P58340
O14654,P35558
P29323,P34741
P29323,P42684
P29323,Q15811
Q63HR2,Q8IYA8
Q63HR2,Q9C004
Q63HR2,Q8TDR4
Q63HR2,Q9HBL0
Q63HR2,Q93062
Q63HR2,Q96QB1
Q63HR2,Q9UBT7
P21741,Q14112
O75970,Q9NRM7
O75970,P22736
O75970,Q6UVK1
O75970,O95477
Q12778,Q63HR2
Q12778,Q14192
Q99959,Q9HCJ2
Q8IYX3,Q8N6Y0
Q16288,Q9P104
Q12929,Q9UKN7
Q12929,Q86WR7
Q12929,Q9UI47
Q12929,Q9UBP9
Q12929,Q96GT9
Q13061,Q16880
Q8IW35,Q8TCU4
P35555,P98160
P35555,Q8N2S1
P35555,Q99972
P35555,Q6ZMM2
P35555,Q17RF5
P35555,P98095
P35555,Q14766
P35555,P55001
P35555,Q9UBX5
P35555,P35556
P98160,Q14112
P98160,Q2M1P5
P98160,Q6PCB0
P17252,P29475
P17252,P34741
P17252,Q16695
P17252,P21731
P17252,P37288
P17252,Q13976
P17252,P24046
P17252,Q02952
P17252,P55042
P17252,Q86VB7
P17252,P45379
P17252,P37231
P17252,Q6AWC2
P17252,P52926
P17252,Q8N556
O96017,P22736
O96017,P22897
O96017,Q86UX2
O96017,Q9NRM7
O96017,P09630
O96017,P05093
P11308,Q05516
P11308,P50549
Q9H9G7,Q9HCJ0
Q6ZMH5,Q96GP6
Q9Y2C2,Q9Y2P4
Q08043,Q9C099
Q08043,Q9H7P9
Q96CA5,Q9H5Z6
Q02952,Q9Y3Z3
P11362,P32004
P11362,P13591
P11362,P37173
P11362,Q63HR2
P11362,Q86TY3
P11362,P98160
P11362,Q14449
P11362,Q9NZU1
P11362,P23352
P11362,P12034
Q96KN7,Q9NQ87
Q93052,Q96AY3
O75155,P0DMS8
O75155,P34741
O75155,P43220
Q6FHJ7,Q8NHQ8
Q6FHJ7,Q96QB1
Q16082,Q16678
Q16082,Q99959
Q16082,Q9NVD7
Q16082,Q9NPC6
P07942,P58335
P07942,P20783
P35711,Q9UN79
P35711,P35712
P53708,Q6UXI9
P53708,Q9UK85
P53708,Q13635
P53708,Q13508
P43361,Q13563
O75582,P22736
O75582,P02751
O75582,P50549
O75582,Q15811
O75582,Q16082
O75582,Q16695
P09619,Q9GZP0
P09619,Q03135
P09619,Q14449
P09619,P35968
P09619,P56539
P09619,P23470
P09619,P23467
P09619,Q13480
P09619,Q13191
P09619,Q13705
Q3SYG4,Q6ZW61
Q3SYG4,Q5T7N2
O14786,P37173
O14786,O60462
O14786,P35968
O14786,P21781
O14786,P32004
O14786,Q14563
O14786,Q13214
O14786,P08620
O14786,Q99985
O14786,Q03167
O14786,P05230
O14786,P09038
P04198,P33151
P04198,P10275
P06401,Q13886
P06401,Q9BX66
O43597,Q9P283
O43597,Q9UI47
O43597,Q13191
O43597,Q63HR2
O43597,Q06455
O43597,P35555
O43597,Q05516
O43597,Q6UY14
O43597,Q9C004
O43597,P50222
O43597,Q15811
Q13563,Q9NZM6
Q8N6Y0,Q9H5Z6
Q8N6Y0,Q8TF39
Q8N6Y0,Q9UDX3
Q8N6Y0,Q9NTK1
P22736,Q9Y4D7
P22736,P48443
P22736,P37231
P10415,Q8IZY5
P10415,P17252
P10415,P22736
P16066,P16860
P16066,Q13976
O75553,O95231
O75553,P05106
O75553,Q96K80
O75553,P78509
O75553,Q8N8B7
O75553,Q70EK8
